[1437, 878]
[headline, [240.0, 80.0, 357.0, 25.5], shoonya_2s0LLNSHCRMXMZ, 5770464]
[headline, [240.0, 105.5, 357.0, 25.5], shoonya_2s0LLNSHCRMXMZ, 5770464]
[headline, [240.0, 131.0, 357.0, 25.5], shoonya_2s0LLNSHCRMXMZ, 5770464]
[author, [284.0, 179.0, 316.0, 18.0], tJJdNpS_Wz, 5770464]
[author, [284.0, 197.0, 316.0, 18.0], tJJdNpS_Wz, 5770464]
[author, [284.0, 215.0, 316.0, 18.0], tJJdNpS_Wz, 5770464]
[paragraph, [436.0, 294.0, 370.0, 18.0], 8m21B8aKRk, 5770464]
[paragraph, [436.0, 312.0, 370.0, 18.0], 8m21B8aKRk, 5770464]
[paragraph, [436.0, 330.0, 370.0, 18.0], 8m21B8aKRk, 5770464]
[paragraph, [436.0, 348.0, 370.0, 18.0], 8m21B8aKRk, 5770464]
[paragraph, [436.0, 366.0, 370.0, 18.0], 8m21B8aKRk, 5770464]
[paragraph, [436.0, 384.0, 370.0, 18.0], 8m21B8aKRk, 5770464]
[paragraph, [436.0, 402.0, 370.0, 18.0], 8m21B8aKRk, 5770464]
[paragraph, [436.0, 420.0, 370.0, 18.0], 8m21B8aKRk, 5770464]
[paragraph, [436.0, 438.0, 370.0, 18.0], 8m21B8aKRk, 5770464]
[paragraph, [436.0, 456.0, 370.0, 18.0], 8m21B8aKRk, 5770464]
[paragraph, [436.0, 474.0, 370.0, 18.0], 8m21B8aKRk, 5770464]
[paragraph, [436.0, 492.0, 370.0, 18.0], 8m21B8aKRk, 5770464]
[paragraph, [436.0, 510.0, 370.0, 18.0], 8m21B8aKRk, 5770464]
[paragraph, [436.0, 528.0, 370.0, 18.0], 8m21B8aKRk, 5770464]
[paragraph, [78.0, 299.0, 354.0, 18.0], shoonya_3sQX3RMO1KWAF6, 5770464]
[paragraph, [78.0, 317.0, 354.0, 18.0], shoonya_3sQX3RMO1KWAF6, 5770464]
[paragraph, [78.0, 335.0, 354.0, 18.0], shoonya_3sQX3RMO1KWAF6, 5770464]
[paragraph, [78.0, 353.0, 354.0, 18.0], shoonya_3sQX3RMO1KWAF6, 5770464]
