[792, 612]
[folio, [211.0, 26.0, 226.0, 18.0], H24MBTPZGa, 5744379]
[paragraph, [106.0, 52.0, 434.0, 18.0], shoonya_0sM8ENVPAIHHTY, 5744379]
[paragraph, [106.0, 70.0, 434.0, 18.0], shoonya_0sM8ENVPAIHHTY, 5744379]
[paragraph, [106.0, 88.0, 434.0, 18.0], shoonya_0sM8ENVPAIHHTY, 5744379]
[paragraph, [106.0, 106.0, 434.0, 18.0], shoonya_0sM8ENVPAIHHTY, 5744379]
[paragraph, [106.0, 124.0, 434.0, 18.0], shoonya_0sM8ENVPAIHHTY, 5744379]
[paragraph, [106.0, 142.0, 434.0, 18.0], shoonya_0sM8ENVPAIHHTY, 5744379]
[paragraph, [106.0, 160.0, 434.0, 18.0], shoonya_0sM8ENVPAIHHTY, 5744379]
[paragraph, [106.0, 178.0, 434.0, 18.0], shoonya_0sM8ENVPAIHHTY, 5744379]
[paragraph, [106.0, 196.0, 434.0, 18.0], shoonya_0sM8ENVPAIHHTY, 5744379]
[paragraph, [106.0, 214.0, 434.0, 18.0], shoonya_0sM8ENVPAIHHTY, 5744379]
[paragraph, [106.0, 232.0, 434.0, 18.0], shoonya_0sM8ENVPAIHHTY, 5744379]
[paragraph, [105.0, 266.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 284.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 302.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 320.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 338.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 356.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 374.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 392.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 410.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 428.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 446.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 464.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 482.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 500.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 518.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 536.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 554.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 572.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 590.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 608.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 626.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 644.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 662.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 680.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
[paragraph, [105.0, 698.0, 438.0, 18.0], MUXqpv7Vtc, 5744379]
