[525, 321]
[section-title, [97.0, 174.0, 115.0, 30.0], Uzbmj3LHF2, 6534345]
[paragraph, [21.0, 210.0, 278.0, 18.0], shoonya_0sVJFJVH8328C4, 6534345]
[paragraph, [21.0, 228.0, 278.0, 18.0], shoonya_0sVJFJVH8328C4, 6534345]
[paragraph, [21.0, 246.0, 278.0, 18.0], shoonya_0sVJFJVH8328C4, 6534345]
[paragraph, [21.0, 264.0, 278.0, 18.0], shoonya_0sVJFJVH8328C4, 6534345]
[paragraph, [21.0, 282.0, 278.0, 18.0], shoonya_0sVJFJVH8328C4, 6534345]
[paragraph, [21.0, 300.0, 278.0, 18.0], shoonya_0sVJFJVH8328C4, 6534345]
[paragraph, [21.0, 318.0, 278.0, 18.0], shoonya_0sVJFJVH8328C4, 6534345]
[paragraph, [21.0, 336.0, 278.0, 18.0], shoonya_0sVJFJVH8328C4, 6534345]
[paragraph, [21.0, 354.0, 278.0, 18.0], shoonya_0sVJFJVH8328C4, 6534345]
[paragraph, [21.0, 372.0, 278.0, 18.0], shoonya_0sVJFJVH8328C4, 6534345]
[paragraph, [21.0, 390.0, 278.0, 18.0], shoonya_0sVJFJVH8328C4, 6534345]
[paragraph, [21.0, 408.0, 278.0, 18.0], shoonya_0sVJFJVH8328C4, 6534345]
[paragraph, [21.0, 426.0, 278.0, 18.0], shoonya_0sVJFJVH8328C4, 6534345]
