[1004, 650]
[paragraph, [57.0, 105.0, 539.0, 18.0], zbpWWMONVA, 5740978]
[paragraph, [57.0, 123.0, 539.0, 18.0], zbpWWMONVA, 5740978]
[paragraph, [57.0, 141.0, 539.0, 18.0], zbpWWMONVA, 5740978]
[paragraph, [57.0, 159.0, 539.0, 18.0], zbpWWMONVA, 5740978]
[paragraph, [54.0, 178.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 196.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 214.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 232.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 250.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 268.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 286.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 304.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 322.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 340.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 358.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 376.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 394.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 412.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 430.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 448.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 466.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 484.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 502.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 520.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 538.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 556.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 574.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 592.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 610.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 628.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [54.0, 646.0, 542.0, 18.0], M8FgzJxDx7, 5740978]
[paragraph, [62.0, 678.0, 534.0, 18.0], 9pYci1-QxQ, 5740978]
[paragraph, [62.0, 696.0, 534.0, 18.0], 9pYci1-QxQ, 5740978]
[paragraph, [62.0, 714.0, 534.0, 18.0], 9pYci1-QxQ, 5740978]
[paragraph, [62.0, 732.0, 534.0, 18.0], 9pYci1-QxQ, 5740978]
[paragraph, [62.0, 750.0, 534.0, 18.0], 9pYci1-QxQ, 5740978]
[paragraph, [62.0, 768.0, 534.0, 18.0], 9pYci1-QxQ, 5740978]
[paragraph, [62.0, 786.0, 534.0, 18.0], 9pYci1-QxQ, 5740978]
[paragraph, [62.0, 804.0, 534.0, 18.0], 9pYci1-QxQ, 5740978]
[paragraph, [62.0, 822.0, 534.0, 18.0], 9pYci1-QxQ, 5740978]
[paragraph, [62.0, 840.0, 534.0, 18.0], 9pYci1-QxQ, 5740978]
[paragraph, [62.0, 858.0, 534.0, 18.0], 9pYci1-QxQ, 5740978]
[paragraph, [62.0, 876.0, 534.0, 18.0], 9pYci1-QxQ, 5740978]
[paragraph, [62.0, 894.0, 534.0, 18.0], 9pYci1-QxQ, 5740978]
[paragraph, [62.0, 912.0, 534.0, 18.0], 9pYci1-QxQ, 5740978]
[paragraph, [62.0, 930.0, 534.0, 18.0], 9pYci1-QxQ, 5740978]
[footnote, [357.0, 963.0, 232.0, 18.0], i-csLBe-lH, 5740978]
[footnote, [357.0, 981.0, 232.0, 18.0], i-csLBe-lH, 5740978]
