[590, 396]
[section-title, [63.0, 146.0, 303.0, 30.0], iDqjBj8qvy, 6516657]
[paragraph, [65.0, 198.0, 303.0, 18.0], shoonya_0sL7WPGMPR68AF, 6516657]
[paragraph, [65.0, 216.0, 303.0, 18.0], shoonya_0sL7WPGMPR68AF, 6516657]
[paragraph, [65.0, 234.0, 303.0, 18.0], shoonya_0sL7WPGMPR68AF, 6516657]
[paragraph, [65.0, 252.0, 303.0, 18.0], shoonya_0sL7WPGMPR68AF, 6516657]
[paragraph, [65.0, 270.0, 303.0, 18.0], shoonya_0sL7WPGMPR68AF, 6516657]
[paragraph, [65.0, 288.0, 303.0, 18.0], shoonya_0sL7WPGMPR68AF, 6516657]
[paragraph, [65.0, 306.0, 303.0, 18.0], shoonya_0sL7WPGMPR68AF, 6516657]
[paragraph, [65.0, 324.0, 303.0, 18.0], shoonya_0sL7WPGMPR68AF, 6516657]
[paragraph, [65.0, 342.0, 303.0, 18.0], shoonya_0sL7WPGMPR68AF, 6516657]
[paragraph, [65.0, 360.0, 303.0, 18.0], shoonya_0sL7WPGMPR68AF, 6516657]
[paragraph, [65.0, 378.0, 303.0, 18.0], shoonya_0sL7WPGMPR68AF, 6516657]
[paragraph, [65.0, 396.0, 303.0, 18.0], shoonya_0sL7WPGMPR68AF, 6516657]
[paragraph, [65.0, 414.0, 303.0, 18.0], shoonya_0sL7WPGMPR68AF, 6516657]
[paragraph, [65.0, 432.0, 303.0, 18.0], shoonya_0sL7WPGMPR68AF, 6516657]
[paragraph, [65.0, 450.0, 303.0, 18.0], shoonya_0sL7WPGMPR68AF, 6516657]
[paragraph, [65.0, 468.0, 303.0, 18.0], shoonya_0sL7WPGMPR68AF, 6516657]
[paragraph, [67.0, 490.0, 297.0, 18.0], M5omDzEglE, 6516657]
