[688, 400]
[folio, [157.0, 21.0, 85.0, 18.0], shoonya_1s2T2HMANRH7D9, 5749141]
[paragraph, [17.0, 57.0, 372.0, 18.0], shoonya_2s2HLGBBA5YCY6, 5749141]
[paragraph, [17.0, 75.0, 372.0, 18.0], shoonya_2s2HLGBBA5YCY6, 5749141]
[paragraph, [17.0, 93.0, 372.0, 18.0], shoonya_2s2HLGBBA5YCY6, 5749141]
[paragraph, [17.0, 111.0, 372.0, 18.0], shoonya_2s2HLGBBA5YCY6, 5749141]
[paragraph, [17.0, 129.0, 372.0, 18.0], shoonya_2s2HLGBBA5YCY6, 5749141]
[paragraph, [17.0, 147.0, 372.0, 18.0], shoonya_2s2HLGBBA5YCY6, 5749141]
[paragraph, [17.0, 165.0, 372.0, 18.0], shoonya_2s2HLGBBA5YCY6, 5749141]
[paragraph, [17.0, 183.0, 372.0, 18.0], shoonya_2s2HLGBBA5YCY6, 5749141]
[paragraph, [17.0, 201.0, 372.0, 18.0], shoonya_2s2HLGBBA5YCY6, 5749141]
[paragraph, [17.0, 219.0, 372.0, 18.0], shoonya_2s2HLGBBA5YCY6, 5749141]
[paragraph, [18.0, 255.0, 373.0, 18.0], ZJyIGWCa4D, 5749141]
[paragraph, [18.0, 273.0, 373.0, 18.0], ZJyIGWCa4D, 5749141]
[paragraph, [18.0, 291.0, 373.0, 18.0], ZJyIGWCa4D, 5749141]
[paragraph, [18.0, 309.0, 373.0, 18.0], ZJyIGWCa4D, 5749141]
[paragraph, [18.0, 327.0, 373.0, 18.0], ZJyIGWCa4D, 5749141]
[paragraph, [18.0, 345.0, 373.0, 18.0], ZJyIGWCa4D, 5749141]
[paragraph, [18.0, 363.0, 373.0, 18.0], ZJyIGWCa4D, 5749141]
[paragraph, [18.0, 381.0, 373.0, 18.0], ZJyIGWCa4D, 5749141]
[paragraph, [18.0, 399.0, 373.0, 18.0], ZJyIGWCa4D, 5749141]
[paragraph, [18.0, 417.0, 373.0, 18.0], ZJyIGWCa4D, 5749141]
[paragraph, [18.0, 435.0, 373.0, 18.0], ZJyIGWCa4D, 5749141]
[paragraph, [18.0, 453.0, 373.0, 18.0], ZJyIGWCa4D, 5749141]
[paragraph, [18.0, 471.0, 373.0, 18.0], ZJyIGWCa4D, 5749141]
[paragraph, [18.0, 489.0, 373.0, 18.0], ZJyIGWCa4D, 5749141]
[paragraph, [18.0, 507.0, 373.0, 18.0], ZJyIGWCa4D, 5749141]
[paragraph, [52.0, 632.0, 340.0, 18.0], QiU9vSHRvi, 5749141]
[folio, [89.0, 654.0, 254.0, 18.0], z-gMgpVxY_, 5749141]
