[1818, 1374]
[folio, [490.0, 185.0, 409.0, 36.0], shoonya_1sWHBLG79Q6QNR, 5683223]
[paragraph, [109.0, 274.0, 568.0, 36.0], shoonya_3sCGU7ZN84HM7U, 5683223]
[paragraph, [109.0, 310.0, 568.0, 36.0], shoonya_3sCGU7ZN84HM7U, 5683223]
[paragraph, [695.0, 274.0, 577.0, 36.0], DPFhXJ-bxs, 5683223]
[paragraph, [695.0, 310.0, 577.0, 36.0], DPFhXJ-bxs, 5683223]
[paragraph, [695.0, 346.0, 577.0, 36.0], DPFhXJ-bxs, 5683223]
[paragraph, [695.0, 382.0, 577.0, 36.0], DPFhXJ-bxs, 5683223]
[paragraph, [695.0, 418.0, 577.0, 36.0], DPFhXJ-bxs, 5683223]
[paragraph, [695.0, 454.0, 577.0, 36.0], DPFhXJ-bxs, 5683223]
[paragraph, [695.0, 490.0, 577.0, 36.0], DPFhXJ-bxs, 5683223]
[paragraph, [695.0, 526.0, 577.0, 36.0], DPFhXJ-bxs, 5683223]
[paragraph, [695.0, 562.0, 577.0, 36.0], DPFhXJ-bxs, 5683223]
[paragraph, [695.0, 598.0, 577.0, 36.0], DPFhXJ-bxs, 5683223]
[paragraph, [165.0, 364.0, 491.0, 36.0], shoonya_4sCXZ5B42QXTDI, 5683223]
[paragraph, [112.0, 406.0, 568.0, 36.0], shoonya_5sF33VJ8G0I6TS, 5683223]
[paragraph, [112.0, 442.0, 568.0, 36.0], shoonya_5sF33VJ8G0I6TS, 5683223]
[paragraph, [106.0, 488.0, 572.0, 36.0], shoonya_6sZO1MO3QDVGWX, 5683223]
[paragraph, [106.0, 524.0, 572.0, 36.0], shoonya_6sZO1MO3QDVGWX, 5683223]
[paragraph, [106.0, 560.0, 572.0, 36.0], shoonya_6sZO1MO3QDVGWX, 5683223]
[paragraph, [106.0, 596.0, 572.0, 36.0], shoonya_6sZO1MO3QDVGWX, 5683223]
[paragraph, [106.0, 632.0, 572.0, 36.0], shoonya_6sZO1MO3QDVGWX, 5683223]
[paragraph, [106.0, 668.0, 572.0, 36.0], shoonya_6sZO1MO3QDVGWX, 5683223]
[paragraph, [695.0, 654.0, 575.0, 36.0], O4KpCKGIP7, 5683223]
[paragraph, [695.0, 690.0, 575.0, 36.0], O4KpCKGIP7, 5683223]
[paragraph, [697.0, 738.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 774.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 810.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 846.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 882.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 918.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 954.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 990.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 1026.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 1062.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 1098.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 1134.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 1170.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 1206.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 1242.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 1278.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 1314.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 1350.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 1386.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 1422.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [697.0, 1458.0, 573.0, 36.0], 7vD9FQ-7ns, 5683223]
[paragraph, [103.0, 853.0, 575.0, 36.0], shoonya_8sEPX4S85ZSNII, 5683223]
[paragraph, [103.0, 889.0, 575.0, 36.0], shoonya_8sEPX4S85ZSNII, 5683223]
[paragraph, [103.0, 925.0, 575.0, 36.0], shoonya_8sEPX4S85ZSNII, 5683223]
[paragraph, [103.0, 961.0, 575.0, 36.0], shoonya_8sEPX4S85ZSNII, 5683223]
[paragraph, [103.0, 997.0, 575.0, 36.0], shoonya_8sEPX4S85ZSNII, 5683223]
[paragraph, [103.0, 1033.0, 575.0, 36.0], shoonya_8sEPX4S85ZSNII, 5683223]
[paragraph, [103.0, 1105.0, 577.0, 36.0], 6jhvnYpLLx, 5683223]
[paragraph, [103.0, 1141.0, 577.0, 36.0], 6jhvnYpLLx, 5683223]
[paragraph, [101.0, 1189.0, 580.0, 36.0], dwI0xoSiz9, 5683223]
