[2334, 1650]
[paragraph, [144.0, 132.0, 1359.0, 36.0], shoonya_0sI39N5HFKMVCR, 5652761]
[paragraph, [144.0, 168.0, 1359.0, 36.0], shoonya_0sI39N5HFKMVCR, 5652761]
[paragraph, [144.0, 204.0, 1359.0, 36.0], shoonya_0sI39N5HFKMVCR, 5652761]
[paragraph, [144.0, 240.0, 1359.0, 36.0], shoonya_0sI39N5HFKMVCR, 5652761]
[paragraph, [140.0, 286.0, 1386.0, 36.0], 8qKGQqoN81, 5652761]
[paragraph, [140.0, 322.0, 1386.0, 36.0], 8qKGQqoN81, 5652761]
[paragraph, [140.0, 358.0, 1386.0, 36.0], 8qKGQqoN81, 5652761]
[paragraph, [140.0, 394.0, 1386.0, 36.0], 8qKGQqoN81, 5652761]
[paragraph, [140.0, 430.0, 1386.0, 36.0], 8qKGQqoN81, 5652761]
[paragraph, [140.0, 466.0, 1386.0, 36.0], 8qKGQqoN81, 5652761]
[paragraph, [140.0, 502.0, 1386.0, 36.0], 8qKGQqoN81, 5652761]
[paragraph, [140.0, 538.0, 1386.0, 36.0], 8qKGQqoN81, 5652761]
[paragraph, [140.0, 574.0, 1386.0, 36.0], 8qKGQqoN81, 5652761]
[paragraph, [140.0, 610.0, 1386.0, 36.0], 8qKGQqoN81, 5652761]
[paragraph, [140.0, 646.0, 1386.0, 36.0], 8qKGQqoN81, 5652761]
[paragraph, [140.0, 682.0, 1386.0, 36.0], 8qKGQqoN81, 5652761]
[paragraph, [140.0, 718.0, 1386.0, 36.0], 8qKGQqoN81, 5652761]
[paragraph, [140.0, 754.0, 1386.0, 36.0], 8qKGQqoN81, 5652761]
[paragraph, [140.0, 790.0, 1386.0, 36.0], 8qKGQqoN81, 5652761]
[paragraph, [119.0, 819.0, 1450.0, 36.0], TGPYOX1iA5, 5652761]
[paragraph, [119.0, 855.0, 1450.0, 36.0], TGPYOX1iA5, 5652761]
[paragraph, [119.0, 891.0, 1450.0, 36.0], TGPYOX1iA5, 5652761]
[paragraph, [119.0, 927.0, 1450.0, 36.0], TGPYOX1iA5, 5652761]
[paragraph, [119.0, 963.0, 1450.0, 36.0], TGPYOX1iA5, 5652761]
[paragraph, [119.0, 999.0, 1450.0, 36.0], TGPYOX1iA5, 5652761]
[paragraph, [119.0, 1035.0, 1450.0, 36.0], TGPYOX1iA5, 5652761]
[paragraph, [119.0, 1071.0, 1450.0, 36.0], TGPYOX1iA5, 5652761]
[paragraph, [119.0, 1107.0, 1450.0, 36.0], TGPYOX1iA5, 5652761]
[paragraph, [119.0, 1143.0, 1450.0, 36.0], TGPYOX1iA5, 5652761]
[paragraph, [119.0, 1179.0, 1450.0, 36.0], TGPYOX1iA5, 5652761]
[paragraph, [119.0, 1215.0, 1450.0, 36.0], TGPYOX1iA5, 5652761]
[paragraph, [119.0, 1251.0, 1450.0, 36.0], TGPYOX1iA5, 5652761]
[paragraph, [115.0, 1287.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1323.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1359.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1395.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1431.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1467.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1503.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1539.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1575.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1611.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1647.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1683.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1719.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1755.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1791.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1827.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1863.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1899.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1935.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 1971.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[paragraph, [115.0, 2007.0, 1470.0, 36.0], CWQ9ZzYoP_, 5652761]
[folio, [1176.0, 2105.0, 121.0, 36.0], OXjgc0TXuQ, 5652761]
