[1650, 1275]
[paragraph, [144.0, 160.0, 976.0, 36.0], shoonya_0sWS1HUY9J2AEK, 5774681]
[paragraph, [144.0, 196.0, 976.0, 36.0], shoonya_0sWS1HUY9J2AEK, 5774681]
[paragraph, [144.0, 232.0, 976.0, 36.0], shoonya_0sWS1HUY9J2AEK, 5774681]
[paragraph, [144.0, 268.0, 976.0, 36.0], shoonya_0sWS1HUY9J2AEK, 5774681]
[paragraph, [144.0, 304.0, 976.0, 36.0], shoonya_0sWS1HUY9J2AEK, 5774681]
[paragraph, [144.0, 340.0, 976.0, 36.0], shoonya_0sWS1HUY9J2AEK, 5774681]
[paragraph, [144.0, 376.0, 976.0, 36.0], shoonya_0sWS1HUY9J2AEK, 5774681]
[paragraph, [144.0, 412.0, 976.0, 36.0], shoonya_0sWS1HUY9J2AEK, 5774681]
[paragraph, [144.0, 448.0, 976.0, 36.0], shoonya_0sWS1HUY9J2AEK, 5774681]
[paragraph, [144.0, 530.0, 975.0, 36.0], shoonya_1sHEKAOQNW6UMX, 5774681]
[paragraph, [144.0, 566.0, 975.0, 36.0], shoonya_1sHEKAOQNW6UMX, 5774681]
[paragraph, [144.0, 602.0, 975.0, 36.0], shoonya_1sHEKAOQNW6UMX, 5774681]
[paragraph, [144.0, 638.0, 975.0, 36.0], shoonya_1sHEKAOQNW6UMX, 5774681]
[paragraph, [144.0, 674.0, 975.0, 36.0], shoonya_1sHEKAOQNW6UMX, 5774681]
[paragraph, [144.0, 710.0, 975.0, 36.0], shoonya_1sHEKAOQNW6UMX, 5774681]
[paragraph, [144.0, 746.0, 975.0, 36.0], shoonya_1sHEKAOQNW6UMX, 5774681]
[paragraph, [144.0, 782.0, 975.0, 36.0], shoonya_1sHEKAOQNW6UMX, 5774681]
[paragraph, [143.0, 840.0, 973.0, 36.0], shoonya_2s5V65YR1151JD, 5774681]
[paragraph, [143.0, 876.0, 973.0, 36.0], shoonya_2s5V65YR1151JD, 5774681]
[paragraph, [143.0, 912.0, 973.0, 36.0], shoonya_2s5V65YR1151JD, 5774681]
[paragraph, [143.0, 948.0, 973.0, 36.0], shoonya_2s5V65YR1151JD, 5774681]
[paragraph, [143.0, 984.0, 973.0, 36.0], shoonya_2s5V65YR1151JD, 5774681]
[paragraph, [146.0, 1060.0, 980.0, 36.0], shoonya_3s0JGI5VIRSGZ7, 5774681]
[paragraph, [146.0, 1096.0, 980.0, 36.0], shoonya_3s0JGI5VIRSGZ7, 5774681]
[paragraph, [146.0, 1132.0, 980.0, 36.0], shoonya_3s0JGI5VIRSGZ7, 5774681]
[paragraph, [146.0, 1189.0, 985.0, 36.0], shoonya_4s8A5NUH8SW2XT, 5774681]
[paragraph, [146.0, 1225.0, 985.0, 36.0], shoonya_4s8A5NUH8SW2XT, 5774681]
[paragraph, [146.0, 1261.0, 985.0, 36.0], shoonya_4s8A5NUH8SW2XT, 5774681]
[paragraph, [146.0, 1297.0, 985.0, 36.0], shoonya_4s8A5NUH8SW2XT, 5774681]
[paragraph, [148.0, 1348.0, 974.0, 36.0], shoonya_5s1WZ11EI3I6HX, 5774681]
[paragraph, [148.0, 1384.0, 974.0, 36.0], shoonya_5s1WZ11EI3I6HX, 5774681]
[paragraph, [148.0, 1420.0, 974.0, 36.0], shoonya_5s1WZ11EI3I6HX, 5774681]
[paragraph, [148.0, 1456.0, 974.0, 36.0], shoonya_5s1WZ11EI3I6HX, 5774681]
[paragraph, [131.0, 1568.0, 538.0, 36.0], f1p3p8xE7h, 5774681]
[website-link, [417.0, 1575.0, 243.0, 18.0], mMnrl1vCK3, 5774681]
