[720, 1440]
[section-title, [752.0, 32.0, 615.0, 30.0], fiJyxff_Mn, 5779645]
[section-title, [792.0, 97.0, 148.0, 30.0], 5_hmkD7Thf, 5779645]
[paragraph, [969.0, 121.0, 69.0, 18.0], 2fGx6cJfhN, 5779645]
[paragraph, [969.0, 139.0, 69.0, 18.0], 2fGx6cJfhN, 5779645]
[paragraph, [969.0, 157.0, 69.0, 18.0], 2fGx6cJfhN, 5779645]
[paragraph, [1047.0, 121.0, 74.0, 18.0], ORKFl3cvGy, 5779645]
[paragraph, [1047.0, 139.0, 74.0, 18.0], ORKFl3cvGy, 5779645]
[paragraph, [1047.0, 157.0, 74.0, 18.0], ORKFl3cvGy, 5779645]
[paragraph, [757.0, 122.0, 77.0, 18.0], ULxlFaSWPL, 5779645]
[paragraph, [757.0, 140.0, 77.0, 18.0], ULxlFaSWPL, 5779645]
[paragraph, [757.0, 158.0, 77.0, 18.0], ULxlFaSWPL, 5779645]
[paragraph, [1163.0, 124.0, 73.0, 18.0], IrG3mP7XiG, 5779645]
[paragraph, [1163.0, 142.0, 73.0, 18.0], IrG3mP7XiG, 5779645]
[paragraph, [1163.0, 160.0, 73.0, 18.0], IrG3mP7XiG, 5779645]
[paragraph, [1243.0, 124.0, 70.0, 18.0], MaZeUcj60T, 5779645]
[paragraph, [1243.0, 142.0, 70.0, 18.0], MaZeUcj60T, 5779645]
[paragraph, [1243.0, 160.0, 70.0, 18.0], MaZeUcj60T, 5779645]
[paragraph, [1321.0, 124.0, 74.0, 18.0], d0eGAiNI7p, 5779645]
[paragraph, [1321.0, 142.0, 74.0, 18.0], d0eGAiNI7p, 5779645]
[paragraph, [1321.0, 160.0, 74.0, 18.0], d0eGAiNI7p, 5779645]
[paragraph, [838.0, 126.0, 79.0, 18.0], uhVF4qA8Ak, 5779645]
[paragraph, [838.0, 144.0, 79.0, 18.0], uhVF4qA8Ak, 5779645]
[paragraph, [838.0, 162.0, 79.0, 18.0], uhVF4qA8Ak, 5779645]
[sub-section-title, [855.0, 225.0, 543.0, 25.5], pcTAoMAS09, 5779645]
[paragraph, [901.0, 228.0, 496.0, 18.0], dgLje5-5S7, 5779645]
[paragraph, [901.0, 246.0, 496.0, 18.0], dgLje5-5S7, 5779645]
[paragraph, [901.0, 264.0, 496.0, 18.0], dgLje5-5S7, 5779645]
[paragraph, [901.0, 282.0, 496.0, 18.0], dgLje5-5S7, 5779645]
[figure-caption, [1148.0, 391.0, 131.0, 18.0], WPPM3APzrj, 5779645]
[figure-caption, [1279.0, 395.0, 114.0, 18.0], XHrUi8vjT8, 5779645]
[figure-caption, [1149.0, 508.0, 120.0, 18.0], pyO6zDvt7n, 5779645]
[figure-caption, [1279.0, 510.0, 108.0, 18.0], -9cvxw7TP4, 5779645]
[section-title, [35.0, 532.0, 563.0, 30.0], shoonya_0sJL059NV0M9P1, 5779645]
[section-title, [35.0, 562.0, 563.0, 30.0], shoonya_0sJL059NV0M9P1, 5779645]
[unordered-list, [1268.0, 552.0, 124.0, 18.0], GZvnNYPbkP, 5779645]
[unordered-list, [1268.0, 570.0, 124.0, 18.0], GZvnNYPbkP, 5779645]
[unordered-list, [1268.0, 588.0, 124.0, 18.0], GZvnNYPbkP, 5779645]
[unordered-list, [1268.0, 606.0, 124.0, 18.0], GZvnNYPbkP, 5779645]
[unordered-list, [1268.0, 624.0, 124.0, 18.0], GZvnNYPbkP, 5779645]
[unordered-list, [1268.0, 642.0, 124.0, 18.0], GZvnNYPbkP, 5779645]
[paragraph, [174.0, 590.0, 483.0, 18.0], shoonya_2sAZC14O8PMA9I, 5779645]
[paragraph, [174.0, 608.0, 483.0, 18.0], shoonya_2sAZC14O8PMA9I, 5779645]
[paragraph, [174.0, 626.0, 483.0, 18.0], shoonya_2sAZC14O8PMA9I, 5779645]
[paragraph, [174.0, 644.0, 483.0, 18.0], shoonya_2sAZC14O8PMA9I, 5779645]
