[2200, 1700]
[paragraph, [394.0, 223.0, 906.0, 36.0], shoonya_3sOTO6KM5GTKO2, 5686482]
[paragraph, [394.0, 259.0, 906.0, 36.0], shoonya_3sOTO6KM5GTKO2, 5686482]
[paragraph, [394.0, 295.0, 906.0, 36.0], shoonya_3sOTO6KM5GTKO2, 5686482]
[paragraph, [394.0, 331.0, 906.0, 36.0], shoonya_3sOTO6KM5GTKO2, 5686482]
[paragraph, [394.0, 367.0, 906.0, 36.0], shoonya_3sOTO6KM5GTKO2, 5686482]
[paragraph, [399.0, 435.0, 325.0, 36.0], 4PMzaAR6pU, 5686482]
[reference, [736.0, 438.0, 184.0, 36.0], dPXcimzb1X, 5686482]
[paragraph, [281.0, 531.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 567.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 603.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 639.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 675.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 711.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 747.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 783.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 819.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 855.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 891.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 927.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 963.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 999.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 1035.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 1071.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 1107.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 1143.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 1179.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 1215.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 1251.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [281.0, 1287.0, 1134.0, 36.0], shoonya_1sJI87MX3UHYAT, 5686482]
[paragraph, [282.0, 1344.0, 1132.0, 36.0], shoonya_0sUQHJB3UI0YI5, 5686482]
[paragraph, [282.0, 1380.0, 1132.0, 36.0], shoonya_0sUQHJB3UI0YI5, 5686482]
[paragraph, [282.0, 1416.0, 1132.0, 36.0], shoonya_0sUQHJB3UI0YI5, 5686482]
[paragraph, [282.0, 1452.0, 1132.0, 36.0], shoonya_0sUQHJB3UI0YI5, 5686482]
[paragraph, [282.0, 1488.0, 1132.0, 36.0], shoonya_0sUQHJB3UI0YI5, 5686482]
[paragraph, [282.0, 1524.0, 1132.0, 36.0], shoonya_0sUQHJB3UI0YI5, 5686482]
[paragraph, [282.0, 1560.0, 1132.0, 36.0], shoonya_0sUQHJB3UI0YI5, 5686482]
[paragraph, [282.0, 1596.0, 1132.0, 36.0], shoonya_0sUQHJB3UI0YI5, 5686482]
[paragraph, [282.0, 1632.0, 1132.0, 36.0], shoonya_0sUQHJB3UI0YI5, 5686482]
[paragraph, [282.0, 1668.0, 1132.0, 36.0], shoonya_0sUQHJB3UI0YI5, 5686482]
[paragraph, [282.0, 1704.0, 1132.0, 36.0], shoonya_0sUQHJB3UI0YI5, 5686482]
[paragraph, [282.0, 1740.0, 1132.0, 36.0], shoonya_0sUQHJB3UI0YI5, 5686482]
[paragraph, [282.0, 1776.0, 1132.0, 36.0], shoonya_0sUQHJB3UI0YI5, 5686482]
[paragraph, [282.0, 1812.0, 1132.0, 36.0], shoonya_0sUQHJB3UI0YI5, 5686482]
[paragraph, [282.0, 1848.0, 1132.0, 36.0], shoonya_0sUQHJB3UI0YI5, 5686482]
[paragraph, [282.0, 1884.0, 1132.0, 36.0], shoonya_0sUQHJB3UI0YI5, 5686482]
[paragraph, [282.0, 1920.0, 1132.0, 36.0], shoonya_0sUQHJB3UI0YI5, 5686482]
