[1034, 680]
[folio, [222.0, 63.0, 222.0, 18.0], erNXCdcCDz, 5739683]
[folio, [222.0, 81.0, 222.0, 18.0], erNXCdcCDz, 5739683]
[paragraph, [50.0, 117.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 135.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 153.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 171.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 189.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 207.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 225.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 243.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 261.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 279.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 297.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 315.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 333.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 351.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 369.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 387.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 405.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 423.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 441.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 459.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 477.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 495.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 513.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 531.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 549.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 567.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 585.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 603.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 621.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 639.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 657.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 675.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 693.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 711.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [50.0, 729.0, 570.0, 18.0], shoonya_1sQOPGH022YI15, 5739683]
[paragraph, [51.0, 786.0, 568.0, 18.0], Ak3vShkK6S, 5739683]
[paragraph, [51.0, 804.0, 568.0, 18.0], Ak3vShkK6S, 5739683]
[paragraph, [51.0, 822.0, 568.0, 18.0], Ak3vShkK6S, 5739683]
[paragraph, [51.0, 840.0, 568.0, 18.0], Ak3vShkK6S, 5739683]
[paragraph, [51.0, 858.0, 568.0, 18.0], Ak3vShkK6S, 5739683]
[paragraph, [51.0, 876.0, 568.0, 18.0], Ak3vShkK6S, 5739683]
[paragraph, [51.0, 894.0, 568.0, 18.0], Ak3vShkK6S, 5739683]
[paragraph, [51.0, 912.0, 568.0, 18.0], Ak3vShkK6S, 5739683]
[paragraph, [51.0, 930.0, 568.0, 18.0], Ak3vShkK6S, 5739683]
[paragraph, [51.0, 948.0, 568.0, 18.0], Ak3vShkK6S, 5739683]
