[792, 612]
[folio, [211.0, 44.0, 127.0, 18.0], mPtqxCCiqe, 6495566]
[section-title, [114.0, 95.0, 156.0, 30.0], ARJbFFENxk, 6495566]
[author, [127.0, 134.0, 88.0, 18.0], hVWp2EEFhF, 6495566]
[paragraph, [122.0, 181.0, 204.0, 18.0], RgR7VuYfDj, 6495566]
[paragraph, [122.0, 199.0, 204.0, 18.0], RgR7VuYfDj, 6495566]
[paragraph, [122.0, 217.0, 204.0, 18.0], RgR7VuYfDj, 6495566]
[paragraph, [122.0, 235.0, 204.0, 18.0], RgR7VuYfDj, 6495566]
[paragraph, [122.0, 253.0, 204.0, 18.0], RgR7VuYfDj, 6495566]
[paragraph, [122.0, 271.0, 204.0, 18.0], RgR7VuYfDj, 6495566]
[paragraph, [122.0, 289.0, 204.0, 18.0], RgR7VuYfDj, 6495566]
[paragraph, [122.0, 307.0, 204.0, 18.0], RgR7VuYfDj, 6495566]
[paragraph, [122.0, 325.0, 204.0, 18.0], RgR7VuYfDj, 6495566]
[paragraph, [122.0, 343.0, 204.0, 18.0], RgR7VuYfDj, 6495566]
[paragraph, [109.0, 367.0, 164.0, 18.0], qkQS_eV0xb, 6495566]
[paragraph, [109.0, 385.0, 164.0, 18.0], qkQS_eV0xb, 6495566]
[paragraph, [109.0, 403.0, 164.0, 18.0], qkQS_eV0xb, 6495566]
[paragraph, [109.0, 421.0, 164.0, 18.0], qkQS_eV0xb, 6495566]
[paragraph, [171.0, 453.0, 275.0, 18.0], j0CidJF3Jk, 6495566]
[paragraph, [171.0, 471.0, 275.0, 18.0], j0CidJF3Jk, 6495566]
[paragraph, [171.0, 489.0, 275.0, 18.0], j0CidJF3Jk, 6495566]
[paragraph, [171.0, 507.0, 275.0, 18.0], j0CidJF3Jk, 6495566]
[paragraph, [117.0, 546.0, 226.0, 18.0], 8pVT4h2YfI, 6495566]
[paragraph, [117.0, 564.0, 226.0, 18.0], 8pVT4h2YfI, 6495566]
[paragraph, [117.0, 582.0, 226.0, 18.0], 8pVT4h2YfI, 6495566]
[paragraph, [117.0, 600.0, 226.0, 18.0], 8pVT4h2YfI, 6495566]
[paragraph, [171.0, 633.0, 190.0, 18.0], Kf-4v8NRYd, 6495566]
[paragraph, [171.0, 651.0, 190.0, 18.0], Kf-4v8NRYd, 6495566]
