[2200, 1700]
[paragraph, [329.0, 55.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 91.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 127.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 163.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 199.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 235.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 271.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 307.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 343.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 379.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 415.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 451.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 487.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 523.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 559.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 595.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 631.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 667.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 703.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 739.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 775.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 811.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 847.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 883.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 919.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 955.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[paragraph, [329.0, 991.0, 1105.0, 36.0], shoonya_0sWYHLXBVDMMQY, 5730632]
[ordered-list, [336.0, 1057.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1093.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1129.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1165.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1201.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1237.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1273.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1309.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1345.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1381.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1417.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1453.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1489.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1525.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1561.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1597.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1633.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1669.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1705.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1741.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1777.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1813.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[ordered-list, [336.0, 1849.0, 1109.0, 36.0], shoonya_1sA2565W4UTZ58, 5730632]
[folio, [989.0, 2015.0, 365.0, 36.0], 4VuG2GQ0Aa, 5730632]
