[1164, 755]
[paragraph, [70.0, 80.0, 615.0, 18.0], DmwuFl8a6O, 5691765]
[paragraph, [70.0, 98.0, 615.0, 18.0], DmwuFl8a6O, 5691765]
[paragraph, [70.0, 116.0, 615.0, 18.0], DmwuFl8a6O, 5691765]
[paragraph, [70.0, 134.0, 615.0, 18.0], DmwuFl8a6O, 5691765]
[author, [538.0, 158.0, 134.0, 18.0], shoonya_3s84BDYT8E33OF, 5691765]
[author, [538.0, 176.0, 134.0, 18.0], shoonya_3s84BDYT8E33OF, 5691765]
[section-title, [109.0, 190.0, 125.0, 30.0], shoonya_1sHR6WOQZJNLMZ, 5691765]
[paragraph, [68.0, 225.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 243.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 261.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 279.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 297.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 315.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 333.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 351.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 369.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 387.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 405.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 423.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 441.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 459.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 477.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 495.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 513.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 531.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 549.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 567.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 585.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 603.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 621.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 639.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 657.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 675.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 693.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 711.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 729.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 747.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 765.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 783.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [68.0, 801.0, 621.0, 18.0], shoonya_0s2WVUKQTM641C, 5691765]
[paragraph, [65.0, 830.0, 629.0, 18.0], kYHV2QQu2g, 5691765]
[paragraph, [65.0, 848.0, 629.0, 18.0], kYHV2QQu2g, 5691765]
[paragraph, [65.0, 866.0, 629.0, 18.0], kYHV2QQu2g, 5691765]
[paragraph, [65.0, 884.0, 629.0, 18.0], kYHV2QQu2g, 5691765]
[paragraph, [65.0, 902.0, 629.0, 18.0], kYHV2QQu2g, 5691765]
[paragraph, [65.0, 920.0, 629.0, 18.0], kYHV2QQu2g, 5691765]
[paragraph, [65.0, 938.0, 629.0, 18.0], kYHV2QQu2g, 5691765]
[paragraph, [65.0, 956.0, 629.0, 18.0], kYHV2QQu2g, 5691765]
[paragraph, [65.0, 974.0, 629.0, 18.0], kYHV2QQu2g, 5691765]
