[2084, 1289]
[paragraph, [127.0, 263.0, 1034.0, 36.0], shoonya_2sF7DI78342XYE, 5660171]
[paragraph, [127.0, 299.0, 1034.0, 36.0], shoonya_2sF7DI78342XYE, 5660171]
[paragraph, [127.0, 335.0, 1034.0, 36.0], shoonya_2sF7DI78342XYE, 5660171]
[paragraph, [127.0, 371.0, 1034.0, 36.0], shoonya_2sF7DI78342XYE, 5660171]
[paragraph, [127.0, 407.0, 1034.0, 36.0], shoonya_2sF7DI78342XYE, 5660171]
[paragraph, [132.0, 484.0, 1026.0, 36.0], shoonya_3sTMORWQ3OI4NG, 5660171]
[paragraph, [132.0, 520.0, 1026.0, 36.0], shoonya_3sTMORWQ3OI4NG, 5660171]
[paragraph, [132.0, 556.0, 1026.0, 36.0], shoonya_3sTMORWQ3OI4NG, 5660171]
[paragraph, [132.0, 592.0, 1026.0, 36.0], shoonya_3sTMORWQ3OI4NG, 5660171]
[paragraph, [132.0, 628.0, 1026.0, 36.0], shoonya_3sTMORWQ3OI4NG, 5660171]
[paragraph, [334.0, 695.0, 628.0, 36.0], shoonya_6s1H82JZLGGQBL, 5660171]
[paragraph, [334.0, 731.0, 628.0, 36.0], shoonya_6s1H82JZLGGQBL, 5660171]
[paragraph, [334.0, 767.0, 628.0, 36.0], shoonya_6s1H82JZLGGQBL, 5660171]
[paragraph, [334.0, 803.0, 628.0, 36.0], shoonya_6s1H82JZLGGQBL, 5660171]
[paragraph, [132.0, 849.0, 1027.0, 36.0], shoonya_1sPXJAZ3S46DI3, 5660171]
[paragraph, [132.0, 885.0, 1027.0, 36.0], shoonya_1sPXJAZ3S46DI3, 5660171]
[paragraph, [132.0, 921.0, 1027.0, 36.0], shoonya_1sPXJAZ3S46DI3, 5660171]
[paragraph, [132.0, 957.0, 1027.0, 36.0], shoonya_1sPXJAZ3S46DI3, 5660171]
[paragraph, [132.0, 993.0, 1027.0, 36.0], shoonya_1sPXJAZ3S46DI3, 5660171]
[paragraph, [132.0, 1029.0, 1027.0, 36.0], shoonya_1sPXJAZ3S46DI3, 5660171]
[paragraph, [132.0, 1065.0, 1027.0, 36.0], shoonya_1sPXJAZ3S46DI3, 5660171]
[paragraph, [132.0, 1101.0, 1027.0, 36.0], shoonya_1sPXJAZ3S46DI3, 5660171]
[paragraph, [132.0, 1137.0, 1027.0, 36.0], shoonya_1sPXJAZ3S46DI3, 5660171]
[paragraph, [132.0, 1173.0, 1027.0, 36.0], shoonya_1sPXJAZ3S46DI3, 5660171]
[paragraph, [132.0, 1209.0, 1027.0, 36.0], shoonya_1sPXJAZ3S46DI3, 5660171]
[paragraph, [132.0, 1245.0, 1027.0, 36.0], shoonya_1sPXJAZ3S46DI3, 5660171]
[paragraph, [136.0, 1304.0, 1025.0, 36.0], shoonya_0s7CMSERLWDBGC, 5660171]
[paragraph, [136.0, 1340.0, 1025.0, 36.0], shoonya_0s7CMSERLWDBGC, 5660171]
[paragraph, [136.0, 1376.0, 1025.0, 36.0], shoonya_0s7CMSERLWDBGC, 5660171]
[paragraph, [136.0, 1412.0, 1025.0, 36.0], shoonya_0s7CMSERLWDBGC, 5660171]
[paragraph, [136.0, 1448.0, 1025.0, 36.0], shoonya_0s7CMSERLWDBGC, 5660171]
[paragraph, [136.0, 1484.0, 1025.0, 36.0], shoonya_0s7CMSERLWDBGC, 5660171]
[paragraph, [136.0, 1520.0, 1025.0, 36.0], shoonya_0s7CMSERLWDBGC, 5660171]
[paragraph, [136.0, 1556.0, 1025.0, 36.0], shoonya_0s7CMSERLWDBGC, 5660171]
[paragraph, [136.0, 1592.0, 1025.0, 36.0], shoonya_0s7CMSERLWDBGC, 5660171]
[paragraph, [136.0, 1628.0, 1025.0, 36.0], shoonya_0s7CMSERLWDBGC, 5660171]
[paragraph, [136.0, 1664.0, 1025.0, 36.0], shoonya_0s7CMSERLWDBGC, 5660171]
[paragraph, [136.0, 1700.0, 1025.0, 36.0], shoonya_0s7CMSERLWDBGC, 5660171]
[paragraph, [136.0, 1736.0, 1025.0, 36.0], shoonya_0s7CMSERLWDBGC, 5660171]
[paragraph, [136.0, 1772.0, 1025.0, 36.0], shoonya_0s7CMSERLWDBGC, 5660171]
[paragraph, [136.0, 1808.0, 1025.0, 36.0], shoonya_0s7CMSERLWDBGC, 5660171]
[paragraph, [136.0, 1844.0, 1025.0, 36.0], shoonya_0s7CMSERLWDBGC, 5660171]
[folio, [627.0, 1931.0, 661.0, 36.0], xUofWqSFG7, 5660171]
[folio, [627.0, 1967.0, 661.0, 36.0], xUofWqSFG7, 5660171]
