[1447, 1063]
[folio, [407.0, 49.0, 224.0, 18.0], s0_P9kd_AL, 5762866]
[folio, [407.0, 67.0, 224.0, 18.0], s0_P9kd_AL, 5762866]
[headline, [97.0, 93.0, 861.0, 25.5], shoonya_0sC50VEEL145IB, 5762866]
[headline, [97.0, 118.5, 861.0, 25.5], shoonya_0sC50VEEL145IB, 5762866]
[paragraph, [531.0, 184.0, 435.0, 18.0], fu5n49U5Em, 5762866]
[paragraph, [531.0, 202.0, 435.0, 18.0], fu5n49U5Em, 5762866]
[paragraph, [531.0, 220.0, 435.0, 18.0], fu5n49U5Em, 5762866]
[paragraph, [531.0, 238.0, 435.0, 18.0], fu5n49U5Em, 5762866]
[paragraph, [531.0, 256.0, 435.0, 18.0], fu5n49U5Em, 5762866]
[paragraph, [531.0, 274.0, 435.0, 18.0], fu5n49U5Em, 5762866]
[paragraph, [531.0, 292.0, 435.0, 18.0], fu5n49U5Em, 5762866]
[paragraph, [531.0, 310.0, 435.0, 18.0], fu5n49U5Em, 5762866]
[paragraph, [531.0, 328.0, 435.0, 18.0], fu5n49U5Em, 5762866]
[paragraph, [531.0, 346.0, 435.0, 18.0], fu5n49U5Em, 5762866]
[paragraph, [531.0, 364.0, 435.0, 18.0], fu5n49U5Em, 5762866]
[paragraph, [531.0, 382.0, 435.0, 18.0], fu5n49U5Em, 5762866]
[paragraph, [531.0, 400.0, 435.0, 18.0], fu5n49U5Em, 5762866]
[paragraph, [531.0, 418.0, 435.0, 18.0], fu5n49U5Em, 5762866]
[paragraph, [532.0, 455.0, 435.0, 18.0], shoonya_8s6FBFY43A6CFQ, 5762866]
[paragraph, [532.0, 473.0, 435.0, 18.0], shoonya_8s6FBFY43A6CFQ, 5762866]
[paragraph, [532.0, 491.0, 435.0, 18.0], shoonya_8s6FBFY43A6CFQ, 5762866]
[paragraph, [532.0, 509.0, 435.0, 18.0], shoonya_8s6FBFY43A6CFQ, 5762866]
[paragraph, [532.0, 527.0, 435.0, 18.0], shoonya_8s6FBFY43A6CFQ, 5762866]
[paragraph, [532.0, 545.0, 435.0, 18.0], shoonya_8s6FBFY43A6CFQ, 5762866]
[paragraph, [532.0, 563.0, 435.0, 18.0], shoonya_8s6FBFY43A6CFQ, 5762866]
[paragraph, [532.0, 581.0, 435.0, 18.0], shoonya_8s6FBFY43A6CFQ, 5762866]
[paragraph, [532.0, 599.0, 435.0, 18.0], shoonya_8s6FBFY43A6CFQ, 5762866]
[paragraph, [532.0, 617.0, 435.0, 18.0], shoonya_8s6FBFY43A6CFQ, 5762866]
[paragraph, [532.0, 635.0, 435.0, 18.0], shoonya_8s6FBFY43A6CFQ, 5762866]
[paragraph, [532.0, 653.0, 435.0, 18.0], shoonya_8s6FBFY43A6CFQ, 5762866]
[paragraph, [532.0, 671.0, 435.0, 18.0], shoonya_8s6FBFY43A6CFQ, 5762866]
[paragraph, [89.0, 508.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 526.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 544.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 562.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 580.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 598.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 616.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 634.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 652.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 670.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 688.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 706.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 724.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 742.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 760.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 778.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 796.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 814.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 832.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[paragraph, [89.0, 850.0, 437.0, 18.0], mtlNhnNNOz, 5762866]
[section-title, [92.0, 901.0, 429.0, 30.0], shoonya_6sVE3E4TGQAZ5Y, 5762866]
[section-title, [92.0, 931.0, 429.0, 30.0], shoonya_6sVE3E4TGQAZ5Y, 5762866]
[paragraph, [89.0, 988.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [89.0, 1006.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [89.0, 1024.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [89.0, 1042.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [89.0, 1060.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [89.0, 1078.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [89.0, 1096.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [89.0, 1114.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [89.0, 1132.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [89.0, 1150.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [89.0, 1168.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [89.0, 1186.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [89.0, 1204.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [89.0, 1222.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [89.0, 1240.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [89.0, 1258.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [89.0, 1276.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [89.0, 1294.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [89.0, 1312.0, 438.0, 18.0], eCV77GV59m, 5762866]
[paragraph, [534.0, 1161.0, 435.0, 18.0], EduYlgTANm, 5762866]
[paragraph, [534.0, 1179.0, 435.0, 18.0], EduYlgTANm, 5762866]
[paragraph, [534.0, 1197.0, 435.0, 18.0], EduYlgTANm, 5762866]
[paragraph, [534.0, 1215.0, 435.0, 18.0], EduYlgTANm, 5762866]
[paragraph, [534.0, 1233.0, 435.0, 18.0], EduYlgTANm, 5762866]
[paragraph, [534.0, 1251.0, 435.0, 18.0], EduYlgTANm, 5762866]
[paragraph, [534.0, 1269.0, 435.0, 18.0], EduYlgTANm, 5762866]
[paragraph, [534.0, 1287.0, 435.0, 18.0], EduYlgTANm, 5762866]
[paragraph, [534.0, 1305.0, 435.0, 18.0], EduYlgTANm, 5762866]
[paragraph, [534.0, 1323.0, 435.0, 18.0], EduYlgTANm, 5762866]
