[1350, 975]
[paragraph, [111.0, 117.0, 756.0, 18.0], shoonya_2s2T2VKKFC109H, 6473820]
[paragraph, [111.0, 135.0, 756.0, 18.0], shoonya_2s2T2VKKFC109H, 6473820]
[paragraph, [111.0, 153.0, 756.0, 18.0], shoonya_2s2T2VKKFC109H, 6473820]
[paragraph, [111.0, 171.0, 756.0, 18.0], shoonya_2s2T2VKKFC109H, 6473820]
[paragraph, [111.0, 189.0, 756.0, 18.0], shoonya_2s2T2VKKFC109H, 6473820]
[paragraph, [111.0, 207.0, 756.0, 18.0], shoonya_2s2T2VKKFC109H, 6473820]
[paragraph, [111.0, 225.0, 756.0, 18.0], shoonya_2s2T2VKKFC109H, 6473820]
[paragraph, [111.0, 243.0, 756.0, 18.0], shoonya_2s2T2VKKFC109H, 6473820]
[paragraph, [111.0, 261.0, 756.0, 18.0], shoonya_2s2T2VKKFC109H, 6473820]
[paragraph, [111.0, 279.0, 756.0, 18.0], shoonya_2s2T2VKKFC109H, 6473820]
[paragraph, [111.0, 297.0, 756.0, 18.0], shoonya_2s2T2VKKFC109H, 6473820]
[paragraph, [111.0, 315.0, 756.0, 18.0], shoonya_2s2T2VKKFC109H, 6473820]
[paragraph, [111.0, 333.0, 756.0, 18.0], shoonya_2s2T2VKKFC109H, 6473820]
[paragraph, [111.0, 351.0, 756.0, 18.0], shoonya_2s2T2VKKFC109H, 6473820]
[paragraph, [111.0, 369.0, 756.0, 18.0], shoonya_2s2T2VKKFC109H, 6473820]
[paragraph, [111.0, 387.0, 756.0, 18.0], shoonya_2s2T2VKKFC109H, 6473820]
[paragraph, [110.0, 447.0, 757.0, 18.0], shoonya_0s35U921AA3EL3, 6473820]
[paragraph, [110.0, 465.0, 757.0, 18.0], shoonya_0s35U921AA3EL3, 6473820]
[paragraph, [110.0, 483.0, 757.0, 18.0], shoonya_0s35U921AA3EL3, 6473820]
[paragraph, [110.0, 501.0, 757.0, 18.0], shoonya_0s35U921AA3EL3, 6473820]
[paragraph, [110.0, 519.0, 757.0, 18.0], shoonya_0s35U921AA3EL3, 6473820]
[paragraph, [110.0, 537.0, 757.0, 18.0], shoonya_0s35U921AA3EL3, 6473820]
[paragraph, [110.0, 555.0, 757.0, 18.0], shoonya_0s35U921AA3EL3, 6473820]
[paragraph, [110.0, 573.0, 757.0, 18.0], shoonya_0s35U921AA3EL3, 6473820]
[paragraph, [110.0, 591.0, 757.0, 18.0], shoonya_0s35U921AA3EL3, 6473820]
[paragraph, [110.0, 609.0, 757.0, 18.0], shoonya_0s35U921AA3EL3, 6473820]
[paragraph, [110.0, 627.0, 757.0, 18.0], shoonya_0s35U921AA3EL3, 6473820]
[paragraph, [110.0, 645.0, 757.0, 18.0], shoonya_0s35U921AA3EL3, 6473820]
[paragraph, [110.0, 663.0, 757.0, 18.0], shoonya_0s35U921AA3EL3, 6473820]
[paragraph, [110.0, 681.0, 757.0, 18.0], shoonya_0s35U921AA3EL3, 6473820]
[paragraph, [110.0, 699.0, 757.0, 18.0], shoonya_0s35U921AA3EL3, 6473820]
[paragraph, [110.0, 717.0, 757.0, 18.0], shoonya_0s35U921AA3EL3, 6473820]
[paragraph, [110.0, 735.0, 757.0, 18.0], shoonya_0s35U921AA3EL3, 6473820]
[paragraph, [110.0, 753.0, 757.0, 18.0], shoonya_0s35U921AA3EL3, 6473820]
[paragraph, [112.0, 809.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 827.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 845.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 863.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 881.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 899.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 917.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 935.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 953.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 971.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 989.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 1007.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 1025.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 1043.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 1061.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 1079.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 1097.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 1115.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 1133.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
[paragraph, [112.0, 1151.0, 755.0, 18.0], shoonya_1sSWO202H2190P, 6473820]
