[1736, 1323]
[paragraph, [117.0, 119.0, 545.0, 36.0], GokQHNXx5e, 5772219]
[paragraph, [117.0, 155.0, 545.0, 36.0], GokQHNXx5e, 5772219]
[paragraph, [117.0, 191.0, 545.0, 36.0], GokQHNXx5e, 5772219]
[paragraph, [117.0, 227.0, 545.0, 36.0], GokQHNXx5e, 5772219]
[paragraph, [117.0, 263.0, 545.0, 36.0], GokQHNXx5e, 5772219]
[quote, [1034.0, 144.0, 152.0, 36.0], 5XR6chCNul, 5772219]
[quote, [1034.0, 180.0, 152.0, 36.0], 5XR6chCNul, 5772219]
[quote, [1034.0, 216.0, 152.0, 36.0], 5XR6chCNul, 5772219]
[quote, [1034.0, 252.0, 152.0, 36.0], 5XR6chCNul, 5772219]
[quote, [1034.0, 288.0, 152.0, 36.0], 5XR6chCNul, 5772219]
[quote, [1034.0, 324.0, 152.0, 36.0], 5XR6chCNul, 5772219]
[quote, [1034.0, 360.0, 152.0, 36.0], 5XR6chCNul, 5772219]
[quote, [681.0, 164.0, 177.0, 36.0], JCSXaLaPcm, 5772219]
[quote, [681.0, 200.0, 177.0, 36.0], JCSXaLaPcm, 5772219]
[quote, [681.0, 236.0, 177.0, 36.0], JCSXaLaPcm, 5772219]
[quote, [681.0, 272.0, 177.0, 36.0], JCSXaLaPcm, 5772219]
[unordered-list, [129.0, 338.0, 533.0, 36.0], qB8UtWr4y6, 5772219]
[unordered-list, [129.0, 374.0, 533.0, 36.0], qB8UtWr4y6, 5772219]
[unordered-list, [129.0, 410.0, 533.0, 36.0], qB8UtWr4y6, 5772219]
[unordered-list, [129.0, 446.0, 533.0, 36.0], qB8UtWr4y6, 5772219]
[unordered-list, [129.0, 482.0, 533.0, 36.0], qB8UtWr4y6, 5772219]
[paragraph, [119.0, 530.0, 538.0, 36.0], 1Qq1vx5vbi, 5772219]
[paragraph, [119.0, 566.0, 538.0, 36.0], 1Qq1vx5vbi, 5772219]
[paragraph, [119.0, 602.0, 538.0, 36.0], 1Qq1vx5vbi, 5772219]
[paragraph, [664.0, 562.0, 542.0, 36.0], we9Q3zl3mN, 5772219]
[paragraph, [664.0, 598.0, 542.0, 36.0], we9Q3zl3mN, 5772219]
[paragraph, [666.0, 646.0, 538.0, 36.0], Dwcpcey9Qi, 5772219]
[paragraph, [666.0, 682.0, 538.0, 36.0], Dwcpcey9Qi, 5772219]
[paragraph, [124.0, 658.0, 532.0, 36.0], shoonya_0sNM3SMOAKXGYB, 5772219]
[paragraph, [124.0, 694.0, 532.0, 36.0], shoonya_0sNM3SMOAKXGYB, 5772219]
[paragraph, [124.0, 730.0, 532.0, 36.0], shoonya_0sNM3SMOAKXGYB, 5772219]
[paragraph, [661.0, 747.0, 537.0, 36.0], lHnneiyjNq, 5772219]
[paragraph, [661.0, 783.0, 537.0, 36.0], lHnneiyjNq, 5772219]
[paragraph, [661.0, 819.0, 537.0, 36.0], lHnneiyjNq, 5772219]
[paragraph, [121.0, 795.0, 538.0, 36.0], PMtelXSJhK, 5772219]
[paragraph, [121.0, 831.0, 538.0, 36.0], PMtelXSJhK, 5772219]
[paragraph, [121.0, 867.0, 538.0, 36.0], PMtelXSJhK, 5772219]
[paragraph, [121.0, 903.0, 538.0, 36.0], PMtelXSJhK, 5772219]
[paragraph, [121.0, 939.0, 538.0, 36.0], PMtelXSJhK, 5772219]
[paragraph, [121.0, 975.0, 538.0, 36.0], PMtelXSJhK, 5772219]
[paragraph, [121.0, 1011.0, 538.0, 36.0], PMtelXSJhK, 5772219]
[paragraph, [661.0, 873.0, 543.0, 36.0], o5SQ-piZbr, 5772219]
[paragraph, [661.0, 909.0, 543.0, 36.0], o5SQ-piZbr, 5772219]
[paragraph, [661.0, 945.0, 543.0, 36.0], o5SQ-piZbr, 5772219]
[paragraph, [661.0, 981.0, 543.0, 36.0], o5SQ-piZbr, 5772219]
[paragraph, [661.0, 1036.0, 542.0, 36.0], jrjGAQF-ip, 5772219]
[paragraph, [661.0, 1072.0, 542.0, 36.0], jrjGAQF-ip, 5772219]
[paragraph, [661.0, 1108.0, 542.0, 36.0], jrjGAQF-ip, 5772219]
[paragraph, [119.0, 1084.0, 543.0, 36.0], 9nvHFQTy5q, 5772219]
[paragraph, [119.0, 1120.0, 543.0, 36.0], 9nvHFQTy5q, 5772219]
[paragraph, [119.0, 1156.0, 543.0, 36.0], 9nvHFQTy5q, 5772219]
[paragraph, [119.0, 1192.0, 543.0, 36.0], 9nvHFQTy5q, 5772219]
[paragraph, [119.0, 1228.0, 543.0, 36.0], 9nvHFQTy5q, 5772219]
[unordered-list, [671.0, 1177.0, 537.0, 36.0], 8Xxw4c7Fn_, 5772219]
[unordered-list, [671.0, 1213.0, 537.0, 36.0], 8Xxw4c7Fn_, 5772219]
[unordered-list, [671.0, 1249.0, 537.0, 36.0], 8Xxw4c7Fn_, 5772219]
[unordered-list, [671.0, 1285.0, 537.0, 36.0], 8Xxw4c7Fn_, 5772219]
[unordered-list, [671.0, 1321.0, 537.0, 36.0], 8Xxw4c7Fn_, 5772219]
[paragraph, [121.0, 1276.0, 542.0, 36.0], ilNPNE-E81, 5772219]
[paragraph, [121.0, 1312.0, 542.0, 36.0], ilNPNE-E81, 5772219]
[paragraph, [121.0, 1348.0, 542.0, 36.0], ilNPNE-E81, 5772219]
[paragraph, [121.0, 1384.0, 542.0, 36.0], ilNPNE-E81, 5772219]
[paragraph, [666.0, 1377.0, 557.0, 36.0], D4NVhyd8R2, 5772219]
[paragraph, [666.0, 1413.0, 557.0, 36.0], D4NVhyd8R2, 5772219]
[paragraph, [666.0, 1449.0, 557.0, 36.0], D4NVhyd8R2, 5772219]
[paragraph, [666.0, 1485.0, 557.0, 36.0], D4NVhyd8R2, 5772219]
[paragraph, [666.0, 1521.0, 557.0, 36.0], D4NVhyd8R2, 5772219]
[paragraph, [119.0, 1440.0, 540.0, 36.0], krieJMwUqC, 5772219]
[paragraph, [119.0, 1476.0, 540.0, 36.0], krieJMwUqC, 5772219]
[paragraph, [119.0, 1512.0, 540.0, 36.0], krieJMwUqC, 5772219]
[author, [928.0, 1485.0, 290.0, 36.0], KI-Uhb9jY5, 5772219]
[author, [928.0, 1521.0, 290.0, 36.0], KI-Uhb9jY5, 5772219]
[folio, [586.0, 1571.0, 150.0, 36.0], _LXhVy6ROn, 5772219]
