[1300, 900]
[folio, [325.0, 43.0, 256.0, 18.0], 7nuvLICik1, 5730647]
[paragraph, [97.0, 107.0, 709.0, 18.0], shoonya_0sZ448SMKE95SA, 5730647]
[paragraph, [97.0, 125.0, 709.0, 18.0], shoonya_0sZ448SMKE95SA, 5730647]
[paragraph, [97.0, 143.0, 709.0, 18.0], shoonya_0sZ448SMKE95SA, 5730647]
[paragraph, [97.0, 161.0, 709.0, 18.0], shoonya_0sZ448SMKE95SA, 5730647]
[paragraph, [217.0, 193.0, 513.0, 18.0], shoonya_2sPYB253SQWWGC, 5730647]
[paragraph, [217.0, 211.0, 513.0, 18.0], shoonya_2sPYB253SQWWGC, 5730647]
[paragraph, [217.0, 229.0, 513.0, 18.0], shoonya_2sPYB253SQWWGC, 5730647]
[paragraph, [217.0, 247.0, 513.0, 18.0], shoonya_2sPYB253SQWWGC, 5730647]
[paragraph, [217.0, 265.0, 513.0, 18.0], shoonya_2sPYB253SQWWGC, 5730647]
[paragraph, [217.0, 283.0, 513.0, 18.0], shoonya_2sPYB253SQWWGC, 5730647]
[paragraph, [217.0, 301.0, 513.0, 18.0], shoonya_2sPYB253SQWWGC, 5730647]
[paragraph, [217.0, 319.0, 513.0, 18.0], shoonya_2sPYB253SQWWGC, 5730647]
[paragraph, [217.0, 337.0, 513.0, 18.0], shoonya_2sPYB253SQWWGC, 5730647]
[paragraph, [102.0, 358.0, 705.0, 18.0], vjkf49aDB0, 5730647]
[paragraph, [102.0, 376.0, 705.0, 18.0], vjkf49aDB0, 5730647]
[paragraph, [102.0, 394.0, 705.0, 18.0], vjkf49aDB0, 5730647]
[paragraph, [102.0, 412.0, 705.0, 18.0], vjkf49aDB0, 5730647]
[paragraph, [102.0, 430.0, 705.0, 18.0], vjkf49aDB0, 5730647]
[paragraph, [102.0, 448.0, 705.0, 18.0], vjkf49aDB0, 5730647]
[paragraph, [102.0, 466.0, 705.0, 18.0], vjkf49aDB0, 5730647]
[paragraph, [219.0, 489.0, 511.0, 18.0], wwl2Qe0e8d, 5730647]
[paragraph, [219.0, 507.0, 511.0, 18.0], wwl2Qe0e8d, 5730647]
[paragraph, [219.0, 525.0, 511.0, 18.0], wwl2Qe0e8d, 5730647]
[paragraph, [219.0, 543.0, 511.0, 18.0], wwl2Qe0e8d, 5730647]
[paragraph, [219.0, 561.0, 511.0, 18.0], wwl2Qe0e8d, 5730647]
[paragraph, [219.0, 579.0, 511.0, 18.0], wwl2Qe0e8d, 5730647]
[paragraph, [219.0, 597.0, 511.0, 18.0], wwl2Qe0e8d, 5730647]
[paragraph, [219.0, 615.0, 511.0, 18.0], wwl2Qe0e8d, 5730647]
[paragraph, [219.0, 633.0, 511.0, 18.0], wwl2Qe0e8d, 5730647]
[paragraph, [101.0, 660.0, 710.0, 18.0], d9ZMob-1N5, 5730647]
[paragraph, [101.0, 678.0, 710.0, 18.0], d9ZMob-1N5, 5730647]
[paragraph, [101.0, 696.0, 710.0, 18.0], d9ZMob-1N5, 5730647]
[paragraph, [101.0, 714.0, 710.0, 18.0], d9ZMob-1N5, 5730647]
[paragraph, [101.0, 732.0, 710.0, 18.0], d9ZMob-1N5, 5730647]
[paragraph, [101.0, 750.0, 710.0, 18.0], d9ZMob-1N5, 5730647]
[paragraph, [101.0, 768.0, 710.0, 18.0], d9ZMob-1N5, 5730647]
[paragraph, [220.0, 791.0, 513.0, 18.0], QLjwMiTKhf, 5730647]
[paragraph, [220.0, 809.0, 513.0, 18.0], QLjwMiTKhf, 5730647]
[paragraph, [220.0, 827.0, 513.0, 18.0], QLjwMiTKhf, 5730647]
[paragraph, [220.0, 845.0, 513.0, 18.0], QLjwMiTKhf, 5730647]
[paragraph, [220.0, 863.0, 513.0, 18.0], QLjwMiTKhf, 5730647]
[paragraph, [220.0, 881.0, 513.0, 18.0], QLjwMiTKhf, 5730647]
[paragraph, [220.0, 899.0, 513.0, 18.0], QLjwMiTKhf, 5730647]
[paragraph, [220.0, 917.0, 513.0, 18.0], QLjwMiTKhf, 5730647]
[paragraph, [220.0, 935.0, 513.0, 18.0], QLjwMiTKhf, 5730647]
[paragraph, [101.0, 964.0, 705.0, 18.0], ix0eNZNVkr, 5730647]
[paragraph, [101.0, 982.0, 705.0, 18.0], ix0eNZNVkr, 5730647]
[paragraph, [101.0, 1000.0, 705.0, 18.0], ix0eNZNVkr, 5730647]
[paragraph, [101.0, 1018.0, 705.0, 18.0], ix0eNZNVkr, 5730647]
[paragraph, [101.0, 1036.0, 705.0, 18.0], ix0eNZNVkr, 5730647]
[paragraph, [101.0, 1054.0, 705.0, 18.0], ix0eNZNVkr, 5730647]
[paragraph, [101.0, 1072.0, 705.0, 18.0], ix0eNZNVkr, 5730647]
[paragraph, [101.0, 1090.0, 705.0, 18.0], ix0eNZNVkr, 5730647]
[paragraph, [101.0, 1108.0, 705.0, 18.0], ix0eNZNVkr, 5730647]
[paragraph, [101.0, 1126.0, 705.0, 18.0], ix0eNZNVkr, 5730647]
[paragraph, [101.0, 1144.0, 705.0, 18.0], ix0eNZNVkr, 5730647]
[paragraph, [106.0, 1176.0, 696.0, 18.0], shoonya_3sM84B81F9SG7B, 5730647]
[paragraph, [106.0, 1194.0, 696.0, 18.0], shoonya_3sM84B81F9SG7B, 5730647]
[paragraph, [106.0, 1212.0, 696.0, 18.0], shoonya_3sM84B81F9SG7B, 5730647]
[paragraph, [106.0, 1230.0, 696.0, 18.0], shoonya_3sM84B81F9SG7B, 5730647]
