[3509, 2480]
[paragraph, [423.0, 277.0, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 329.5, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 382.0, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 434.5, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 487.0, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 539.5, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 592.0, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 644.5, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 697.0, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 749.5, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 802.0, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 854.5, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 907.0, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 959.5, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1012.0, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1064.5, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1117.0, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1169.5, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1222.0, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1274.5, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1327.0, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1379.5, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1432.0, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1484.5, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1537.0, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1589.5, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1642.0, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1694.5, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1747.0, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1799.5, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1852.0, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1904.5, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
[paragraph, [423.0, 1957.0, 1819.0, 52.5], shoonya_1s9EMOZB66DZDL, 5723839]
