[1050, 693]
[folio, [88.0, 74.0, 86.0, 18.0], shoonya_1sNL11U0IRW31P, 5702403]
[folio, [88.0, 92.0, 86.0, 18.0], shoonya_1sNL11U0IRW31P, 5702403]
[paragraph, [79.0, 123.0, 531.0, 18.0], shoonya_0s11SIZKZ1D6MY, 5702403]
[paragraph, [79.0, 141.0, 531.0, 18.0], shoonya_0s11SIZKZ1D6MY, 5702403]
[paragraph, [79.0, 159.0, 531.0, 18.0], shoonya_0s11SIZKZ1D6MY, 5702403]
[paragraph, [79.0, 177.0, 531.0, 18.0], shoonya_0s11SIZKZ1D6MY, 5702403]
[paragraph, [79.0, 195.0, 531.0, 18.0], shoonya_0s11SIZKZ1D6MY, 5702403]
[paragraph, [79.0, 213.0, 531.0, 18.0], shoonya_0s11SIZKZ1D6MY, 5702403]
[paragraph, [79.0, 231.0, 531.0, 18.0], shoonya_0s11SIZKZ1D6MY, 5702403]
[paragraph, [79.0, 249.0, 531.0, 18.0], shoonya_0s11SIZKZ1D6MY, 5702403]
[paragraph, [79.0, 267.0, 531.0, 18.0], shoonya_0s11SIZKZ1D6MY, 5702403]
[paragraph, [79.0, 285.0, 531.0, 18.0], shoonya_0s11SIZKZ1D6MY, 5702403]
[paragraph, [79.0, 303.0, 531.0, 18.0], shoonya_0s11SIZKZ1D6MY, 5702403]
[paragraph, [79.0, 321.0, 531.0, 18.0], shoonya_0s11SIZKZ1D6MY, 5702403]
[paragraph, [79.0, 339.0, 531.0, 18.0], shoonya_0s11SIZKZ1D6MY, 5702403]
[paragraph, [79.0, 365.0, 534.0, 18.0], pkFj3cd5yA, 5702403]
[paragraph, [79.0, 383.0, 534.0, 18.0], pkFj3cd5yA, 5702403]
[paragraph, [79.0, 401.0, 534.0, 18.0], pkFj3cd5yA, 5702403]
[paragraph, [79.0, 419.0, 534.0, 18.0], pkFj3cd5yA, 5702403]
[paragraph, [79.0, 437.0, 534.0, 18.0], pkFj3cd5yA, 5702403]
[paragraph, [83.0, 455.0, 527.0, 18.0], hSfmQv57Zx, 5702403]
[paragraph, [83.0, 473.0, 527.0, 18.0], hSfmQv57Zx, 5702403]
[paragraph, [83.0, 491.0, 527.0, 18.0], hSfmQv57Zx, 5702403]
[paragraph, [81.0, 518.0, 534.0, 18.0], jdXIa4cDwx, 5702403]
[paragraph, [81.0, 536.0, 534.0, 18.0], jdXIa4cDwx, 5702403]
[paragraph, [81.0, 554.0, 534.0, 18.0], jdXIa4cDwx, 5702403]
[paragraph, [81.0, 572.0, 534.0, 18.0], jdXIa4cDwx, 5702403]
[paragraph, [81.0, 590.0, 534.0, 18.0], jdXIa4cDwx, 5702403]
[paragraph, [80.0, 610.0, 532.0, 18.0], _pchf_ZRbY, 5702403]
[paragraph, [80.0, 628.0, 532.0, 18.0], _pchf_ZRbY, 5702403]
[paragraph, [80.0, 646.0, 532.0, 18.0], _pchf_ZRbY, 5702403]
[paragraph, [79.0, 669.0, 533.0, 18.0], 5jZ0ocigtg, 5702403]
[paragraph, [79.0, 687.0, 533.0, 18.0], 5jZ0ocigtg, 5702403]
[paragraph, [79.0, 705.0, 533.0, 18.0], 5jZ0ocigtg, 5702403]
[paragraph, [79.0, 723.0, 533.0, 18.0], 5jZ0ocigtg, 5702403]
[paragraph, [79.0, 741.0, 533.0, 18.0], 5jZ0ocigtg, 5702403]
[paragraph, [78.0, 761.0, 533.0, 18.0], mt-Rd2j6KJ, 5702403]
[paragraph, [78.0, 779.0, 533.0, 18.0], mt-Rd2j6KJ, 5702403]
[paragraph, [78.0, 797.0, 533.0, 18.0], mt-Rd2j6KJ, 5702403]
[paragraph, [78.0, 815.0, 533.0, 18.0], mt-Rd2j6KJ, 5702403]
[paragraph, [78.0, 833.0, 533.0, 18.0], mt-Rd2j6KJ, 5702403]
[paragraph, [78.0, 851.0, 533.0, 18.0], mt-Rd2j6KJ, 5702403]
[paragraph, [78.0, 869.0, 533.0, 18.0], mt-Rd2j6KJ, 5702403]
[paragraph, [78.0, 887.0, 533.0, 18.0], mt-Rd2j6KJ, 5702403]
[paragraph, [78.0, 905.0, 533.0, 18.0], mt-Rd2j6KJ, 5702403]
[paragraph, [78.0, 923.0, 533.0, 18.0], mt-Rd2j6KJ, 5702403]
