[1754, 1241]
[paragraph, [201.0, 139.0, 904.0, 36.0], 1U-GteJ2f_, 6471143]
[paragraph, [201.0, 175.0, 904.0, 36.0], 1U-GteJ2f_, 6471143]
[paragraph, [201.0, 211.0, 904.0, 36.0], 1U-GteJ2f_, 6471143]
[paragraph, [201.0, 247.0, 904.0, 36.0], 1U-GteJ2f_, 6471143]
[paragraph, [202.0, 317.0, 901.0, 36.0], GiJiQ7YkY6, 6471143]
[paragraph, [202.0, 353.0, 901.0, 36.0], GiJiQ7YkY6, 6471143]
[paragraph, [202.0, 389.0, 901.0, 36.0], GiJiQ7YkY6, 6471143]
[paragraph, [202.0, 425.0, 901.0, 36.0], GiJiQ7YkY6, 6471143]
[paragraph, [202.0, 461.0, 901.0, 36.0], GiJiQ7YkY6, 6471143]
[paragraph, [202.0, 497.0, 901.0, 36.0], GiJiQ7YkY6, 6471143]
[paragraph, [202.0, 533.0, 901.0, 36.0], GiJiQ7YkY6, 6471143]
[paragraph, [202.0, 569.0, 901.0, 36.0], GiJiQ7YkY6, 6471143]
[paragraph, [202.0, 605.0, 901.0, 36.0], GiJiQ7YkY6, 6471143]
[paragraph, [202.0, 641.0, 901.0, 36.0], GiJiQ7YkY6, 6471143]
[paragraph, [202.0, 677.0, 901.0, 36.0], GiJiQ7YkY6, 6471143]
[paragraph, [202.0, 713.0, 901.0, 36.0], GiJiQ7YkY6, 6471143]
[paragraph, [196.0, 859.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 895.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 931.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 967.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 1003.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 1039.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 1075.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 1111.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 1147.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 1183.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 1219.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 1255.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 1291.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 1327.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 1363.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 1399.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 1435.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 1471.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 1507.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
[paragraph, [196.0, 1543.0, 916.0, 36.0], shoonya_0s9BKCSTH7JYPV, 6471143]
