[834, 618]
[folio, [33.0, 48.0, 258.0, 18.0], Mjy77zK6uB, 5712459]
[unordered-list, [53.0, 117.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 135.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 153.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 171.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 189.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 207.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 225.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 243.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 261.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 279.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 297.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 315.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 333.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 351.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 369.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 387.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 405.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 423.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 441.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 459.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [53.0, 477.0, 247.0, 18.0], shoonya_1sYVHIRYQYJBQR, 5712459]
[unordered-list, [320.0, 332.0, 245.0, 18.0], shoonya_2s6HKYQJ7E3RZE, 5712459]
[unordered-list, [320.0, 350.0, 245.0, 18.0], shoonya_2s6HKYQJ7E3RZE, 5712459]
[unordered-list, [320.0, 368.0, 245.0, 18.0], shoonya_2s6HKYQJ7E3RZE, 5712459]
[unordered-list, [320.0, 386.0, 245.0, 18.0], shoonya_2s6HKYQJ7E3RZE, 5712459]
[unordered-list, [320.0, 404.0, 245.0, 18.0], shoonya_2s6HKYQJ7E3RZE, 5712459]
[unordered-list, [320.0, 422.0, 245.0, 18.0], shoonya_2s6HKYQJ7E3RZE, 5712459]
[unordered-list, [320.0, 440.0, 245.0, 18.0], shoonya_2s6HKYQJ7E3RZE, 5712459]
[unordered-list, [320.0, 458.0, 245.0, 18.0], shoonya_2s6HKYQJ7E3RZE, 5712459]
[unordered-list, [320.0, 476.0, 245.0, 18.0], shoonya_2s6HKYQJ7E3RZE, 5712459]
[paragraph, [314.0, 511.0, 259.0, 18.0], 3KBpZ2CD3w, 5712459]
[paragraph, [314.0, 529.0, 259.0, 18.0], 3KBpZ2CD3w, 5712459]
[paragraph, [314.0, 547.0, 259.0, 18.0], 3KBpZ2CD3w, 5712459]
[paragraph, [314.0, 565.0, 259.0, 18.0], 3KBpZ2CD3w, 5712459]
[paragraph, [314.0, 583.0, 259.0, 18.0], 3KBpZ2CD3w, 5712459]
[paragraph, [44.0, 513.0, 258.0, 18.0], AmiLvONJMV, 5712459]
[paragraph, [44.0, 531.0, 258.0, 18.0], AmiLvONJMV, 5712459]
[paragraph, [44.0, 549.0, 258.0, 18.0], AmiLvONJMV, 5712459]
[paragraph, [44.0, 567.0, 258.0, 18.0], AmiLvONJMV, 5712459]
[paragraph, [44.0, 585.0, 258.0, 18.0], AmiLvONJMV, 5712459]
[paragraph, [44.0, 603.0, 258.0, 18.0], AmiLvONJMV, 5712459]
[paragraph, [44.0, 621.0, 258.0, 18.0], AmiLvONJMV, 5712459]
[paragraph, [44.0, 639.0, 258.0, 18.0], AmiLvONJMV, 5712459]
[paragraph, [44.0, 657.0, 258.0, 18.0], AmiLvONJMV, 5712459]
[paragraph, [44.0, 675.0, 258.0, 18.0], AmiLvONJMV, 5712459]
[paragraph, [44.0, 693.0, 258.0, 18.0], AmiLvONJMV, 5712459]
[paragraph, [44.0, 711.0, 258.0, 18.0], AmiLvONJMV, 5712459]
[paragraph, [44.0, 729.0, 258.0, 18.0], AmiLvONJMV, 5712459]
[paragraph, [44.0, 747.0, 258.0, 18.0], AmiLvONJMV, 5712459]
[paragraph, [314.0, 629.0, 252.0, 18.0], KOBdVWXSpT, 5712459]
[paragraph, [314.0, 647.0, 252.0, 18.0], KOBdVWXSpT, 5712459]
[paragraph, [314.0, 665.0, 252.0, 18.0], KOBdVWXSpT, 5712459]
[paragraph, [314.0, 683.0, 252.0, 18.0], KOBdVWXSpT, 5712459]
[paragraph, [314.0, 701.0, 252.0, 18.0], KOBdVWXSpT, 5712459]
[paragraph, [314.0, 731.0, 253.0, 18.0], CsWr3AJS_6, 5712459]
