[2640, 1768]
[headline, [13.0, 240.0, 430.0, 52.5], RSDgfJ2rqm, 5693826]
[figure-caption, [1525.0, 324.0, 211.0, 46.5], LiXZv6uGok, 5693826]
[paragraph, [26.0, 333.0, 860.0, 46.5], c1g8-z3jaz, 5693826]
[paragraph, [26.0, 379.5, 860.0, 46.5], c1g8-z3jaz, 5693826]
[paragraph, [26.0, 426.0, 860.0, 46.5], c1g8-z3jaz, 5693826]
[paragraph, [26.0, 472.5, 860.0, 46.5], c1g8-z3jaz, 5693826]
[paragraph, [26.0, 519.0, 860.0, 46.5], c1g8-z3jaz, 5693826]
[paragraph, [26.0, 565.5, 860.0, 46.5], c1g8-z3jaz, 5693826]
[paragraph, [26.0, 612.0, 860.0, 46.5], c1g8-z3jaz, 5693826]
[paragraph, [26.0, 658.5, 860.0, 46.5], c1g8-z3jaz, 5693826]
[paragraph, [26.0, 705.0, 860.0, 46.5], c1g8-z3jaz, 5693826]
[paragraph, [26.0, 751.5, 860.0, 46.5], c1g8-z3jaz, 5693826]
[paragraph, [26.0, 798.0, 860.0, 46.5], c1g8-z3jaz, 5693826]
[paragraph, [26.0, 844.5, 860.0, 46.5], c1g8-z3jaz, 5693826]
[paragraph, [26.0, 891.0, 860.0, 46.5], c1g8-z3jaz, 5693826]
[paragraph, [26.0, 937.5, 860.0, 46.5], c1g8-z3jaz, 5693826]
[figure-caption, [761.0, 1115.0, 152.0, 46.5], 0J4A_41sBd, 5693826]
[figure-caption, [761.0, 1161.5, 152.0, 46.5], 0J4A_41sBd, 5693826]
[figure-caption, [761.0, 1208.0, 152.0, 46.5], 0J4A_41sBd, 5693826]
[paragraph, [19.0, 1135.0, 732.0, 46.5], Y0fJcC2SfD, 5693826]
[paragraph, [19.0, 1181.5, 732.0, 46.5], Y0fJcC2SfD, 5693826]
[paragraph, [19.0, 1228.0, 732.0, 46.5], Y0fJcC2SfD, 5693826]
[paragraph, [19.0, 1274.5, 732.0, 46.5], Y0fJcC2SfD, 5693826]
[paragraph, [19.0, 1321.0, 732.0, 46.5], Y0fJcC2SfD, 5693826]
[paragraph, [19.0, 1367.5, 732.0, 46.5], Y0fJcC2SfD, 5693826]
[paragraph, [19.0, 1414.0, 732.0, 46.5], Y0fJcC2SfD, 5693826]
[paragraph, [19.0, 1460.5, 732.0, 46.5], Y0fJcC2SfD, 5693826]
[paragraph, [19.0, 1507.0, 732.0, 46.5], Y0fJcC2SfD, 5693826]
[paragraph, [19.0, 1553.5, 732.0, 46.5], Y0fJcC2SfD, 5693826]
[subsub-headline, [6.0, 1616.0, 529.0, 70.5], WvhWmTCFx_, 5693826]
[paragraph, [845.0, 1696.0, 799.0, 46.5], 7EHuqI8lcZ, 5693826]
[paragraph, [845.0, 1742.5, 799.0, 46.5], 7EHuqI8lcZ, 5693826]
[paragraph, [845.0, 1789.0, 799.0, 46.5], 7EHuqI8lcZ, 5693826]
[paragraph, [845.0, 1835.5, 799.0, 46.5], 7EHuqI8lcZ, 5693826]
[paragraph, [845.0, 1882.0, 799.0, 46.5], 7EHuqI8lcZ, 5693826]
[paragraph, [845.0, 1928.5, 799.0, 46.5], 7EHuqI8lcZ, 5693826]
[paragraph, [845.0, 1975.0, 799.0, 46.5], 7EHuqI8lcZ, 5693826]
[paragraph, [845.0, 2021.5, 799.0, 46.5], 7EHuqI8lcZ, 5693826]
[paragraph, [845.0, 2068.0, 799.0, 46.5], 7EHuqI8lcZ, 5693826]
[paragraph, [845.0, 2114.5, 799.0, 46.5], 7EHuqI8lcZ, 5693826]
[paragraph, [845.0, 2161.0, 799.0, 46.5], 7EHuqI8lcZ, 5693826]
[paragraph, [845.0, 2207.5, 799.0, 46.5], 7EHuqI8lcZ, 5693826]
[paragraph, [845.0, 2254.0, 799.0, 46.5], 7EHuqI8lcZ, 5693826]
[paragraph, [845.0, 2300.5, 799.0, 46.5], 7EHuqI8lcZ, 5693826]
[paragraph, [845.0, 2347.0, 799.0, 46.5], 7EHuqI8lcZ, 5693826]
[paragraph, [845.0, 2393.5, 799.0, 46.5], 7EHuqI8lcZ, 5693826]
[paragraph, [474.0, 1713.0, 337.0, 46.5], TeTqlNBOn7, 5693826]
[paragraph, [474.0, 1759.5, 337.0, 46.5], TeTqlNBOn7, 5693826]
[paragraph, [474.0, 1806.0, 337.0, 46.5], TeTqlNBOn7, 5693826]
[paragraph, [474.0, 1852.5, 337.0, 46.5], TeTqlNBOn7, 5693826]
[paragraph, [474.0, 1899.0, 337.0, 46.5], TeTqlNBOn7, 5693826]
[paragraph, [474.0, 1945.5, 337.0, 46.5], TeTqlNBOn7, 5693826]
[paragraph, [474.0, 1992.0, 337.0, 46.5], TeTqlNBOn7, 5693826]
[paragraph, [474.0, 2038.5, 337.0, 46.5], TeTqlNBOn7, 5693826]
[paragraph, [474.0, 2085.0, 337.0, 46.5], TeTqlNBOn7, 5693826]
[paragraph, [474.0, 2131.5, 337.0, 46.5], TeTqlNBOn7, 5693826]
[paragraph, [474.0, 2178.0, 337.0, 46.5], TeTqlNBOn7, 5693826]
[paragraph, [474.0, 2224.5, 337.0, 46.5], TeTqlNBOn7, 5693826]
[paragraph, [22.0, 2313.0, 785.0, 46.5], 2P-b6EzFzz, 5693826]
[paragraph, [22.0, 2359.5, 785.0, 46.5], 2P-b6EzFzz, 5693826]
[paragraph, [22.0, 2406.0, 785.0, 46.5], 2P-b6EzFzz, 5693826]
[paragraph, [22.0, 2452.5, 785.0, 46.5], 2P-b6EzFzz, 5693826]
