[1275, 750]
[folio, [232.0, 83.0, 286.0, 18.0], 9halNTV6D3, 5767387]
[folio, [232.0, 101.0, 286.0, 18.0], 9halNTV6D3, 5767387]
[folio, [232.0, 119.0, 286.0, 18.0], 9halNTV6D3, 5767387]
[paragraph, [67.0, 153.0, 619.0, 18.0], shoonya_1sMW0RQSZ6OM8O, 5767387]
[paragraph, [67.0, 171.0, 619.0, 18.0], shoonya_1sMW0RQSZ6OM8O, 5767387]
[paragraph, [67.0, 189.0, 619.0, 18.0], shoonya_1sMW0RQSZ6OM8O, 5767387]
[paragraph, [67.0, 207.0, 619.0, 18.0], shoonya_1sMW0RQSZ6OM8O, 5767387]
[paragraph, [67.0, 225.0, 619.0, 18.0], shoonya_1sMW0RQSZ6OM8O, 5767387]
[paragraph, [67.0, 243.0, 619.0, 18.0], shoonya_1sMW0RQSZ6OM8O, 5767387]
[paragraph, [67.0, 261.0, 619.0, 18.0], shoonya_1sMW0RQSZ6OM8O, 5767387]
[paragraph, [67.0, 279.0, 619.0, 18.0], shoonya_1sMW0RQSZ6OM8O, 5767387]
[paragraph, [67.0, 297.0, 619.0, 18.0], shoonya_1sMW0RQSZ6OM8O, 5767387]
[paragraph, [67.0, 315.0, 619.0, 18.0], shoonya_1sMW0RQSZ6OM8O, 5767387]
[paragraph, [67.0, 333.0, 619.0, 18.0], shoonya_1sMW0RQSZ6OM8O, 5767387]
[paragraph, [67.0, 351.0, 619.0, 18.0], shoonya_1sMW0RQSZ6OM8O, 5767387]
[paragraph, [67.0, 369.0, 619.0, 18.0], shoonya_1sMW0RQSZ6OM8O, 5767387]
[paragraph, [67.0, 387.0, 619.0, 18.0], shoonya_1sMW0RQSZ6OM8O, 5767387]
[paragraph, [67.0, 405.0, 619.0, 18.0], shoonya_1sMW0RQSZ6OM8O, 5767387]
[paragraph, [67.0, 423.0, 619.0, 18.0], shoonya_1sMW0RQSZ6OM8O, 5767387]
[paragraph, [67.0, 441.0, 619.0, 18.0], shoonya_1sMW0RQSZ6OM8O, 5767387]
[paragraph, [67.0, 459.0, 619.0, 18.0], shoonya_1sMW0RQSZ6OM8O, 5767387]
