[1164, 755]
[paragraph, [73.0, 79.0, 615.0, 18.0], shoonya_0sY8FZDMAFMSDA, 5691602]
[paragraph, [73.0, 97.0, 615.0, 18.0], shoonya_0sY8FZDMAFMSDA, 5691602]
[paragraph, [73.0, 115.0, 615.0, 18.0], shoonya_0sY8FZDMAFMSDA, 5691602]
[paragraph, [73.0, 133.0, 615.0, 18.0], shoonya_0sY8FZDMAFMSDA, 5691602]
[paragraph, [73.0, 151.0, 615.0, 18.0], shoonya_0sY8FZDMAFMSDA, 5691602]
[paragraph, [73.0, 169.0, 615.0, 18.0], shoonya_0sY8FZDMAFMSDA, 5691602]
[paragraph, [73.0, 187.0, 615.0, 18.0], shoonya_0sY8FZDMAFMSDA, 5691602]
[paragraph, [73.0, 205.0, 615.0, 18.0], shoonya_0sY8FZDMAFMSDA, 5691602]
[paragraph, [73.0, 223.0, 615.0, 18.0], shoonya_0sY8FZDMAFMSDA, 5691602]
[paragraph, [73.0, 241.0, 615.0, 18.0], shoonya_0sY8FZDMAFMSDA, 5691602]
[paragraph, [73.0, 259.0, 615.0, 18.0], shoonya_0sY8FZDMAFMSDA, 5691602]
[paragraph, [73.0, 277.0, 615.0, 18.0], shoonya_0sY8FZDMAFMSDA, 5691602]
[paragraph, [73.0, 295.0, 615.0, 18.0], shoonya_0sY8FZDMAFMSDA, 5691602]
[paragraph, [73.0, 313.0, 615.0, 18.0], shoonya_0sY8FZDMAFMSDA, 5691602]
[paragraph, [72.0, 334.0, 618.0, 18.0], shoonya_3s0UZO6XSR8U8F, 5691602]
[paragraph, [72.0, 352.0, 618.0, 18.0], shoonya_3s0UZO6XSR8U8F, 5691602]
[paragraph, [72.0, 370.0, 618.0, 18.0], shoonya_3s0UZO6XSR8U8F, 5691602]
[paragraph, [72.0, 388.0, 618.0, 18.0], shoonya_3s0UZO6XSR8U8F, 5691602]
[paragraph, [72.0, 406.0, 618.0, 18.0], shoonya_3s0UZO6XSR8U8F, 5691602]
[paragraph, [72.0, 424.0, 618.0, 18.0], shoonya_3s0UZO6XSR8U8F, 5691602]
[paragraph, [72.0, 442.0, 618.0, 18.0], shoonya_3s0UZO6XSR8U8F, 5691602]
[paragraph, [72.0, 460.0, 618.0, 18.0], shoonya_3s0UZO6XSR8U8F, 5691602]
[paragraph, [69.0, 479.0, 619.0, 18.0], shoonya_2sMMEFR0CGNYIG, 5691602]
[paragraph, [69.0, 497.0, 619.0, 18.0], shoonya_2sMMEFR0CGNYIG, 5691602]
[paragraph, [69.0, 515.0, 619.0, 18.0], shoonya_2sMMEFR0CGNYIG, 5691602]
[paragraph, [69.0, 533.0, 619.0, 18.0], shoonya_2sMMEFR0CGNYIG, 5691602]
[paragraph, [69.0, 551.0, 619.0, 18.0], shoonya_2sMMEFR0CGNYIG, 5691602]
[paragraph, [69.0, 569.0, 619.0, 18.0], shoonya_2sMMEFR0CGNYIG, 5691602]
[paragraph, [69.0, 587.0, 619.0, 18.0], shoonya_2sMMEFR0CGNYIG, 5691602]
[paragraph, [69.0, 605.0, 619.0, 18.0], shoonya_2sMMEFR0CGNYIG, 5691602]
[paragraph, [69.0, 623.0, 619.0, 18.0], shoonya_2sMMEFR0CGNYIG, 5691602]
[paragraph, [69.0, 641.0, 619.0, 18.0], shoonya_2sMMEFR0CGNYIG, 5691602]
[paragraph, [65.0, 663.0, 620.0, 18.0], shoonya_1sPL9H2X5TAN0E, 5691602]
[paragraph, [65.0, 681.0, 620.0, 18.0], shoonya_1sPL9H2X5TAN0E, 5691602]
[paragraph, [65.0, 699.0, 620.0, 18.0], shoonya_1sPL9H2X5TAN0E, 5691602]
[paragraph, [65.0, 717.0, 620.0, 18.0], shoonya_1sPL9H2X5TAN0E, 5691602]
[paragraph, [65.0, 735.0, 620.0, 18.0], shoonya_1sPL9H2X5TAN0E, 5691602]
[paragraph, [65.0, 753.0, 620.0, 18.0], shoonya_1sPL9H2X5TAN0E, 5691602]
[paragraph, [65.0, 771.0, 620.0, 18.0], shoonya_1sPL9H2X5TAN0E, 5691602]
[paragraph, [65.0, 789.0, 620.0, 18.0], shoonya_1sPL9H2X5TAN0E, 5691602]
[paragraph, [65.0, 807.0, 620.0, 18.0], shoonya_1sPL9H2X5TAN0E, 5691602]
[paragraph, [65.0, 825.0, 620.0, 18.0], shoonya_1sPL9H2X5TAN0E, 5691602]
[paragraph, [65.0, 843.0, 620.0, 18.0], shoonya_1sPL9H2X5TAN0E, 5691602]
[paragraph, [65.0, 861.0, 620.0, 18.0], shoonya_1sPL9H2X5TAN0E, 5691602]
[paragraph, [65.0, 879.0, 620.0, 18.0], shoonya_1sPL9H2X5TAN0E, 5691602]
[paragraph, [65.0, 897.0, 620.0, 18.0], shoonya_1sPL9H2X5TAN0E, 5691602]
[paragraph, [63.0, 933.0, 625.0, 18.0], shoonya_5sCN3GBEQWSR7Z, 5691602]
[paragraph, [63.0, 951.0, 625.0, 18.0], shoonya_5sCN3GBEQWSR7Z, 5691602]
[paragraph, [63.0, 969.0, 625.0, 18.0], shoonya_5sCN3GBEQWSR7Z, 5691602]
[paragraph, [63.0, 987.0, 625.0, 18.0], shoonya_5sCN3GBEQWSR7Z, 5691602]
