[792, 612]
[unordered-list, [71.0, 25.0, 448.0, 18.0], shoonya_1sWB078P1KUI5X, 5658680]
[unordered-list, [71.0, 43.0, 448.0, 18.0], shoonya_1sWB078P1KUI5X, 5658680]
[unordered-list, [71.0, 61.0, 448.0, 18.0], shoonya_1sWB078P1KUI5X, 5658680]
[unordered-list, [71.0, 79.0, 448.0, 18.0], shoonya_1sWB078P1KUI5X, 5658680]
[paragraph, [58.0, 130.0, 487.0, 18.0], shoonya_3sQKWZ5RX1CNZE, 5658680]
[paragraph, [58.0, 148.0, 487.0, 18.0], shoonya_3sQKWZ5RX1CNZE, 5658680]
[unordered-list, [82.0, 173.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 191.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 209.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 227.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 245.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 263.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 281.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 299.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 317.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 335.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 353.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 371.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 389.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 407.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 425.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 443.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 461.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 479.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 497.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 515.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 533.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 551.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 569.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 587.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 605.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 623.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 641.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 659.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 677.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
[unordered-list, [82.0, 695.0, 466.0, 18.0], shoonya_0s9WJPCC76P8RO, 5658680]
