[1320, 1176]
[folio, [89.0, 62.0, 159.0, 18.0], shoonya_5sXU6SSUFAH71E, 5694479]
[folio, [89.0, 80.0, 159.0, 18.0], shoonya_5sXU6SSUFAH71E, 5694479]
[folio, [89.0, 98.0, 159.0, 18.0], shoonya_5sXU6SSUFAH71E, 5694479]
[folio, [89.0, 116.0, 159.0, 18.0], shoonya_5sXU6SSUFAH71E, 5694479]
[folio, [89.0, 134.0, 159.0, 18.0], shoonya_5sXU6SSUFAH71E, 5694479]
[folio, [89.0, 152.0, 159.0, 18.0], shoonya_5sXU6SSUFAH71E, 5694479]
[paragraph, [77.0, 194.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 212.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 230.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 248.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 266.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 284.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 302.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 320.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 338.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 356.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 374.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 392.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 410.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 428.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 446.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 464.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 482.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 500.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 518.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 536.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 554.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 572.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 590.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 608.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 626.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 644.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 662.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 680.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 698.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 716.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 734.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 752.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
[paragraph, [77.0, 770.0, 340.0, 18.0], shoonya_0s5ZU7S41D57PI, 5694479]
