[3509, 2480]
[paragraph, [362.0, 390.0, 1760.0, 52.5], 5SbfpF-LVv, 5724371]
[paragraph, [362.0, 442.5, 1760.0, 52.5], 5SbfpF-LVv, 5724371]
[paragraph, [362.0, 495.0, 1760.0, 52.5], 5SbfpF-LVv, 5724371]
[paragraph, [362.0, 547.5, 1760.0, 52.5], 5SbfpF-LVv, 5724371]
[paragraph, [362.0, 600.0, 1760.0, 52.5], 5SbfpF-LVv, 5724371]
[paragraph, [362.0, 652.5, 1760.0, 52.5], 5SbfpF-LVv, 5724371]
[paragraph, [362.0, 705.0, 1760.0, 52.5], 5SbfpF-LVv, 5724371]
[paragraph, [362.0, 757.5, 1760.0, 52.5], 5SbfpF-LVv, 5724371]
[paragraph, [362.0, 810.0, 1760.0, 52.5], 5SbfpF-LVv, 5724371]
[paragraph, [362.0, 862.5, 1760.0, 52.5], 5SbfpF-LVv, 5724371]
[paragraph, [362.0, 915.0, 1760.0, 52.5], 5SbfpF-LVv, 5724371]
[paragraph, [362.0, 967.5, 1760.0, 52.5], 5SbfpF-LVv, 5724371]
[paragraph, [362.0, 1020.0, 1760.0, 52.5], 5SbfpF-LVv, 5724371]
[paragraph, [362.0, 1072.5, 1760.0, 52.5], 5SbfpF-LVv, 5724371]
[paragraph, [362.0, 1125.0, 1760.0, 52.5], 5SbfpF-LVv, 5724371]
[paragraph, [362.0, 1177.5, 1760.0, 52.5], 5SbfpF-LVv, 5724371]
[paragraph, [359.0, 1312.0, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 1364.5, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 1417.0, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 1469.5, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 1522.0, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 1574.5, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 1627.0, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 1679.5, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 1732.0, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 1784.5, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 1837.0, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 1889.5, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 1942.0, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 1994.5, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 2047.0, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 2099.5, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 2152.0, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 2204.5, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 2257.0, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 2309.5, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 2362.0, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 2414.5, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 2467.0, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 2519.5, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 2572.0, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 2624.5, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 2677.0, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[paragraph, [359.0, 2729.5, 1772.0, 52.5], shoonya_2sF72SQXMH97ZS, 5724371]
[footnote, [365.0, 2976.0, 1768.0, 52.5], shoonya_0s6R8MX2VZ2PS5, 5724371]
[footnote, [365.0, 3028.5, 1768.0, 52.5], shoonya_0s6R8MX2VZ2PS5, 5724371]
[footnote, [365.0, 3081.0, 1768.0, 52.5], shoonya_0s6R8MX2VZ2PS5, 5724371]
