[595, 454]
[paragraph, [215.0, 39.0, 163.0, 18.0], shoonya_6sUM6BTO6UXDW6, 6460460]
[paragraph, [221.0, 58.0, 203.0, 18.0], shoonya_8sK9ASC090UT3P, 6460460]
[paragraph, [221.0, 76.0, 203.0, 18.0], shoonya_8sK9ASC090UT3P, 6460460]
[paragraph, [221.0, 94.0, 203.0, 18.0], shoonya_8sK9ASC090UT3P, 6460460]
[paragraph, [221.0, 112.0, 203.0, 18.0], shoonya_8sK9ASC090UT3P, 6460460]
[paragraph, [221.0, 130.0, 203.0, 18.0], shoonya_8sK9ASC090UT3P, 6460460]
[paragraph, [221.0, 148.0, 203.0, 18.0], shoonya_8sK9ASC090UT3P, 6460460]
[paragraph, [228.0, 173.0, 193.0, 18.0], shoonya_3sBJUX621I5JQ5, 6460460]
[paragraph, [228.0, 191.0, 193.0, 18.0], shoonya_3sBJUX621I5JQ5, 6460460]
[paragraph, [228.0, 209.0, 193.0, 18.0], shoonya_3sBJUX621I5JQ5, 6460460]
[paragraph, [228.0, 227.0, 193.0, 18.0], shoonya_3sBJUX621I5JQ5, 6460460]
[paragraph, [228.0, 245.0, 193.0, 18.0], shoonya_3sBJUX621I5JQ5, 6460460]
[paragraph, [228.0, 263.0, 193.0, 18.0], shoonya_3sBJUX621I5JQ5, 6460460]
[paragraph, [228.0, 281.0, 193.0, 18.0], shoonya_3sBJUX621I5JQ5, 6460460]
[paragraph, [28.0, 283.0, 197.0, 18.0], x2ud0oe-Eh, 6460460]
[paragraph, [28.0, 301.0, 197.0, 18.0], x2ud0oe-Eh, 6460460]
[paragraph, [228.0, 305.0, 194.0, 18.0], shoonya_5sP6H07LSDRECM, 6460460]
[paragraph, [228.0, 323.0, 194.0, 18.0], shoonya_5sP6H07LSDRECM, 6460460]
[paragraph, [228.0, 341.0, 194.0, 18.0], shoonya_5sP6H07LSDRECM, 6460460]
[paragraph, [228.0, 359.0, 194.0, 18.0], shoonya_5sP6H07LSDRECM, 6460460]
[paragraph, [228.0, 377.0, 194.0, 18.0], shoonya_5sP6H07LSDRECM, 6460460]
[paragraph, [228.0, 395.0, 194.0, 18.0], shoonya_5sP6H07LSDRECM, 6460460]
[paragraph, [34.0, 329.0, 195.0, 18.0], shoonya_1sRAB51ESAP3N3, 6460460]
[paragraph, [34.0, 347.0, 195.0, 18.0], shoonya_1sRAB51ESAP3N3, 6460460]
[paragraph, [34.0, 365.0, 195.0, 18.0], shoonya_1sRAB51ESAP3N3, 6460460]
[paragraph, [34.0, 383.0, 195.0, 18.0], shoonya_1sRAB51ESAP3N3, 6460460]
[paragraph, [34.0, 403.0, 193.0, 18.0], shoonya_2sZK8DQ7R2I9HD, 6460460]
[paragraph, [34.0, 421.0, 193.0, 18.0], shoonya_2sZK8DQ7R2I9HD, 6460460]
[paragraph, [34.0, 439.0, 193.0, 18.0], shoonya_2sZK8DQ7R2I9HD, 6460460]
[paragraph, [34.0, 457.0, 193.0, 18.0], shoonya_2sZK8DQ7R2I9HD, 6460460]
[paragraph, [34.0, 475.0, 193.0, 18.0], shoonya_2sZK8DQ7R2I9HD, 6460460]
[paragraph, [229.0, 423.0, 197.0, 18.0], shoonya_10sXNQO6QNJZ0C, 6460460]
[paragraph, [229.0, 441.0, 197.0, 18.0], shoonya_10sXNQO6QNJZ0C, 6460460]
[paragraph, [229.0, 459.0, 197.0, 18.0], shoonya_10sXNQO6QNJZ0C, 6460460]
[paragraph, [229.0, 477.0, 197.0, 18.0], shoonya_10sXNQO6QNJZ0C, 6460460]
[paragraph, [229.0, 495.0, 197.0, 18.0], shoonya_10sXNQO6QNJZ0C, 6460460]
[paragraph, [229.0, 513.0, 197.0, 18.0], shoonya_10sXNQO6QNJZ0C, 6460460]
[paragraph, [37.0, 497.0, 192.0, 18.0], shoonya_7sP3LE079TJHBI, 6460460]
[paragraph, [37.0, 515.0, 192.0, 18.0], shoonya_7sP3LE079TJHBI, 6460460]
[paragraph, [231.0, 533.0, 200.0, 18.0], 4ZSElx4JTX, 6460460]
[paragraph, [37.0, 538.0, 187.0, 18.0], shoonya_9s02EWLT9N5JII, 6460460]
[folio, [354.0, 559.0, 73.0, 18.0], nqsHz2xObi, 6460460]
