[1336, 843]
[paragraph, [33.0, 29.0, 767.0, 18.0], lLPtk1sDSO, 5660400]
[paragraph, [33.0, 47.0, 767.0, 18.0], lLPtk1sDSO, 5660400]
[paragraph, [33.0, 65.0, 767.0, 18.0], lLPtk1sDSO, 5660400]
[paragraph, [33.0, 83.0, 767.0, 18.0], lLPtk1sDSO, 5660400]
[paragraph, [33.0, 101.0, 767.0, 18.0], lLPtk1sDSO, 5660400]
[paragraph, [33.0, 119.0, 767.0, 18.0], lLPtk1sDSO, 5660400]
[paragraph, [33.0, 137.0, 767.0, 18.0], lLPtk1sDSO, 5660400]
[paragraph, [33.0, 155.0, 767.0, 18.0], lLPtk1sDSO, 5660400]
[paragraph, [33.0, 173.0, 767.0, 18.0], lLPtk1sDSO, 5660400]
[paragraph, [33.0, 191.0, 767.0, 18.0], lLPtk1sDSO, 5660400]
[paragraph, [33.0, 209.0, 767.0, 18.0], lLPtk1sDSO, 5660400]
[paragraph, [33.0, 227.0, 767.0, 18.0], lLPtk1sDSO, 5660400]
[paragraph, [33.0, 245.0, 767.0, 18.0], lLPtk1sDSO, 5660400]
[paragraph, [33.0, 263.0, 767.0, 18.0], lLPtk1sDSO, 5660400]
[paragraph, [33.0, 281.0, 767.0, 18.0], lLPtk1sDSO, 5660400]
[paragraph, [33.0, 299.0, 767.0, 18.0], lLPtk1sDSO, 5660400]
[paragraph, [33.0, 317.0, 767.0, 18.0], lLPtk1sDSO, 5660400]
[paragraph, [33.0, 335.0, 767.0, 18.0], lLPtk1sDSO, 5660400]
[paragraph, [33.0, 364.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 382.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 400.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 418.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 436.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 454.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 472.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 490.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 508.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 526.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 544.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 562.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 580.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 598.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 616.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 634.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 652.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 670.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 688.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [33.0, 706.0, 768.0, 18.0], A3w5fr_r-U, 5660400]
[paragraph, [36.0, 722.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 740.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 758.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 776.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 794.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 812.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 830.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 848.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 866.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 884.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 902.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 920.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 938.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 956.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 974.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 992.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 1010.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 1028.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 1046.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 1064.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 1082.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [36.0, 1100.0, 763.0, 18.0], -6l-E3pslF, 5660400]
[paragraph, [35.0, 1125.0, 769.0, 18.0], MQdlEMa-zT, 5660400]
[paragraph, [35.0, 1143.0, 769.0, 18.0], MQdlEMa-zT, 5660400]
[paragraph, [35.0, 1161.0, 769.0, 18.0], MQdlEMa-zT, 5660400]
[paragraph, [35.0, 1179.0, 769.0, 18.0], MQdlEMa-zT, 5660400]
[author, [38.0, 1214.0, 114.0, 18.0], qE3ApLLaKg, 5660400]
[folio, [5.0, 1255.0, 831.0, 18.0], ULy1RqyX1-, 5660400]
[folio, [5.0, 1273.0, 831.0, 18.0], ULy1RqyX1-, 5660400]
[folio, [5.0, 1291.0, 831.0, 18.0], ULy1RqyX1-, 5660400]
[website-link, [154.0, 1292.0, 227.0, 18.0], cIbe70jJEj, 5660400]
[website-link, [482.0, 1293.0, 202.0, 18.0], zHB8CMxkjX, 5660400]
