[1388, 886]
[folio, [650.0, 70.0, 202.0, 18.0], shoonya_2s0ATLVVEVZZ49, 5742345]
[folio, [650.0, 88.0, 202.0, 18.0], shoonya_2s0ATLVVEVZZ49, 5742345]
[folio, [380.0, 71.0, 133.0, 18.0], shoonya_1sDHU3TP5KNJC4, 5742345]
[paragraph, [455.0, 143.0, 390.0, 18.0], shoonya_0sXKEMERKO2A51, 5742345]
[paragraph, [455.0, 161.0, 390.0, 18.0], shoonya_0sXKEMERKO2A51, 5742345]
[paragraph, [455.0, 179.0, 390.0, 18.0], shoonya_0sXKEMERKO2A51, 5742345]
[paragraph, [455.0, 197.0, 390.0, 18.0], shoonya_0sXKEMERKO2A51, 5742345]
[paragraph, [33.0, 148.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 166.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 184.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 202.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 220.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 238.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 256.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 274.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 292.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 310.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 328.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 346.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 364.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 382.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 400.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 418.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 436.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 454.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 472.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 490.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
[paragraph, [33.0, 508.0, 399.0, 18.0], kx0fWVyk_v, 5742345]
