[1787, 1218]
[chapter-title, [175.0, 254.0, 841.0, 58.5], Qy_8AdMuQY, 5652262]
[author, [908.0, 359.0, 190.0, 36.0], P3-u5FIQFV, 5652262]
[paragraph, [71.0, 444.0, 1057.0, 36.0], shoonya_0s57WMGL0SW7JY, 5652262]
[paragraph, [71.0, 480.0, 1057.0, 36.0], shoonya_0s57WMGL0SW7JY, 5652262]
[paragraph, [71.0, 516.0, 1057.0, 36.0], shoonya_0s57WMGL0SW7JY, 5652262]
[paragraph, [71.0, 552.0, 1057.0, 36.0], shoonya_0s57WMGL0SW7JY, 5652262]
[paragraph, [71.0, 588.0, 1057.0, 36.0], shoonya_0s57WMGL0SW7JY, 5652262]
[paragraph, [71.0, 624.0, 1057.0, 36.0], shoonya_0s57WMGL0SW7JY, 5652262]
[paragraph, [71.0, 660.0, 1057.0, 36.0], shoonya_0s57WMGL0SW7JY, 5652262]
[paragraph, [71.0, 696.0, 1057.0, 36.0], shoonya_0s57WMGL0SW7JY, 5652262]
[paragraph, [71.0, 732.0, 1057.0, 36.0], shoonya_0s57WMGL0SW7JY, 5652262]
[paragraph, [71.0, 768.0, 1057.0, 36.0], shoonya_0s57WMGL0SW7JY, 5652262]
[paragraph, [71.0, 804.0, 1057.0, 36.0], shoonya_0s57WMGL0SW7JY, 5652262]
[paragraph, [71.0, 840.0, 1057.0, 36.0], shoonya_0s57WMGL0SW7JY, 5652262]
[paragraph, [71.0, 876.0, 1057.0, 36.0], shoonya_0s57WMGL0SW7JY, 5652262]
[paragraph, [71.0, 912.0, 1057.0, 36.0], shoonya_0s57WMGL0SW7JY, 5652262]
[paragraph, [71.0, 948.0, 1057.0, 36.0], shoonya_0s57WMGL0SW7JY, 5652262]
[paragraph, [71.0, 984.0, 1057.0, 36.0], shoonya_0s57WMGL0SW7JY, 5652262]
[paragraph, [71.0, 1020.0, 1057.0, 36.0], shoonya_0s57WMGL0SW7JY, 5652262]
[paragraph, [102.0, 1068.0, 1021.0, 36.0], avINNLvpwi, 5652262]
[paragraph, [102.0, 1104.0, 1021.0, 36.0], avINNLvpwi, 5652262]
[paragraph, [102.0, 1140.0, 1021.0, 36.0], avINNLvpwi, 5652262]
[paragraph, [95.0, 1193.0, 1037.0, 36.0], ABr6WOe172, 5652262]
[paragraph, [95.0, 1229.0, 1037.0, 36.0], ABr6WOe172, 5652262]
[paragraph, [95.0, 1265.0, 1037.0, 36.0], ABr6WOe172, 5652262]
[paragraph, [95.0, 1301.0, 1037.0, 36.0], ABr6WOe172, 5652262]
[paragraph, [95.0, 1337.0, 1037.0, 36.0], ABr6WOe172, 5652262]
[paragraph, [110.0, 1406.0, 1037.0, 36.0], shoonya_1s7KG0RS026JMP, 5652262]
[paragraph, [110.0, 1442.0, 1037.0, 36.0], shoonya_1s7KG0RS026JMP, 5652262]
[paragraph, [110.0, 1478.0, 1037.0, 36.0], shoonya_1s7KG0RS026JMP, 5652262]
[paragraph, [110.0, 1514.0, 1037.0, 36.0], shoonya_1s7KG0RS026JMP, 5652262]
[paragraph, [110.0, 1550.0, 1037.0, 36.0], shoonya_1s7KG0RS026JMP, 5652262]
[paragraph, [110.0, 1586.0, 1037.0, 36.0], shoonya_1s7KG0RS026JMP, 5652262]
[footnote, [451.0, 1648.0, 239.0, 36.0], onWELhuS6A, 5652262]
