[842, 595]
[folio, [370.0, 129.0, 74.0, 18.0], rqSatw3M3r, 6513680]
[paragraph, [127.0, 161.0, 329.0, 18.0], shoonya_0s10IKK83LO1OX, 6513680]
[paragraph, [127.0, 179.0, 329.0, 18.0], shoonya_0s10IKK83LO1OX, 6513680]
[paragraph, [127.0, 197.0, 329.0, 18.0], shoonya_0s10IKK83LO1OX, 6513680]
[paragraph, [127.0, 215.0, 329.0, 18.0], shoonya_0s10IKK83LO1OX, 6513680]
[paragraph, [127.0, 233.0, 329.0, 18.0], shoonya_0s10IKK83LO1OX, 6513680]
[paragraph, [127.0, 251.0, 329.0, 18.0], shoonya_0s10IKK83LO1OX, 6513680]
[paragraph, [127.0, 269.0, 329.0, 18.0], shoonya_0s10IKK83LO1OX, 6513680]
[paragraph, [127.0, 287.0, 329.0, 18.0], shoonya_0s10IKK83LO1OX, 6513680]
[paragraph, [127.0, 305.0, 329.0, 18.0], shoonya_0s10IKK83LO1OX, 6513680]
[paragraph, [127.0, 323.0, 329.0, 18.0], shoonya_0s10IKK83LO1OX, 6513680]
[paragraph, [127.0, 345.0, 328.0, 18.0], shoonya_1sHJHAO2OBD2WV, 6513680]
[paragraph, [127.0, 363.0, 328.0, 18.0], shoonya_1sHJHAO2OBD2WV, 6513680]
[paragraph, [127.0, 381.0, 328.0, 18.0], shoonya_1sHJHAO2OBD2WV, 6513680]
[paragraph, [127.0, 399.0, 328.0, 18.0], shoonya_1sHJHAO2OBD2WV, 6513680]
[paragraph, [127.0, 417.0, 328.0, 18.0], shoonya_1sHJHAO2OBD2WV, 6513680]
[paragraph, [127.0, 435.0, 328.0, 18.0], shoonya_1sHJHAO2OBD2WV, 6513680]
[paragraph, [128.0, 466.0, 328.0, 18.0], shoonya_3s1V07XPR196EF, 6513680]
[paragraph, [128.0, 484.0, 328.0, 18.0], shoonya_3s1V07XPR196EF, 6513680]
[paragraph, [128.0, 502.0, 328.0, 18.0], shoonya_3s1V07XPR196EF, 6513680]
[paragraph, [128.0, 520.0, 328.0, 18.0], shoonya_3s1V07XPR196EF, 6513680]
[paragraph, [128.0, 538.0, 328.0, 18.0], shoonya_3s1V07XPR196EF, 6513680]
[paragraph, [128.0, 556.0, 328.0, 18.0], shoonya_3s1V07XPR196EF, 6513680]
[paragraph, [128.0, 574.0, 328.0, 18.0], shoonya_3s1V07XPR196EF, 6513680]
[paragraph, [128.0, 592.0, 328.0, 18.0], shoonya_3s1V07XPR196EF, 6513680]
[paragraph, [128.0, 610.0, 328.0, 18.0], shoonya_3s1V07XPR196EF, 6513680]
[paragraph, [128.0, 628.0, 328.0, 18.0], shoonya_3s1V07XPR196EF, 6513680]
