[2200, 1700]
[paragraph, [263.0, 219.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [263.0, 255.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [263.0, 291.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [263.0, 327.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [263.0, 363.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [263.0, 399.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [263.0, 435.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [263.0, 471.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [263.0, 507.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [263.0, 543.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [263.0, 579.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [263.0, 615.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [263.0, 651.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [263.0, 687.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [263.0, 723.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [263.0, 759.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [263.0, 795.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [263.0, 831.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [263.0, 867.0, 1156.0, 36.0], shoonya_1s4NN87M3P0AJC, 5686179]
[paragraph, [269.0, 955.0, 1144.0, 36.0], shoonya_0sT0SLGK50O3ZR, 5686179]
[paragraph, [269.0, 991.0, 1144.0, 36.0], shoonya_0sT0SLGK50O3ZR, 5686179]
[paragraph, [269.0, 1027.0, 1144.0, 36.0], shoonya_0sT0SLGK50O3ZR, 5686179]
[paragraph, [269.0, 1063.0, 1144.0, 36.0], shoonya_0sT0SLGK50O3ZR, 5686179]
[paragraph, [269.0, 1099.0, 1144.0, 36.0], shoonya_0sT0SLGK50O3ZR, 5686179]
[paragraph, [269.0, 1135.0, 1144.0, 36.0], shoonya_0sT0SLGK50O3ZR, 5686179]
[paragraph, [269.0, 1171.0, 1144.0, 36.0], shoonya_0sT0SLGK50O3ZR, 5686179]
[paragraph, [269.0, 1207.0, 1144.0, 36.0], shoonya_0sT0SLGK50O3ZR, 5686179]
[paragraph, [269.0, 1243.0, 1144.0, 36.0], shoonya_0sT0SLGK50O3ZR, 5686179]
[paragraph, [269.0, 1279.0, 1144.0, 36.0], shoonya_0sT0SLGK50O3ZR, 5686179]
[paragraph, [269.0, 1315.0, 1144.0, 36.0], shoonya_0sT0SLGK50O3ZR, 5686179]
[paragraph, [269.0, 1351.0, 1144.0, 36.0], shoonya_0sT0SLGK50O3ZR, 5686179]
[paragraph, [269.0, 1387.0, 1144.0, 36.0], shoonya_0sT0SLGK50O3ZR, 5686179]
[paragraph, [269.0, 1423.0, 1144.0, 36.0], shoonya_0sT0SLGK50O3ZR, 5686179]
[paragraph, [269.0, 1459.0, 1144.0, 36.0], shoonya_0sT0SLGK50O3ZR, 5686179]
[paragraph, [269.0, 1495.0, 1144.0, 36.0], shoonya_0sT0SLGK50O3ZR, 5686179]
[paragraph, [275.0, 1587.0, 798.0, 36.0], lTjzEKXLJy, 5686179]
[reference, [1080.0, 1593.0, 167.0, 36.0], t_wmV9M2ay, 5686179]
[paragraph, [271.0, 1682.0, 1140.0, 36.0], shoonya_2sZLAMR6WNU4F6, 5686179]
[paragraph, [271.0, 1718.0, 1140.0, 36.0], shoonya_2sZLAMR6WNU4F6, 5686179]
[paragraph, [271.0, 1754.0, 1140.0, 36.0], shoonya_2sZLAMR6WNU4F6, 5686179]
[paragraph, [271.0, 1790.0, 1140.0, 36.0], shoonya_2sZLAMR6WNU4F6, 5686179]
[paragraph, [271.0, 1826.0, 1140.0, 36.0], shoonya_2sZLAMR6WNU4F6, 5686179]
[paragraph, [271.0, 1862.0, 1140.0, 36.0], shoonya_2sZLAMR6WNU4F6, 5686179]
