[2241, 1758]
[paragraph, [74.0, 164.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 200.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 236.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 272.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 308.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 344.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 380.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 416.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 452.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 488.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 524.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 560.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 596.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 632.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 668.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 704.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 740.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 776.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 812.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 848.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 884.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[paragraph, [74.0, 920.0, 765.0, 36.0], shoonya_4sFG1ETYIEEBTW, 5654133]
[figure-caption, [1095.0, 177.0, 522.0, 36.0], shoonya_6sENVKAKEJCA5U, 5654133]
[figure-caption, [1095.0, 213.0, 522.0, 36.0], shoonya_6sENVKAKEJCA5U, 5654133]
[figure-caption, [1095.0, 249.0, 522.0, 36.0], shoonya_6sENVKAKEJCA5U, 5654133]
[figure-caption, [1095.0, 285.0, 522.0, 36.0], shoonya_6sENVKAKEJCA5U, 5654133]
[figure-caption, [1095.0, 321.0, 522.0, 36.0], shoonya_6sENVKAKEJCA5U, 5654133]
[figure-caption, [1095.0, 357.0, 522.0, 36.0], shoonya_6sENVKAKEJCA5U, 5654133]
[figure-caption, [1095.0, 393.0, 522.0, 36.0], shoonya_6sENVKAKEJCA5U, 5654133]
[figure-caption, [1095.0, 429.0, 522.0, 36.0], shoonya_6sENVKAKEJCA5U, 5654133]
[figure-caption, [884.0, 478.0, 728.0, 36.0], XTzuIZhiqh, 5654133]
[paragraph, [858.0, 534.0, 773.0, 36.0], shoonya_2s1EEUQFMV1KLN, 5654133]
[paragraph, [858.0, 570.0, 773.0, 36.0], shoonya_2s1EEUQFMV1KLN, 5654133]
