[1518, 1075]
[folio, [550.0, 114.0, 79.0, 36.0], wVzo01eFvT, 5722475]
[paragraph, [113.0, 173.0, 428.0, 36.0], shoonya_0s2DTWPM7X6WET, 5722475]
[paragraph, [113.0, 209.0, 428.0, 36.0], shoonya_0s2DTWPM7X6WET, 5722475]
[paragraph, [113.0, 245.0, 428.0, 36.0], shoonya_0s2DTWPM7X6WET, 5722475]
[paragraph, [113.0, 281.0, 428.0, 36.0], shoonya_0s2DTWPM7X6WET, 5722475]
[paragraph, [113.0, 317.0, 428.0, 36.0], shoonya_0s2DTWPM7X6WET, 5722475]
[paragraph, [113.0, 353.0, 428.0, 36.0], shoonya_0s2DTWPM7X6WET, 5722475]
[paragraph, [113.0, 389.0, 428.0, 36.0], shoonya_0s2DTWPM7X6WET, 5722475]
[paragraph, [113.0, 425.0, 428.0, 36.0], shoonya_0s2DTWPM7X6WET, 5722475]
[paragraph, [113.0, 461.0, 428.0, 36.0], shoonya_0s2DTWPM7X6WET, 5722475]
[paragraph, [113.0, 497.0, 428.0, 36.0], shoonya_0s2DTWPM7X6WET, 5722475]
[paragraph, [113.0, 533.0, 428.0, 36.0], shoonya_0s2DTWPM7X6WET, 5722475]
[paragraph, [113.0, 569.0, 428.0, 36.0], shoonya_0s2DTWPM7X6WET, 5722475]
[paragraph, [113.0, 605.0, 428.0, 36.0], shoonya_0s2DTWPM7X6WET, 5722475]
[paragraph, [557.0, 173.0, 429.0, 36.0], shoonya_3sJR63L9ZKLVFZ, 5722475]
[paragraph, [557.0, 209.0, 429.0, 36.0], shoonya_3sJR63L9ZKLVFZ, 5722475]
[paragraph, [557.0, 245.0, 429.0, 36.0], shoonya_3sJR63L9ZKLVFZ, 5722475]
[paragraph, [557.0, 281.0, 429.0, 36.0], shoonya_3sJR63L9ZKLVFZ, 5722475]
[paragraph, [557.0, 317.0, 429.0, 36.0], shoonya_3sJR63L9ZKLVFZ, 5722475]
[paragraph, [557.0, 353.0, 429.0, 36.0], shoonya_3sJR63L9ZKLVFZ, 5722475]
[sub-headline, [559.0, 417.0, 423.0, 36.0], shoonya_7sX1MVSY7Y2UP3, 5722475]
[paragraph, [552.0, 482.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 518.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 554.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 590.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 626.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 662.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 698.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 734.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 770.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 806.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 842.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 878.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 914.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 950.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 986.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 1022.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 1058.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 1094.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 1130.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 1166.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 1202.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 1238.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [552.0, 1274.0, 428.0, 36.0], shoonya_2sYAQN4HHZFEPQ, 5722475]
[paragraph, [116.0, 656.0, 425.0, 36.0], shoonya_1s7YRAAM5R5GOQ, 5722475]
[paragraph, [116.0, 692.0, 425.0, 36.0], shoonya_1s7YRAAM5R5GOQ, 5722475]
[paragraph, [116.0, 728.0, 425.0, 36.0], shoonya_1s7YRAAM5R5GOQ, 5722475]
[paragraph, [116.0, 764.0, 425.0, 36.0], shoonya_1s7YRAAM5R5GOQ, 5722475]
[paragraph, [116.0, 800.0, 425.0, 36.0], shoonya_1s7YRAAM5R5GOQ, 5722475]
[paragraph, [116.0, 836.0, 425.0, 36.0], shoonya_1s7YRAAM5R5GOQ, 5722475]
[paragraph, [116.0, 872.0, 425.0, 36.0], shoonya_1s7YRAAM5R5GOQ, 5722475]
[paragraph, [116.0, 908.0, 425.0, 36.0], shoonya_1s7YRAAM5R5GOQ, 5722475]
[paragraph, [116.0, 944.0, 425.0, 36.0], shoonya_1s7YRAAM5R5GOQ, 5722475]
[paragraph, [116.0, 980.0, 425.0, 36.0], shoonya_1s7YRAAM5R5GOQ, 5722475]
[paragraph, [116.0, 1016.0, 425.0, 36.0], shoonya_1s7YRAAM5R5GOQ, 5722475]
[paragraph, [116.0, 1052.0, 425.0, 36.0], shoonya_1s7YRAAM5R5GOQ, 5722475]
[paragraph, [116.0, 1088.0, 425.0, 36.0], shoonya_1s7YRAAM5R5GOQ, 5722475]
[paragraph, [116.0, 1124.0, 425.0, 36.0], shoonya_1s7YRAAM5R5GOQ, 5722475]
[paragraph, [116.0, 1160.0, 425.0, 36.0], shoonya_1s7YRAAM5R5GOQ, 5722475]
[paragraph, [116.0, 1196.0, 425.0, 36.0], shoonya_1s7YRAAM5R5GOQ, 5722475]
[paragraph, [116.0, 1232.0, 425.0, 36.0], shoonya_1s7YRAAM5R5GOQ, 5722475]
[paragraph, [116.0, 1268.0, 425.0, 36.0], shoonya_1s7YRAAM5R5GOQ, 5722475]
[folio, [193.0, 1383.0, 423.0, 36.0], shoonya_5sDEXLMNK62CST, 5722475]
