[668, 446]
[paragraph, [54.0, 77.0, 342.0, 18.0], L7U2fpAdsn, 6495291]
[paragraph, [54.0, 95.0, 342.0, 18.0], L7U2fpAdsn, 6495291]
[paragraph, [54.0, 113.0, 342.0, 18.0], L7U2fpAdsn, 6495291]
[paragraph, [54.0, 131.0, 342.0, 18.0], L7U2fpAdsn, 6495291]
[paragraph, [50.0, 164.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[paragraph, [50.0, 182.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[paragraph, [50.0, 200.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[paragraph, [50.0, 218.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[paragraph, [50.0, 236.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[paragraph, [50.0, 254.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[paragraph, [50.0, 272.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[paragraph, [50.0, 290.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[paragraph, [50.0, 308.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[paragraph, [50.0, 326.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[paragraph, [50.0, 344.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[paragraph, [50.0, 362.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[paragraph, [50.0, 380.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[paragraph, [50.0, 398.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[paragraph, [50.0, 416.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[paragraph, [50.0, 434.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[paragraph, [50.0, 452.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[paragraph, [50.0, 470.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[paragraph, [50.0, 488.0, 346.0, 18.0], DF2UtHjkO0, 6495291]
[section-title, [137.0, 515.0, 182.0, 30.0], 2kjvyRS2sm, 6495291]
[paragraph, [51.0, 557.0, 356.0, 18.0], SzW0ycFn66, 6495291]
[paragraph, [51.0, 575.0, 356.0, 18.0], SzW0ycFn66, 6495291]
