[1296, 864]
[folio, [115.0, 41.0, 201.0, 18.0], 1eThyjZWHg, 5656540]
[folio, [115.0, 59.0, 201.0, 18.0], 1eThyjZWHg, 5656540]
[folio, [115.0, 77.0, 201.0, 18.0], 1eThyjZWHg, 5656540]
[section-title, [134.0, 113.0, 616.0, 30.0], 1R3TsID3Ln, 5656540]
[sub-section-title, [148.0, 168.0, 569.0, 25.5], HB-OA0lREJ, 5656540]
[contact-info, [185.0, 203.0, 527.0, 18.0], ZtUNnLstjk, 5656540]
[paragraph, [193.0, 243.0, 472.0, 18.0], P7XkdYZZQY, 5656540]
[paragraph, [193.0, 261.0, 472.0, 18.0], P7XkdYZZQY, 5656540]
[paragraph, [193.0, 279.0, 472.0, 18.0], P7XkdYZZQY, 5656540]
[paragraph, [193.0, 297.0, 472.0, 18.0], P7XkdYZZQY, 5656540]
[paragraph, [193.0, 315.0, 472.0, 18.0], P7XkdYZZQY, 5656540]
[paragraph, [193.0, 333.0, 472.0, 18.0], P7XkdYZZQY, 5656540]
[paragraph, [193.0, 351.0, 472.0, 18.0], P7XkdYZZQY, 5656540]
[paragraph, [193.0, 369.0, 472.0, 18.0], P7XkdYZZQY, 5656540]
[paragraph, [23.0, 394.0, 814.0, 18.0], 8yuPcJcIG-, 5656540]
[paragraph, [23.0, 412.0, 814.0, 18.0], 8yuPcJcIG-, 5656540]
[paragraph, [23.0, 430.0, 814.0, 18.0], 8yuPcJcIG-, 5656540]
[paragraph, [23.0, 448.0, 814.0, 18.0], 8yuPcJcIG-, 5656540]
[paragraph, [23.0, 466.0, 814.0, 18.0], 8yuPcJcIG-, 5656540]
[paragraph, [23.0, 484.0, 814.0, 18.0], 8yuPcJcIG-, 5656540]
[paragraph, [20.0, 516.0, 814.0, 18.0], 7HbuOBqXAU, 5656540]
[paragraph, [20.0, 534.0, 814.0, 18.0], 7HbuOBqXAU, 5656540]
[paragraph, [20.0, 552.0, 814.0, 18.0], 7HbuOBqXAU, 5656540]
[paragraph, [20.0, 570.0, 814.0, 18.0], 7HbuOBqXAU, 5656540]
[paragraph, [20.0, 588.0, 814.0, 18.0], 7HbuOBqXAU, 5656540]
[paragraph, [20.0, 606.0, 814.0, 18.0], 7HbuOBqXAU, 5656540]
[paragraph, [20.0, 624.0, 814.0, 18.0], 7HbuOBqXAU, 5656540]
[paragraph, [20.0, 642.0, 814.0, 18.0], 7HbuOBqXAU, 5656540]
[paragraph, [15.0, 662.0, 823.0, 18.0], 8f8M86zPvJ, 5656540]
[paragraph, [15.0, 680.0, 823.0, 18.0], 8f8M86zPvJ, 5656540]
[paragraph, [15.0, 698.0, 823.0, 18.0], 8f8M86zPvJ, 5656540]
[paragraph, [15.0, 716.0, 823.0, 18.0], 8f8M86zPvJ, 5656540]
[paragraph, [15.0, 734.0, 823.0, 18.0], 8f8M86zPvJ, 5656540]
[paragraph, [15.0, 752.0, 823.0, 18.0], 8f8M86zPvJ, 5656540]
[paragraph, [9.0, 771.0, 854.0, 18.0], yR2k7HcCOf, 5656540]
[paragraph, [9.0, 789.0, 854.0, 18.0], yR2k7HcCOf, 5656540]
[paragraph, [9.0, 807.0, 854.0, 18.0], yR2k7HcCOf, 5656540]
[paragraph, [9.0, 825.0, 854.0, 18.0], yR2k7HcCOf, 5656540]
[paragraph, [9.0, 843.0, 854.0, 18.0], yR2k7HcCOf, 5656540]
[paragraph, [9.0, 861.0, 854.0, 18.0], yR2k7HcCOf, 5656540]
[paragraph, [11.0, 885.0, 826.0, 18.0], 3fQ9ePX4y2, 5656540]
[paragraph, [11.0, 903.0, 826.0, 18.0], 3fQ9ePX4y2, 5656540]
[paragraph, [11.0, 921.0, 826.0, 18.0], 3fQ9ePX4y2, 5656540]
[paragraph, [11.0, 939.0, 826.0, 18.0], 3fQ9ePX4y2, 5656540]
[paragraph, [11.0, 957.0, 826.0, 18.0], 3fQ9ePX4y2, 5656540]
[paragraph, [11.0, 975.0, 826.0, 18.0], 3fQ9ePX4y2, 5656540]
[paragraph, [11.0, 993.0, 826.0, 18.0], 3fQ9ePX4y2, 5656540]
[paragraph, [11.0, 1011.0, 826.0, 18.0], 3fQ9ePX4y2, 5656540]
[paragraph, [11.0, 1029.0, 826.0, 18.0], 3fQ9ePX4y2, 5656540]
[paragraph, [11.0, 1047.0, 826.0, 18.0], 3fQ9ePX4y2, 5656540]
[website-link, [232.0, 925.0, 287.0, 18.0], bwzlMa0w9E, 5656540]
[website-link, [232.0, 943.0, 287.0, 18.0], bwzlMa0w9E, 5656540]
[paragraph, [4.0, 1070.0, 831.0, 18.0], -s3Ko8ui0m, 5656540]
[paragraph, [4.0, 1088.0, 831.0, 18.0], -s3Ko8ui0m, 5656540]
[paragraph, [4.0, 1106.0, 831.0, 18.0], -s3Ko8ui0m, 5656540]
[paragraph, [4.0, 1124.0, 831.0, 18.0], -s3Ko8ui0m, 5656540]
[paragraph, [4.0, 1142.0, 831.0, 18.0], -s3Ko8ui0m, 5656540]
[paragraph, [4.0, 1160.0, 831.0, 18.0], -s3Ko8ui0m, 5656540]
[paragraph, [4.0, 1178.0, 831.0, 18.0], -s3Ko8ui0m, 5656540]
[contact-info, [16.0, 1216.0, 753.0, 18.0], iwGV1cuTVI, 5656540]
[contact-info, [16.0, 1234.0, 753.0, 18.0], iwGV1cuTVI, 5656540]
