[1200, 825]
[paragraph, [143.0, 108.0, 538.0, 18.0], shoonya_4s8RKIHV8NXA06, 5690877]
[paragraph, [143.0, 126.0, 538.0, 18.0], shoonya_4s8RKIHV8NXA06, 5690877]
[paragraph, [143.0, 144.0, 538.0, 18.0], shoonya_4s8RKIHV8NXA06, 5690877]
[paragraph, [144.0, 171.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 189.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 207.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 225.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 243.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 261.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 279.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 297.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 315.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 333.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 351.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 369.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 387.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 405.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 423.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 441.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 459.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 477.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 495.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 513.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 531.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [144.0, 549.0, 539.0, 18.0], shoonya_1sJN5PXSXO9ZKB, 5690877]
[paragraph, [145.0, 570.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 588.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 606.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 624.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 642.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 660.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 678.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 696.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 714.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 732.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 750.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 768.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 786.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 804.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 822.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 840.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 858.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 876.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 894.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [145.0, 912.0, 537.0, 18.0], shoonya_0sBNEW8XPK2UGC, 5690877]
[paragraph, [144.0, 938.0, 538.0, 18.0], shoonya_2sVWXVVO6NTBUO, 5690877]
[paragraph, [144.0, 956.0, 538.0, 18.0], shoonya_2sVWXVVO6NTBUO, 5690877]
[paragraph, [144.0, 974.0, 538.0, 18.0], shoonya_2sVWXVVO6NTBUO, 5690877]
[paragraph, [144.0, 992.0, 538.0, 18.0], shoonya_2sVWXVVO6NTBUO, 5690877]
[paragraph, [144.0, 1010.0, 538.0, 18.0], shoonya_2sVWXVVO6NTBUO, 5690877]
[paragraph, [144.0, 1028.0, 538.0, 18.0], shoonya_2sVWXVVO6NTBUO, 5690877]
