[1492, 1000]
[folio, [415.0, 156.0, 201.0, 18.0], shoonya_1sH16AZCRW61HZ, 5720104]
[paragraph, [159.0, 209.0, 720.0, 18.0], shoonya_0sVKRN8FZVJ5ZA, 5720104]
[paragraph, [159.0, 227.0, 720.0, 18.0], shoonya_0sVKRN8FZVJ5ZA, 5720104]
[paragraph, [159.0, 245.0, 720.0, 18.0], shoonya_0sVKRN8FZVJ5ZA, 5720104]
[paragraph, [159.0, 263.0, 720.0, 18.0], shoonya_0sVKRN8FZVJ5ZA, 5720104]
[paragraph, [159.0, 281.0, 720.0, 18.0], shoonya_0sVKRN8FZVJ5ZA, 5720104]
[paragraph, [159.0, 299.0, 720.0, 18.0], shoonya_0sVKRN8FZVJ5ZA, 5720104]
[paragraph, [159.0, 317.0, 720.0, 18.0], shoonya_0sVKRN8FZVJ5ZA, 5720104]
[paragraph, [159.0, 335.0, 720.0, 18.0], shoonya_0sVKRN8FZVJ5ZA, 5720104]
[paragraph, [159.0, 353.0, 720.0, 18.0], shoonya_0sVKRN8FZVJ5ZA, 5720104]
[paragraph, [159.0, 371.0, 720.0, 18.0], shoonya_0sVKRN8FZVJ5ZA, 5720104]
[paragraph, [159.0, 389.0, 720.0, 18.0], shoonya_0sVKRN8FZVJ5ZA, 5720104]
[paragraph, [158.0, 410.0, 723.0, 18.0], Iy8CbdCO6x, 5720104]
[paragraph, [158.0, 428.0, 723.0, 18.0], Iy8CbdCO6x, 5720104]
[paragraph, [158.0, 446.0, 723.0, 18.0], Iy8CbdCO6x, 5720104]
[paragraph, [158.0, 464.0, 723.0, 18.0], Iy8CbdCO6x, 5720104]
[paragraph, [158.0, 482.0, 723.0, 18.0], Iy8CbdCO6x, 5720104]
[paragraph, [158.0, 500.0, 723.0, 18.0], Iy8CbdCO6x, 5720104]
[paragraph, [158.0, 518.0, 723.0, 18.0], Iy8CbdCO6x, 5720104]
[paragraph, [158.0, 536.0, 723.0, 18.0], Iy8CbdCO6x, 5720104]
[paragraph, [158.0, 554.0, 723.0, 18.0], Iy8CbdCO6x, 5720104]
[paragraph, [158.0, 572.0, 723.0, 18.0], Iy8CbdCO6x, 5720104]
[paragraph, [158.0, 590.0, 723.0, 18.0], Iy8CbdCO6x, 5720104]
[paragraph, [158.0, 608.0, 723.0, 18.0], Iy8CbdCO6x, 5720104]
[paragraph, [158.0, 626.0, 723.0, 18.0], Iy8CbdCO6x, 5720104]
[paragraph, [158.0, 649.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [158.0, 667.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [158.0, 685.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [158.0, 703.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [158.0, 721.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [158.0, 739.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [158.0, 757.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [158.0, 775.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [158.0, 793.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [158.0, 811.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [158.0, 829.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [158.0, 847.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [158.0, 865.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [158.0, 883.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [158.0, 901.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [158.0, 919.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [158.0, 937.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [158.0, 955.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [158.0, 973.0, 726.0, 18.0], qC8ZdRgFGb, 5720104]
[paragraph, [156.0, 999.0, 728.0, 18.0], Z2HgQvw1Tu, 5720104]
[paragraph, [156.0, 1017.0, 728.0, 18.0], Z2HgQvw1Tu, 5720104]
[paragraph, [156.0, 1035.0, 728.0, 18.0], Z2HgQvw1Tu, 5720104]
[paragraph, [156.0, 1053.0, 728.0, 18.0], Z2HgQvw1Tu, 5720104]
[paragraph, [156.0, 1071.0, 728.0, 18.0], Z2HgQvw1Tu, 5720104]
[paragraph, [156.0, 1089.0, 728.0, 18.0], Z2HgQvw1Tu, 5720104]
[paragraph, [156.0, 1107.0, 728.0, 18.0], Z2HgQvw1Tu, 5720104]
[paragraph, [156.0, 1125.0, 728.0, 18.0], Z2HgQvw1Tu, 5720104]
[paragraph, [156.0, 1143.0, 728.0, 18.0], Z2HgQvw1Tu, 5720104]
[paragraph, [156.0, 1161.0, 728.0, 18.0], Z2HgQvw1Tu, 5720104]
[paragraph, [156.0, 1179.0, 728.0, 18.0], Z2HgQvw1Tu, 5720104]
[paragraph, [156.0, 1197.0, 728.0, 18.0], Z2HgQvw1Tu, 5720104]
[paragraph, [156.0, 1215.0, 728.0, 18.0], Z2HgQvw1Tu, 5720104]
[paragraph, [156.0, 1233.0, 728.0, 18.0], Z2HgQvw1Tu, 5720104]
[paragraph, [156.0, 1251.0, 728.0, 18.0], Z2HgQvw1Tu, 5720104]
[paragraph, [156.0, 1269.0, 728.0, 18.0], Z2HgQvw1Tu, 5720104]
[paragraph, [156.0, 1287.0, 728.0, 18.0], Z2HgQvw1Tu, 5720104]
