[2174, 1461]
[folio, [155.0, 142.0, 151.0, 36.0], KfHmKQDHRF, 5654930]
[paragraph, [150.0, 250.0, 1167.0, 36.0], shoonya_6sA0REBC5UKPNN, 5654930]
[paragraph, [150.0, 286.0, 1167.0, 36.0], shoonya_6sA0REBC5UKPNN, 5654930]
[paragraph, [150.0, 322.0, 1167.0, 36.0], shoonya_6sA0REBC5UKPNN, 5654930]
[paragraph, [152.0, 421.0, 1163.0, 36.0], shoonya_2sIK0SFPXQ6OFQ, 5654930]
[paragraph, [152.0, 457.0, 1163.0, 36.0], shoonya_2sIK0SFPXQ6OFQ, 5654930]
[paragraph, [152.0, 493.0, 1163.0, 36.0], shoonya_2sIK0SFPXQ6OFQ, 5654930]
[paragraph, [152.0, 529.0, 1163.0, 36.0], shoonya_2sIK0SFPXQ6OFQ, 5654930]
[paragraph, [152.0, 565.0, 1163.0, 36.0], shoonya_2sIK0SFPXQ6OFQ, 5654930]
[paragraph, [150.0, 677.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 713.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 749.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 785.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 821.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 857.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 893.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 929.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 965.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 1001.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 1037.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 1073.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 1109.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 1145.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 1181.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 1217.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 1253.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 1289.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 1325.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [150.0, 1361.0, 1171.0, 36.0], shoonya_0sETQLYPV765AR, 5654930]
[paragraph, [156.0, 1471.0, 1162.0, 36.0], shoonya_1s1P1HEVC29CHZ, 5654930]
[paragraph, [156.0, 1507.0, 1162.0, 36.0], shoonya_1s1P1HEVC29CHZ, 5654930]
[paragraph, [156.0, 1543.0, 1162.0, 36.0], shoonya_1s1P1HEVC29CHZ, 5654930]
[paragraph, [156.0, 1579.0, 1162.0, 36.0], shoonya_1s1P1HEVC29CHZ, 5654930]
[paragraph, [156.0, 1615.0, 1162.0, 36.0], shoonya_1s1P1HEVC29CHZ, 5654930]
[paragraph, [151.0, 1721.0, 1174.0, 36.0], shoonya_5sIZMOTZI7GRZP, 5654930]
[paragraph, [151.0, 1757.0, 1174.0, 36.0], shoonya_5sIZMOTZI7GRZP, 5654930]
[paragraph, [151.0, 1793.0, 1174.0, 36.0], shoonya_5sIZMOTZI7GRZP, 5654930]
[paragraph, [151.0, 1829.0, 1174.0, 36.0], shoonya_5sIZMOTZI7GRZP, 5654930]
[paragraph, [151.0, 1865.0, 1174.0, 36.0], shoonya_5sIZMOTZI7GRZP, 5654930]
[paragraph, [151.0, 1901.0, 1174.0, 36.0], shoonya_5sIZMOTZI7GRZP, 5654930]
[reference, [156.0, 1978.0, 702.0, 36.0], shoonya_4sYFL733MAJDTR, 5654930]
[reference, [156.0, 2014.0, 702.0, 36.0], shoonya_4sYFL733MAJDTR, 5654930]
