[1806, 1178]
[ordered-list, [213.0, 102.0, 866.0, 36.0], shoonya_0sCI9C2YPIMCZK, 5751339]
[ordered-list, [213.0, 138.0, 866.0, 36.0], shoonya_0sCI9C2YPIMCZK, 5751339]
[ordered-list, [213.0, 174.0, 866.0, 36.0], shoonya_0sCI9C2YPIMCZK, 5751339]
[ordered-list, [213.0, 210.0, 866.0, 36.0], shoonya_0sCI9C2YPIMCZK, 5751339]
[ordered-list, [213.0, 246.0, 866.0, 36.0], shoonya_0sCI9C2YPIMCZK, 5751339]
[ordered-list, [213.0, 282.0, 866.0, 36.0], shoonya_0sCI9C2YPIMCZK, 5751339]
[ordered-list, [213.0, 318.0, 866.0, 36.0], shoonya_0sCI9C2YPIMCZK, 5751339]
[ordered-list, [213.0, 354.0, 866.0, 36.0], shoonya_0sCI9C2YPIMCZK, 5751339]
[paragraph, [143.0, 404.0, 938.0, 36.0], KxXM4lIq8F, 5751339]
[paragraph, [143.0, 440.0, 938.0, 36.0], KxXM4lIq8F, 5751339]
[paragraph, [143.0, 476.0, 938.0, 36.0], KxXM4lIq8F, 5751339]
[paragraph, [143.0, 512.0, 938.0, 36.0], KxXM4lIq8F, 5751339]
[paragraph, [143.0, 548.0, 938.0, 36.0], KxXM4lIq8F, 5751339]
[ordered-list, [214.0, 582.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 618.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 654.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 690.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 726.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 762.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 798.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 834.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 870.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 906.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 942.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 978.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 1014.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 1050.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 1086.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 1122.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 1158.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 1194.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 1230.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 1266.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 1302.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 1338.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 1374.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 1410.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[ordered-list, [214.0, 1446.0, 865.0, 36.0], oUhohMO_KK, 5751339]
[reference, [562.0, 1504.0, 519.0, 36.0], XRCFxDwkEy, 5751339]
[reference, [562.0, 1540.0, 519.0, 36.0], XRCFxDwkEy, 5751339]
[reference, [562.0, 1576.0, 519.0, 36.0], XRCFxDwkEy, 5751339]
