[1725, 1313]
[paragraph, [649.0, 134.0, 541.0, 36.0], CX9rNmptIt, 5772164]
[paragraph, [649.0, 170.0, 541.0, 36.0], CX9rNmptIt, 5772164]
[paragraph, [649.0, 206.0, 541.0, 36.0], CX9rNmptIt, 5772164]
[paragraph, [651.0, 268.0, 544.0, 36.0], wt5QghyhB9, 5772164]
[paragraph, [649.0, 329.0, 541.0, 36.0], UFlSY7mAmb, 5772164]
[paragraph, [649.0, 365.0, 541.0, 36.0], UFlSY7mAmb, 5772164]
[paragraph, [654.0, 482.0, 533.0, 36.0], JUkzEaSHop, 5772164]
[paragraph, [654.0, 518.0, 533.0, 36.0], JUkzEaSHop, 5772164]
[paragraph, [649.0, 577.0, 536.0, 36.0], JBrycmHkAw, 5772164]
[paragraph, [649.0, 613.0, 536.0, 36.0], JBrycmHkAw, 5772164]
[paragraph, [121.0, 612.0, 524.0, 36.0], xhvt9Eewz_, 5772164]
[paragraph, [644.0, 671.0, 539.0, 36.0], 4q3pFQTy83, 5772164]
[paragraph, [644.0, 707.0, 539.0, 36.0], 4q3pFQTy83, 5772164]
[paragraph, [644.0, 743.0, 539.0, 36.0], 4q3pFQTy83, 5772164]
[paragraph, [118.0, 679.0, 534.0, 36.0], jm2ib9s5LI, 5772164]
[paragraph, [118.0, 715.0, 534.0, 36.0], jm2ib9s5LI, 5772164]
[paragraph, [118.0, 751.0, 534.0, 36.0], jm2ib9s5LI, 5772164]
[paragraph, [118.0, 787.0, 534.0, 36.0], jm2ib9s5LI, 5772164]
[paragraph, [118.0, 823.0, 534.0, 36.0], jm2ib9s5LI, 5772164]
[paragraph, [653.0, 796.0, 533.0, 36.0], ioZv89vb6-, 5772164]
[paragraph, [653.0, 832.0, 533.0, 36.0], ioZv89vb6-, 5772164]
[paragraph, [116.0, 864.0, 539.0, 36.0], PwkZnTdu-5, 5772164]
[paragraph, [116.0, 900.0, 539.0, 36.0], PwkZnTdu-5, 5772164]
[paragraph, [116.0, 936.0, 539.0, 36.0], PwkZnTdu-5, 5772164]
[paragraph, [654.0, 885.0, 529.0, 36.0], Y-FglWrtCj, 5772164]
[paragraph, [654.0, 921.0, 529.0, 36.0], Y-FglWrtCj, 5772164]
[paragraph, [654.0, 957.0, 529.0, 36.0], Y-FglWrtCj, 5772164]
[paragraph, [123.0, 997.0, 534.0, 36.0], Kq7oxj8xhT, 5772164]
[paragraph, [123.0, 1033.0, 534.0, 36.0], Kq7oxj8xhT, 5772164]
[paragraph, [123.0, 1069.0, 534.0, 36.0], Kq7oxj8xhT, 5772164]
[paragraph, [658.0, 1078.0, 534.0, 36.0], d1vy698Bkj, 5772164]
[paragraph, [658.0, 1114.0, 534.0, 36.0], d1vy698Bkj, 5772164]
[paragraph, [658.0, 1150.0, 534.0, 36.0], d1vy698Bkj, 5772164]
[paragraph, [658.0, 1186.0, 534.0, 36.0], d1vy698Bkj, 5772164]
[paragraph, [121.0, 1117.0, 533.0, 36.0], tw6O1Zl77u, 5772164]
[paragraph, [121.0, 1153.0, 533.0, 36.0], tw6O1Zl77u, 5772164]
[paragraph, [113.0, 1209.0, 544.0, 36.0], yvwM_3NmRX, 5772164]
[paragraph, [113.0, 1245.0, 544.0, 36.0], yvwM_3NmRX, 5772164]
[paragraph, [113.0, 1281.0, 544.0, 36.0], yvwM_3NmRX, 5772164]
[paragraph, [113.0, 1317.0, 544.0, 36.0], yvwM_3NmRX, 5772164]
[paragraph, [113.0, 1353.0, 544.0, 36.0], yvwM_3NmRX, 5772164]
[paragraph, [113.0, 1389.0, 544.0, 36.0], yvwM_3NmRX, 5772164]
[paragraph, [113.0, 1425.0, 544.0, 36.0], yvwM_3NmRX, 5772164]
[paragraph, [113.0, 1461.0, 544.0, 36.0], yvwM_3NmRX, 5772164]
[paragraph, [113.0, 1497.0, 544.0, 36.0], yvwM_3NmRX, 5772164]
[paragraph, [653.0, 1241.0, 549.0, 36.0], CEcrb5viXe, 5772164]
[paragraph, [653.0, 1277.0, 549.0, 36.0], CEcrb5viXe, 5772164]
[paragraph, [653.0, 1313.0, 549.0, 36.0], CEcrb5viXe, 5772164]
[paragraph, [653.0, 1349.0, 549.0, 36.0], CEcrb5viXe, 5772164]
[paragraph, [653.0, 1385.0, 549.0, 36.0], CEcrb5viXe, 5772164]
[paragraph, [653.0, 1421.0, 549.0, 36.0], CEcrb5viXe, 5772164]
[paragraph, [666.0, 1494.0, 526.0, 36.0], dvT6izA43K, 5772164]
[folio, [577.0, 1580.0, 154.0, 36.0], TVda0kejyG, 5772164]
[folio, [67.0, 1675.0, 308.0, 36.0], p3PP13jJmy, 5772164]
