[1220, 768]
[headline, [245.0, 76.0, 416.0, 25.5], 3_Or713_Zj, 5769925]
[paragraph, [70.0, 132.0, 317.0, 18.0], 8RKWZQc3M5, 5769925]
[paragraph, [70.0, 150.0, 317.0, 18.0], 8RKWZQc3M5, 5769925]
[paragraph, [70.0, 168.0, 317.0, 18.0], 8RKWZQc3M5, 5769925]
[paragraph, [70.0, 186.0, 317.0, 18.0], 8RKWZQc3M5, 5769925]
[paragraph, [70.0, 204.0, 317.0, 18.0], 8RKWZQc3M5, 5769925]
[ordered-list, [391.0, 132.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 150.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 168.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 186.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 204.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 222.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 240.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 258.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 276.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 294.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 312.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 330.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 348.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 366.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 384.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 402.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 420.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 438.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 456.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 474.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 492.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 510.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 528.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 546.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 564.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 582.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 600.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 618.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 636.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 654.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 672.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [391.0, 690.0, 304.0, 18.0], mGjwKjacQg, 5769925]
[ordered-list, [60.0, 227.0, 326.0, 18.0], qDcw0_xNdz, 5769925]
[ordered-list, [60.0, 245.0, 326.0, 18.0], qDcw0_xNdz, 5769925]
[ordered-list, [60.0, 263.0, 326.0, 18.0], qDcw0_xNdz, 5769925]
[ordered-list, [60.0, 281.0, 326.0, 18.0], qDcw0_xNdz, 5769925]
[ordered-list, [60.0, 299.0, 326.0, 18.0], qDcw0_xNdz, 5769925]
[ordered-list, [60.0, 317.0, 326.0, 18.0], qDcw0_xNdz, 5769925]
[ordered-list, [60.0, 335.0, 326.0, 18.0], qDcw0_xNdz, 5769925]
[ordered-list, [60.0, 353.0, 326.0, 18.0], qDcw0_xNdz, 5769925]
[ordered-list, [60.0, 371.0, 326.0, 18.0], qDcw0_xNdz, 5769925]
[ordered-list, [60.0, 389.0, 326.0, 18.0], qDcw0_xNdz, 5769925]
