[720, 504]
[folio, [376.0, 73.0, 79.0, 18.0], LFPK7uw7ma, 5652483]
[paragraph, [57.0, 102.0, 183.0, 18.0], shoonya_4sXGN88TE1OHLZ, 5652483]
[paragraph, [57.0, 120.0, 183.0, 18.0], shoonya_4sXGN88TE1OHLZ, 5652483]
[paragraph, [57.0, 138.0, 183.0, 18.0], shoonya_4sXGN88TE1OHLZ, 5652483]
[paragraph, [57.0, 156.0, 183.0, 18.0], shoonya_4sXGN88TE1OHLZ, 5652483]
[paragraph, [259.0, 104.0, 197.0, 18.0], shoonya_0sPLT4KGWRLTER, 5652483]
[paragraph, [259.0, 122.0, 197.0, 18.0], shoonya_0sPLT4KGWRLTER, 5652483]
[paragraph, [259.0, 140.0, 197.0, 18.0], shoonya_0sPLT4KGWRLTER, 5652483]
[paragraph, [259.0, 158.0, 197.0, 18.0], shoonya_0sPLT4KGWRLTER, 5652483]
[paragraph, [259.0, 176.0, 197.0, 18.0], shoonya_0sPLT4KGWRLTER, 5652483]
[paragraph, [259.0, 194.0, 197.0, 18.0], shoonya_0sPLT4KGWRLTER, 5652483]
[paragraph, [259.0, 212.0, 197.0, 18.0], shoonya_0sPLT4KGWRLTER, 5652483]
[paragraph, [259.0, 230.0, 197.0, 18.0], shoonya_0sPLT4KGWRLTER, 5652483]
[paragraph, [259.0, 248.0, 197.0, 18.0], shoonya_0sPLT4KGWRLTER, 5652483]
[paragraph, [259.0, 266.0, 197.0, 18.0], shoonya_0sPLT4KGWRLTER, 5652483]
[paragraph, [259.0, 284.0, 197.0, 18.0], shoonya_0sPLT4KGWRLTER, 5652483]
[paragraph, [259.0, 302.0, 197.0, 18.0], shoonya_0sPLT4KGWRLTER, 5652483]
[paragraph, [259.0, 320.0, 197.0, 18.0], shoonya_0sPLT4KGWRLTER, 5652483]
[paragraph, [259.0, 338.0, 197.0, 18.0], shoonya_0sPLT4KGWRLTER, 5652483]
[paragraph, [259.0, 356.0, 197.0, 18.0], shoonya_0sPLT4KGWRLTER, 5652483]
