[3509, 2482]
[folio, [832.0, 220.0, 489.0, 52.5], X7FcLIKLcD, 5691613]
[paragraph, [191.0, 318.0, 1808.0, 52.5], r13m_JSfdM, 5691613]
[paragraph, [191.0, 370.5, 1808.0, 52.5], r13m_JSfdM, 5691613]
[paragraph, [191.0, 423.0, 1808.0, 52.5], r13m_JSfdM, 5691613]
[paragraph, [293.0, 481.0, 187.0, 52.5], oDcyHScaY6, 5691613]
[paragraph, [277.0, 567.0, 1555.0, 52.5], TvV_g1vx7V, 5691613]
[paragraph, [302.0, 648.0, 926.0, 52.5], j3qmVI2sXB, 5691613]
[paragraph, [208.0, 734.0, 1808.0, 52.5], Dds0wA4Qr6, 5691613]
[paragraph, [208.0, 786.5, 1808.0, 52.5], Dds0wA4Qr6, 5691613]
[paragraph, [208.0, 839.0, 1808.0, 52.5], Dds0wA4Qr6, 5691613]
[paragraph, [208.0, 891.5, 1808.0, 52.5], Dds0wA4Qr6, 5691613]
[paragraph, [273.0, 971.0, 820.0, 52.5], 6A-YtodUsy, 5691613]
[paragraph, [244.0, 1060.0, 1347.0, 52.5], ApSou6mQZW, 5691613]
[paragraph, [273.0, 1150.0, 955.0, 52.5], Ot7nXdTdzf, 5691613]
[paragraph, [257.0, 1242.0, 1743.0, 52.5], 0tCx9DoAUm, 5691613]
[paragraph, [163.0, 1321.0, 1869.0, 52.5], SCj7yDCCXh, 5691613]
[paragraph, [163.0, 1373.5, 1869.0, 52.5], SCj7yDCCXh, 5691613]
[paragraph, [163.0, 1426.0, 1869.0, 52.5], SCj7yDCCXh, 5691613]
[paragraph, [163.0, 1478.5, 1869.0, 52.5], SCj7yDCCXh, 5691613]
[paragraph, [163.0, 1531.0, 1869.0, 52.5], SCj7yDCCXh, 5691613]
[paragraph, [163.0, 1583.5, 1869.0, 52.5], SCj7yDCCXh, 5691613]
[paragraph, [285.0, 1648.0, 1347.0, 52.5], aFnochETHi, 5691613]
[paragraph, [204.0, 1741.0, 1792.0, 52.5], JhHHyO7v0l, 5691613]
[paragraph, [204.0, 1793.5, 1792.0, 52.5], JhHHyO7v0l, 5691613]
[paragraph, [204.0, 1846.0, 1792.0, 52.5], JhHHyO7v0l, 5691613]
[paragraph, [293.0, 1897.0, 845.0, 52.5], Q12nHOw0dV, 5691613]
[paragraph, [195.0, 1974.0, 1812.0, 52.5], bdCwR8X2cR, 5691613]
[paragraph, [195.0, 2026.5, 1812.0, 52.5], bdCwR8X2cR, 5691613]
[paragraph, [195.0, 2079.0, 1812.0, 52.5], bdCwR8X2cR, 5691613]
[paragraph, [179.0, 2153.0, 1857.0, 52.5], XoV3_CEAHH, 5691613]
[paragraph, [179.0, 2205.5, 1857.0, 52.5], XoV3_CEAHH, 5691613]
[paragraph, [179.0, 2258.0, 1857.0, 52.5], XoV3_CEAHH, 5691613]
[paragraph, [179.0, 2310.5, 1857.0, 52.5], XoV3_CEAHH, 5691613]
[paragraph, [179.0, 2386.0, 1881.0, 52.5], DgRyObXYX6, 5691613]
[paragraph, [179.0, 2438.5, 1881.0, 52.5], DgRyObXYX6, 5691613]
[paragraph, [179.0, 2491.0, 1881.0, 52.5], DgRyObXYX6, 5691613]
[paragraph, [285.0, 2562.0, 873.0, 52.5], uzHXX34Ipv, 5691613]
[paragraph, [289.0, 2655.0, 747.0, 52.5], B4phcs51I-, 5691613]
[paragraph, [195.0, 2741.0, 1861.0, 52.5], 7feHIuTElp, 5691613]
[paragraph, [195.0, 2793.5, 1861.0, 52.5], 7feHIuTElp, 5691613]
[paragraph, [195.0, 2846.0, 1861.0, 52.5], 7feHIuTElp, 5691613]
[paragraph, [277.0, 2896.0, 1151.0, 52.5], jHkOIMzKhJ, 5691613]
[paragraph, [277.0, 2981.0, 1359.0, 52.5], XvF5g0sd1b, 5691613]
[paragraph, [195.0, 3075.0, 1837.0, 52.5], KbENwt5bjB, 5691613]
[paragraph, [195.0, 3127.5, 1837.0, 52.5], KbENwt5bjB, 5691613]
[paragraph, [195.0, 3180.0, 1837.0, 52.5], KbENwt5bjB, 5691613]
[paragraph, [261.0, 3239.0, 979.0, 52.5], iDLoWM16x0, 5691613]
[paragraph, [261.0, 3291.5, 979.0, 52.5], iDLoWM16x0, 5691613]
