[792, 612]
[folio, [231.0, 49.0, 121.0, 18.0], LTHLTBpu_e, 6495391]
[paragraph, [116.0, 78.0, 258.0, 18.0], shoonya_0s7EQML2I55FJK, 6495391]
[paragraph, [116.0, 96.0, 258.0, 18.0], shoonya_0s7EQML2I55FJK, 6495391]
[paragraph, [116.0, 114.0, 258.0, 18.0], shoonya_0s7EQML2I55FJK, 6495391]
[paragraph, [116.0, 132.0, 258.0, 18.0], shoonya_0s7EQML2I55FJK, 6495391]
[paragraph, [116.0, 150.0, 258.0, 18.0], shoonya_0s7EQML2I55FJK, 6495391]
[paragraph, [116.0, 168.0, 258.0, 18.0], shoonya_0s7EQML2I55FJK, 6495391]
[paragraph, [116.0, 186.0, 258.0, 18.0], shoonya_0s7EQML2I55FJK, 6495391]
[paragraph, [116.0, 204.0, 258.0, 18.0], shoonya_0s7EQML2I55FJK, 6495391]
[paragraph, [116.0, 222.0, 258.0, 18.0], shoonya_0s7EQML2I55FJK, 6495391]
[paragraph, [116.0, 240.0, 258.0, 18.0], shoonya_0s7EQML2I55FJK, 6495391]
[paragraph, [116.0, 258.0, 258.0, 18.0], shoonya_0s7EQML2I55FJK, 6495391]
[paragraph, [116.0, 276.0, 258.0, 18.0], shoonya_0s7EQML2I55FJK, 6495391]
[paragraph, [116.0, 294.0, 258.0, 18.0], shoonya_0s7EQML2I55FJK, 6495391]
[paragraph, [116.0, 312.0, 258.0, 18.0], shoonya_0s7EQML2I55FJK, 6495391]
[paragraph, [121.0, 348.0, 317.0, 18.0], 1ILOC_bv7o, 6495391]
[paragraph, [121.0, 366.0, 317.0, 18.0], 1ILOC_bv7o, 6495391]
