[1754, 1241]
[section-title, [76.0, 84.0, 1021.0, 49.5], c29xW7hBSD, 5715765]
[section-title, [76.0, 133.5, 1021.0, 49.5], c29xW7hBSD, 5715765]
[unordered-list, [90.0, 201.0, 971.0, 36.0], shoonya_4sS9NOPB9E74C2, 5715765]
[unordered-list, [90.0, 237.0, 971.0, 36.0], shoonya_4sS9NOPB9E74C2, 5715765]
[unordered-list, [90.0, 273.0, 971.0, 36.0], shoonya_4sS9NOPB9E74C2, 5715765]
[unordered-list, [90.0, 309.0, 971.0, 36.0], shoonya_4sS9NOPB9E74C2, 5715765]
[unordered-list, [90.0, 345.0, 971.0, 36.0], shoonya_4sS9NOPB9E74C2, 5715765]
[section-title, [56.0, 753.0, 1033.0, 49.5], shoonya_1s0SIZQQ0JS9UO, 5715765]
[unordered-list, [54.0, 839.0, 1067.0, 36.0], 8ScTLAylkB, 5715765]
[unordered-list, [54.0, 875.0, 1067.0, 36.0], 8ScTLAylkB, 5715765]
[unordered-list, [54.0, 911.0, 1067.0, 36.0], 8ScTLAylkB, 5715765]
[unordered-list, [54.0, 947.0, 1067.0, 36.0], 8ScTLAylkB, 5715765]
[unordered-list, [54.0, 983.0, 1067.0, 36.0], 8ScTLAylkB, 5715765]
[unordered-list, [54.0, 1019.0, 1067.0, 36.0], 8ScTLAylkB, 5715765]
[unordered-list, [54.0, 1055.0, 1067.0, 36.0], 8ScTLAylkB, 5715765]
[unordered-list, [54.0, 1091.0, 1067.0, 36.0], 8ScTLAylkB, 5715765]
[unordered-list, [54.0, 1127.0, 1067.0, 36.0], 8ScTLAylkB, 5715765]
[section-title, [67.0, 1183.0, 998.0, 49.5], Yb88Ls3SDB, 5715765]
[unordered-list, [84.0, 1244.0, 1051.0, 36.0], shoonya_2sNZLLZWKRUIR1, 5715765]
[unordered-list, [84.0, 1280.0, 1051.0, 36.0], shoonya_2sNZLLZWKRUIR1, 5715765]
[unordered-list, [84.0, 1316.0, 1051.0, 36.0], shoonya_2sNZLLZWKRUIR1, 5715765]
[unordered-list, [84.0, 1352.0, 1051.0, 36.0], shoonya_2sNZLLZWKRUIR1, 5715765]
[unordered-list, [84.0, 1388.0, 1051.0, 36.0], shoonya_2sNZLLZWKRUIR1, 5715765]
[unordered-list, [84.0, 1424.0, 1051.0, 36.0], shoonya_2sNZLLZWKRUIR1, 5715765]
[unordered-list, [84.0, 1460.0, 1051.0, 36.0], shoonya_2sNZLLZWKRUIR1, 5715765]
[unordered-list, [84.0, 1496.0, 1051.0, 36.0], shoonya_2sNZLLZWKRUIR1, 5715765]
[unordered-list, [84.0, 1532.0, 1051.0, 36.0], shoonya_2sNZLLZWKRUIR1, 5715765]
[unordered-list, [84.0, 1568.0, 1051.0, 36.0], shoonya_2sNZLLZWKRUIR1, 5715765]
[unordered-list, [84.0, 1604.0, 1051.0, 36.0], shoonya_2sNZLLZWKRUIR1, 5715765]
