[1600, 2134]
[unordered-list, [895.0, 23.0, 474.0, 36.0], b4KAAOMXM8, 5719386]
[unordered-list, [895.0, 59.0, 474.0, 36.0], b4KAAOMXM8, 5719386]
[unordered-list, [895.0, 95.0, 474.0, 36.0], b4KAAOMXM8, 5719386]
[unordered-list, [895.0, 131.0, 474.0, 36.0], b4KAAOMXM8, 5719386]
[unordered-list, [895.0, 167.0, 474.0, 36.0], b4KAAOMXM8, 5719386]
[unordered-list, [895.0, 203.0, 474.0, 36.0], b4KAAOMXM8, 5719386]
[unordered-list, [895.0, 239.0, 474.0, 36.0], b4KAAOMXM8, 5719386]
[unordered-list, [895.0, 275.0, 474.0, 36.0], b4KAAOMXM8, 5719386]
[unordered-list, [895.0, 311.0, 474.0, 36.0], b4KAAOMXM8, 5719386]
[section-title, [125.0, 29.0, 460.0, 49.5], JZ1lsT0Rxg, 5719386]
[section-title, [125.0, 78.5, 460.0, 49.5], JZ1lsT0Rxg, 5719386]
[section-title, [721.0, 45.0, 178.0, 49.5], PjjaQxbNs6, 5719386]
[section-title, [721.0, 94.5, 178.0, 49.5], PjjaQxbNs6, 5719386]
[section-title, [721.0, 144.0, 178.0, 49.5], PjjaQxbNs6, 5719386]
[section-title, [721.0, 193.5, 178.0, 49.5], PjjaQxbNs6, 5719386]
[section-title, [721.0, 243.0, 178.0, 49.5], PjjaQxbNs6, 5719386]
[unordered-list, [63.0, 138.0, 602.0, 36.0], t0EMCICFqi, 5719386]
[unordered-list, [63.0, 174.0, 602.0, 36.0], t0EMCICFqi, 5719386]
[unordered-list, [63.0, 210.0, 602.0, 36.0], t0EMCICFqi, 5719386]
[unordered-list, [63.0, 246.0, 602.0, 36.0], t0EMCICFqi, 5719386]
[unordered-list, [63.0, 282.0, 602.0, 36.0], t0EMCICFqi, 5719386]
[unordered-list, [63.0, 318.0, 602.0, 36.0], t0EMCICFqi, 5719386]
[unordered-list, [63.0, 354.0, 602.0, 36.0], t0EMCICFqi, 5719386]
[unordered-list, [63.0, 390.0, 602.0, 36.0], t0EMCICFqi, 5719386]
[unordered-list, [63.0, 426.0, 602.0, 36.0], t0EMCICFqi, 5719386]
[unordered-list, [63.0, 462.0, 602.0, 36.0], t0EMCICFqi, 5719386]
[section-title, [1707.0, 141.0, 372.0, 49.5], R7-Y9h3jb-, 5719386]
[section-title, [1707.0, 190.5, 372.0, 49.5], R7-Y9h3jb-, 5719386]
[section-title, [1707.0, 240.0, 372.0, 49.5], R7-Y9h3jb-, 5719386]
[section-title, [1707.0, 289.5, 372.0, 49.5], R7-Y9h3jb-, 5719386]
[section-title, [1707.0, 339.0, 372.0, 49.5], R7-Y9h3jb-, 5719386]
[section-title, [599.0, 439.0, 522.0, 49.5], 4IRIbNeLNZ, 5719386]
[paragraph, [1662.0, 505.0, 426.0, 36.0], E7xeVDSYu3, 5719386]
[paragraph, [1662.0, 541.0, 426.0, 36.0], E7xeVDSYu3, 5719386]
[paragraph, [1662.0, 577.0, 426.0, 36.0], E7xeVDSYu3, 5719386]
[paragraph, [1662.0, 613.0, 426.0, 36.0], E7xeVDSYu3, 5719386]
[paragraph, [1662.0, 649.0, 426.0, 36.0], E7xeVDSYu3, 5719386]
[paragraph, [1662.0, 685.0, 426.0, 36.0], E7xeVDSYu3, 5719386]
[paragraph, [1662.0, 721.0, 426.0, 36.0], E7xeVDSYu3, 5719386]
[paragraph, [1662.0, 757.0, 426.0, 36.0], E7xeVDSYu3, 5719386]
[paragraph, [1662.0, 793.0, 426.0, 36.0], E7xeVDSYu3, 5719386]
[paragraph, [1662.0, 829.0, 426.0, 36.0], E7xeVDSYu3, 5719386]
[paragraph, [1662.0, 865.0, 426.0, 36.0], E7xeVDSYu3, 5719386]
[paragraph, [1662.0, 901.0, 426.0, 36.0], E7xeVDSYu3, 5719386]
[paragraph, [1662.0, 937.0, 426.0, 36.0], E7xeVDSYu3, 5719386]
[paragraph, [594.0, 572.0, 301.0, 36.0], IXGeicc31e, 5719386]
[paragraph, [594.0, 608.0, 301.0, 36.0], IXGeicc31e, 5719386]
[paragraph, [594.0, 644.0, 301.0, 36.0], IXGeicc31e, 5719386]
[paragraph, [594.0, 680.0, 301.0, 36.0], IXGeicc31e, 5719386]
[paragraph, [903.0, 572.0, 372.0, 36.0], Pye0KLu0fU, 5719386]
[paragraph, [903.0, 608.0, 372.0, 36.0], Pye0KLu0fU, 5719386]
[paragraph, [903.0, 644.0, 372.0, 36.0], Pye0KLu0fU, 5719386]
[paragraph, [903.0, 680.0, 372.0, 36.0], Pye0KLu0fU, 5719386]
[paragraph, [716.0, 809.0, 420.0, 36.0], LA3XXf69dV, 5719386]
[paragraph, [716.0, 845.0, 420.0, 36.0], LA3XXf69dV, 5719386]
[paragraph, [716.0, 881.0, 420.0, 36.0], LA3XXf69dV, 5719386]
[paragraph, [716.0, 917.0, 420.0, 36.0], LA3XXf69dV, 5719386]
[paragraph, [716.0, 953.0, 420.0, 36.0], LA3XXf69dV, 5719386]
[paragraph, [716.0, 989.0, 420.0, 36.0], LA3XXf69dV, 5719386]
[section-title, [111.0, 1035.0, 378.0, 49.5], SD9UxynaM1, 5719386]
[section-title, [111.0, 1084.5, 378.0, 49.5], SD9UxynaM1, 5719386]
[paragraph, [716.0, 1059.0, 386.0, 36.0], 0TDsPSh0xE, 5719386]
[paragraph, [716.0, 1095.0, 386.0, 36.0], 0TDsPSh0xE, 5719386]
[paragraph, [716.0, 1131.0, 386.0, 36.0], 0TDsPSh0xE, 5719386]
[paragraph, [716.0, 1167.0, 386.0, 36.0], 0TDsPSh0xE, 5719386]
[unordered-list, [77.0, 1152.0, 508.0, 36.0], lKC_vv4V4z, 5719386]
[unordered-list, [77.0, 1188.0, 508.0, 36.0], lKC_vv4V4z, 5719386]
[unordered-list, [77.0, 1224.0, 508.0, 36.0], lKC_vv4V4z, 5719386]
[unordered-list, [77.0, 1260.0, 508.0, 36.0], lKC_vv4V4z, 5719386]
[answer, [877.0, 1292.0, 465.0, 36.0], yS6PXw6HRe, 5719386]
[folio, [197.0, 1381.0, 142.0, 36.0], cZcHPFuQMo, 5719386]
[folio, [197.0, 1417.0, 142.0, 36.0], cZcHPFuQMo, 5719386]
