[2200, 1700]
[section-title, [713.0, 174.0, 355.0, 52.5], Zr2A-sANcA, 5750288]
[section-title, [713.0, 226.5, 355.0, 52.5], Zr2A-sANcA, 5750288]
[paragraph, [251.0, 451.0, 1235.0, 36.0], iM09kuDk6n, 5750288]
[paragraph, [251.0, 487.0, 1235.0, 36.0], iM09kuDk6n, 5750288]
[paragraph, [251.0, 523.0, 1235.0, 36.0], iM09kuDk6n, 5750288]
[paragraph, [251.0, 559.0, 1235.0, 36.0], iM09kuDk6n, 5750288]
[paragraph, [251.0, 595.0, 1235.0, 36.0], iM09kuDk6n, 5750288]
[paragraph, [251.0, 631.0, 1235.0, 36.0], iM09kuDk6n, 5750288]
[paragraph, [251.0, 667.0, 1235.0, 36.0], iM09kuDk6n, 5750288]
[section-title, [707.0, 954.0, 336.0, 52.5], W94N0YIJ20, 5750288]
[website-link, [478.0, 1059.0, 738.0, 18.0], okxBjI1PlS, 5750288]
[website-link, [478.0, 1077.0, 738.0, 18.0], okxBjI1PlS, 5750288]
[website-link, [478.0, 1095.0, 738.0, 18.0], okxBjI1PlS, 5750288]
[website-link, [478.0, 1113.0, 738.0, 18.0], okxBjI1PlS, 5750288]
[paragraph, [538.0, 1208.0, 671.0, 36.0], shoonya_0sQUIMBJBZUF4R, 5750288]
[paragraph, [538.0, 1244.0, 671.0, 36.0], shoonya_0sQUIMBJBZUF4R, 5750288]
[paragraph, [538.0, 1280.0, 671.0, 36.0], shoonya_0sQUIMBJBZUF4R, 5750288]
[paragraph, [538.0, 1316.0, 671.0, 36.0], shoonya_0sQUIMBJBZUF4R, 5750288]
[paragraph, [538.0, 1352.0, 671.0, 36.0], shoonya_0sQUIMBJBZUF4R, 5750288]
[paragraph, [538.0, 1388.0, 671.0, 36.0], shoonya_0sQUIMBJBZUF4R, 5750288]
[paragraph, [538.0, 1424.0, 671.0, 36.0], shoonya_0sQUIMBJBZUF4R, 5750288]
[paragraph, [538.0, 1460.0, 671.0, 36.0], shoonya_0sQUIMBJBZUF4R, 5750288]
