[1468, 909]
[headline, [345.0, 71.0, 245.0, 25.5], _YNeWFq1oO, 5769788]
[paragraph, [71.0, 136.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 154.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 172.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 190.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 208.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 226.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 244.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 262.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 280.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 298.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 316.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 334.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 352.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 370.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 388.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 406.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 424.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 442.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 460.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 478.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 496.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 514.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 532.0, 389.0, 18.0], FiFetqTKEm, 5769788]
[paragraph, [71.0, 550.0, 389.0, 18.0], FiFetqTKEm, 5769788]
