[2339, 1653]
[folio, [235.0, 334.0, 181.0, 36.0], Eoll4GNScV, 5735587]
[sidebar, [59.0, 553.0, 138.0, 36.0], wijIvZgyb8, 5735587]
[paragraph, [837.0, 1360.0, 575.0, 36.0], shoonya_1sMIJGN707D8R0, 5735587]
[paragraph, [837.0, 1396.0, 575.0, 36.0], shoonya_1sMIJGN707D8R0, 5735587]
[paragraph, [837.0, 1432.0, 575.0, 36.0], shoonya_1sMIJGN707D8R0, 5735587]
[paragraph, [837.0, 1468.0, 575.0, 36.0], shoonya_1sMIJGN707D8R0, 5735587]
[paragraph, [837.0, 1504.0, 575.0, 36.0], shoonya_1sMIJGN707D8R0, 5735587]
[paragraph, [837.0, 1540.0, 575.0, 36.0], shoonya_1sMIJGN707D8R0, 5735587]
[paragraph, [237.0, 1361.0, 579.0, 36.0], shoonya_3s6EKK7UFJV0L4, 5735587]
[paragraph, [237.0, 1397.0, 579.0, 36.0], shoonya_3s6EKK7UFJV0L4, 5735587]
[paragraph, [237.0, 1433.0, 579.0, 36.0], shoonya_3s6EKK7UFJV0L4, 5735587]
[paragraph, [237.0, 1496.0, 579.0, 36.0], shoonya_0s8SAPSF5PBLNR, 5735587]
[paragraph, [237.0, 1532.0, 579.0, 36.0], shoonya_0s8SAPSF5PBLNR, 5735587]
[paragraph, [237.0, 1568.0, 579.0, 36.0], shoonya_0s8SAPSF5PBLNR, 5735587]
[paragraph, [237.0, 1604.0, 579.0, 36.0], shoonya_0s8SAPSF5PBLNR, 5735587]
[paragraph, [237.0, 1640.0, 579.0, 36.0], shoonya_0s8SAPSF5PBLNR, 5735587]
[paragraph, [237.0, 1676.0, 579.0, 36.0], shoonya_0s8SAPSF5PBLNR, 5735587]
[paragraph, [237.0, 1712.0, 579.0, 36.0], shoonya_0s8SAPSF5PBLNR, 5735587]
[paragraph, [237.0, 1748.0, 579.0, 36.0], shoonya_0s8SAPSF5PBLNR, 5735587]
[paragraph, [237.0, 1784.0, 579.0, 36.0], shoonya_0s8SAPSF5PBLNR, 5735587]
[paragraph, [237.0, 1820.0, 579.0, 36.0], shoonya_0s8SAPSF5PBLNR, 5735587]
[paragraph, [237.0, 1856.0, 579.0, 36.0], shoonya_0s8SAPSF5PBLNR, 5735587]
[paragraph, [237.0, 1892.0, 579.0, 36.0], shoonya_0s8SAPSF5PBLNR, 5735587]
[paragraph, [836.0, 1586.0, 580.0, 36.0], shoonya_2sU3K8IM27W4PF, 5735587]
[paragraph, [836.0, 1622.0, 580.0, 36.0], shoonya_2sU3K8IM27W4PF, 5735587]
[paragraph, [836.0, 1658.0, 580.0, 36.0], shoonya_2sU3K8IM27W4PF, 5735587]
[paragraph, [836.0, 1694.0, 580.0, 36.0], shoonya_2sU3K8IM27W4PF, 5735587]
[paragraph, [836.0, 1730.0, 580.0, 36.0], shoonya_2sU3K8IM27W4PF, 5735587]
[paragraph, [836.0, 1766.0, 580.0, 36.0], shoonya_2sU3K8IM27W4PF, 5735587]
[paragraph, [837.0, 1810.0, 580.0, 36.0], shoonya_4s2DZRDAJRGROL, 5735587]
[paragraph, [837.0, 1846.0, 580.0, 36.0], shoonya_4s2DZRDAJRGROL, 5735587]
[paragraph, [837.0, 1882.0, 580.0, 36.0], shoonya_4s2DZRDAJRGROL, 5735587]
[folio, [1176.0, 1965.0, 237.0, 36.0], LZPLQQZXzl, 5735587]
