[729, 517]
[folio, [70.0, 21.0, 137.0, 18.0], S543DntUrk, 5761412]
[paragraph, [262.0, 54.0, 215.0, 18.0], ekKaR1GNhM, 5761412]
[paragraph, [262.0, 72.0, 215.0, 18.0], ekKaR1GNhM, 5761412]
[paragraph, [262.0, 90.0, 215.0, 18.0], ekKaR1GNhM, 5761412]
[paragraph, [262.0, 108.0, 215.0, 18.0], ekKaR1GNhM, 5761412]
[paragraph, [262.0, 126.0, 215.0, 18.0], ekKaR1GNhM, 5761412]
[paragraph, [262.0, 144.0, 215.0, 18.0], ekKaR1GNhM, 5761412]
[paragraph, [262.0, 162.0, 215.0, 18.0], ekKaR1GNhM, 5761412]
[paragraph, [262.0, 180.0, 215.0, 18.0], ekKaR1GNhM, 5761412]
[paragraph, [262.0, 198.0, 215.0, 18.0], ekKaR1GNhM, 5761412]
[paragraph, [37.0, 56.0, 218.0, 18.0], O5MxgiRoe1, 5761412]
[paragraph, [37.0, 74.0, 218.0, 18.0], O5MxgiRoe1, 5761412]
[paragraph, [37.0, 92.0, 218.0, 18.0], O5MxgiRoe1, 5761412]
[paragraph, [37.0, 110.0, 218.0, 18.0], O5MxgiRoe1, 5761412]
[paragraph, [37.0, 128.0, 218.0, 18.0], O5MxgiRoe1, 5761412]
[paragraph, [34.0, 150.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 168.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 186.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 204.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 222.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 240.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 258.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 276.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 294.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 312.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 330.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 348.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 366.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 384.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 402.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 420.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 438.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 456.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 474.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 492.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 510.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 528.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
[paragraph, [34.0, 546.0, 219.0, 18.0], shoonya_3sMCWSX3I2J50Y, 5761412]
