[2339, 1654]
[folio, [117.0, 89.0, 368.0, 36.0], XyzR5KiDvT, 5750788]
[paragraph, [97.0, 136.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 172.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 208.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 244.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 280.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 316.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 352.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 388.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 424.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 460.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 496.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 532.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 568.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 604.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 640.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 676.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 712.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 748.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 784.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 820.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 856.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 892.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 928.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 964.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1000.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1036.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1072.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1108.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1144.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1180.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1216.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1252.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1288.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1324.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1360.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1396.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1432.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1468.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1504.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1540.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1576.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1612.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1648.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1684.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1720.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1756.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1792.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1828.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1864.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1900.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1936.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 1972.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 2008.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 2044.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 2080.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[paragraph, [97.0, 2116.0, 1502.0, 36.0], k_4THOF-Hv, 5750788]
[reference, [128.0, 2200.0, 469.0, 36.0], n-acDjMhX0, 5750788]
