[648, 414]
[folio, [243.0, 69.0, 89.0, 18.0], hvMWEIqOzf, 6515301]
[paragraph, [51.0, 95.0, 310.0, 18.0], shoonya_0s4UZ8EG8C6GG9, 6515301]
[paragraph, [51.0, 113.0, 310.0, 18.0], shoonya_0s4UZ8EG8C6GG9, 6515301]
[paragraph, [51.0, 131.0, 310.0, 18.0], shoonya_0s4UZ8EG8C6GG9, 6515301]
[paragraph, [51.0, 149.0, 310.0, 18.0], shoonya_0s4UZ8EG8C6GG9, 6515301]
[paragraph, [51.0, 167.0, 310.0, 18.0], shoonya_0s4UZ8EG8C6GG9, 6515301]
[paragraph, [51.0, 185.0, 310.0, 18.0], shoonya_0s4UZ8EG8C6GG9, 6515301]
[paragraph, [51.0, 203.0, 310.0, 18.0], shoonya_0s4UZ8EG8C6GG9, 6515301]
[paragraph, [51.0, 221.0, 310.0, 18.0], shoonya_0s4UZ8EG8C6GG9, 6515301]
[paragraph, [51.0, 239.0, 310.0, 18.0], shoonya_0s4UZ8EG8C6GG9, 6515301]
[paragraph, [51.0, 257.0, 310.0, 18.0], shoonya_0s4UZ8EG8C6GG9, 6515301]
[paragraph, [51.0, 275.0, 310.0, 18.0], shoonya_0s4UZ8EG8C6GG9, 6515301]
[paragraph, [51.0, 293.0, 310.0, 18.0], shoonya_0s4UZ8EG8C6GG9, 6515301]
[paragraph, [51.0, 311.0, 310.0, 18.0], shoonya_0s4UZ8EG8C6GG9, 6515301]
[paragraph, [51.0, 329.0, 310.0, 18.0], shoonya_0s4UZ8EG8C6GG9, 6515301]
[paragraph, [51.0, 347.0, 310.0, 18.0], shoonya_0s4UZ8EG8C6GG9, 6515301]
[paragraph, [51.0, 365.0, 310.0, 18.0], shoonya_0s4UZ8EG8C6GG9, 6515301]
[paragraph, [51.0, 383.0, 310.0, 18.0], shoonya_0s4UZ8EG8C6GG9, 6515301]
[paragraph, [53.0, 411.0, 313.0, 18.0], shoonya_1s75U8H4FN8NP1, 6515301]
[paragraph, [53.0, 429.0, 313.0, 18.0], shoonya_1s75U8H4FN8NP1, 6515301]
[paragraph, [53.0, 447.0, 313.0, 18.0], shoonya_1s75U8H4FN8NP1, 6515301]
[paragraph, [53.0, 465.0, 313.0, 18.0], shoonya_1s75U8H4FN8NP1, 6515301]
[paragraph, [53.0, 483.0, 313.0, 18.0], shoonya_1s75U8H4FN8NP1, 6515301]
[paragraph, [53.0, 501.0, 313.0, 18.0], shoonya_1s75U8H4FN8NP1, 6515301]
[paragraph, [53.0, 519.0, 313.0, 18.0], shoonya_1s75U8H4FN8NP1, 6515301]
[paragraph, [53.0, 537.0, 313.0, 18.0], shoonya_1s75U8H4FN8NP1, 6515301]
[paragraph, [53.0, 555.0, 313.0, 18.0], shoonya_1s75U8H4FN8NP1, 6515301]
