[2339, 1653]
[paragraph, [387.0, 195.0, 1080.0, 36.0], shoonya_1sEWJPPTP399FW, 5733692]
[paragraph, [387.0, 231.0, 1080.0, 36.0], shoonya_1sEWJPPTP399FW, 5733692]
[paragraph, [387.0, 267.0, 1080.0, 36.0], shoonya_1sEWJPPTP399FW, 5733692]
[paragraph, [387.0, 303.0, 1080.0, 36.0], shoonya_1sEWJPPTP399FW, 5733692]
[paragraph, [387.0, 339.0, 1080.0, 36.0], shoonya_1sEWJPPTP399FW, 5733692]
[paragraph, [387.0, 375.0, 1080.0, 36.0], shoonya_1sEWJPPTP399FW, 5733692]
[paragraph, [387.0, 411.0, 1080.0, 36.0], shoonya_1sEWJPPTP399FW, 5733692]
[paragraph, [387.0, 447.0, 1080.0, 36.0], shoonya_1sEWJPPTP399FW, 5733692]
[paragraph, [387.0, 483.0, 1080.0, 36.0], shoonya_1sEWJPPTP399FW, 5733692]
[paragraph, [387.0, 519.0, 1080.0, 36.0], shoonya_1sEWJPPTP399FW, 5733692]
[paragraph, [387.0, 555.0, 1080.0, 36.0], shoonya_1sEWJPPTP399FW, 5733692]
[paragraph, [387.0, 606.0, 1073.0, 36.0], shoonya_0sMUJ8YBPAV3MP, 5733692]
[paragraph, [387.0, 642.0, 1073.0, 36.0], shoonya_0sMUJ8YBPAV3MP, 5733692]
[paragraph, [387.0, 678.0, 1073.0, 36.0], shoonya_0sMUJ8YBPAV3MP, 5733692]
[paragraph, [387.0, 714.0, 1073.0, 36.0], shoonya_0sMUJ8YBPAV3MP, 5733692]
[paragraph, [387.0, 750.0, 1073.0, 36.0], shoonya_0sMUJ8YBPAV3MP, 5733692]
[paragraph, [387.0, 786.0, 1073.0, 36.0], shoonya_0sMUJ8YBPAV3MP, 5733692]
[paragraph, [387.0, 822.0, 1073.0, 36.0], shoonya_0sMUJ8YBPAV3MP, 5733692]
[paragraph, [387.0, 858.0, 1073.0, 36.0], shoonya_0sMUJ8YBPAV3MP, 5733692]
[paragraph, [387.0, 894.0, 1073.0, 36.0], shoonya_0sMUJ8YBPAV3MP, 5733692]
[paragraph, [387.0, 930.0, 1073.0, 36.0], shoonya_0sMUJ8YBPAV3MP, 5733692]
[paragraph, [387.0, 966.0, 1073.0, 36.0], shoonya_0sMUJ8YBPAV3MP, 5733692]
[paragraph, [387.0, 1002.0, 1073.0, 36.0], shoonya_0sMUJ8YBPAV3MP, 5733692]
[paragraph, [387.0, 1038.0, 1073.0, 36.0], shoonya_0sMUJ8YBPAV3MP, 5733692]
[paragraph, [387.0, 1074.0, 1073.0, 36.0], shoonya_0sMUJ8YBPAV3MP, 5733692]
[paragraph, [390.0, 1134.0, 1074.0, 36.0], shoonya_3sCAH2M3U6FF72, 5733692]
[paragraph, [390.0, 1170.0, 1074.0, 36.0], shoonya_3sCAH2M3U6FF72, 5733692]
[paragraph, [390.0, 1206.0, 1074.0, 36.0], shoonya_3sCAH2M3U6FF72, 5733692]
[paragraph, [390.0, 1242.0, 1074.0, 36.0], shoonya_3sCAH2M3U6FF72, 5733692]
[paragraph, [390.0, 1278.0, 1074.0, 36.0], shoonya_3sCAH2M3U6FF72, 5733692]
[paragraph, [390.0, 1314.0, 1074.0, 36.0], shoonya_3sCAH2M3U6FF72, 5733692]
[paragraph, [390.0, 1350.0, 1074.0, 36.0], shoonya_3sCAH2M3U6FF72, 5733692]
[paragraph, [389.0, 1425.0, 1077.0, 36.0], shoonya_2sB70YTMJ6ONDT, 5733692]
[paragraph, [389.0, 1461.0, 1077.0, 36.0], shoonya_2sB70YTMJ6ONDT, 5733692]
[paragraph, [389.0, 1497.0, 1077.0, 36.0], shoonya_2sB70YTMJ6ONDT, 5733692]
[paragraph, [389.0, 1533.0, 1077.0, 36.0], shoonya_2sB70YTMJ6ONDT, 5733692]
[paragraph, [389.0, 1569.0, 1077.0, 36.0], shoonya_2sB70YTMJ6ONDT, 5733692]
[paragraph, [389.0, 1605.0, 1077.0, 36.0], shoonya_2sB70YTMJ6ONDT, 5733692]
[paragraph, [389.0, 1641.0, 1077.0, 36.0], shoonya_2sB70YTMJ6ONDT, 5733692]
[paragraph, [389.0, 1677.0, 1077.0, 36.0], shoonya_2sB70YTMJ6ONDT, 5733692]
[paragraph, [389.0, 1713.0, 1077.0, 36.0], shoonya_2sB70YTMJ6ONDT, 5733692]
[paragraph, [389.0, 1749.0, 1077.0, 36.0], shoonya_2sB70YTMJ6ONDT, 5733692]
[paragraph, [389.0, 1785.0, 1077.0, 36.0], shoonya_2sB70YTMJ6ONDT, 5733692]
[folio, [1019.0, 2180.0, 377.0, 36.0], UC2I3MmmmP, 5733692]
