[834, 609]
[section-title, [85.0, 78.0, 439.0, 30.0], _izP4p_PWI, 5713383]
[section-title, [85.0, 108.0, 439.0, 30.0], _izP4p_PWI, 5713383]
[paragraph, [325.0, 194.0, 193.0, 18.0], EitQwlZ8_w, 5713383]
[paragraph, [325.0, 212.0, 193.0, 18.0], EitQwlZ8_w, 5713383]
[paragraph, [325.0, 230.0, 193.0, 18.0], EitQwlZ8_w, 5713383]
[paragraph, [325.0, 248.0, 193.0, 18.0], EitQwlZ8_w, 5713383]
[paragraph, [325.0, 266.0, 193.0, 18.0], EitQwlZ8_w, 5713383]
[paragraph, [325.0, 284.0, 193.0, 18.0], EitQwlZ8_w, 5713383]
[paragraph, [325.0, 302.0, 193.0, 18.0], EitQwlZ8_w, 5713383]
[paragraph, [325.0, 320.0, 193.0, 18.0], EitQwlZ8_w, 5713383]
[paragraph, [325.0, 338.0, 193.0, 18.0], EitQwlZ8_w, 5713383]
[paragraph, [325.0, 356.0, 193.0, 18.0], EitQwlZ8_w, 5713383]
[paragraph, [325.0, 374.0, 193.0, 18.0], EitQwlZ8_w, 5713383]
[paragraph, [49.0, 206.0, 253.0, 18.0], 1N1GvJC-P-, 5713383]
[paragraph, [49.0, 224.0, 253.0, 18.0], 1N1GvJC-P-, 5713383]
[paragraph, [49.0, 242.0, 253.0, 18.0], 1N1GvJC-P-, 5713383]
[paragraph, [49.0, 260.0, 253.0, 18.0], 1N1GvJC-P-, 5713383]
[paragraph, [49.0, 278.0, 253.0, 18.0], 1N1GvJC-P-, 5713383]
[paragraph, [49.0, 296.0, 253.0, 18.0], 1N1GvJC-P-, 5713383]
[paragraph, [49.0, 314.0, 253.0, 18.0], 1N1GvJC-P-, 5713383]
[paragraph, [49.0, 332.0, 253.0, 18.0], 1N1GvJC-P-, 5713383]
[paragraph, [49.0, 350.0, 253.0, 18.0], 1N1GvJC-P-, 5713383]
[paragraph, [49.0, 368.0, 253.0, 18.0], 1N1GvJC-P-, 5713383]
[paragraph, [49.0, 386.0, 253.0, 18.0], 1N1GvJC-P-, 5713383]
[author, [152.0, 375.0, 143.0, 18.0], shoonya_2s5YZOSICMKXFN, 5713383]
[figure-caption, [352.0, 748.0, 94.0, 18.0], shoonya_1sUUFMZ7UZJ4YX, 5713383]
