[1754, 1241]
[chapter-title, [139.0, 124.0, 957.0, 58.5], shoonya_5sV9FCJ3K73WS6, 5708564]
[chapter-title, [139.0, 182.5, 957.0, 58.5], shoonya_5sV9FCJ3K73WS6, 5708564]
[ordered-list, [91.0, 305.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 341.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 377.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 413.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 449.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 485.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 521.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 557.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 593.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 629.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 665.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 701.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 737.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 773.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 809.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 845.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 881.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 917.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 953.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 989.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 1025.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 1061.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 1097.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 1133.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
[ordered-list, [91.0, 1169.0, 1081.0, 36.0], SMpX8iGL1a, 5708564]
