[540, 960]
[section-title, [272.0, 49.0, 416.0, 30.0], EysmhEOluG, 5715379]
[unordered-list, [38.0, 173.0, 493.0, 18.0], tEH0yZbbJ5, 5715379]
[unordered-list, [38.0, 191.0, 493.0, 18.0], tEH0yZbbJ5, 5715379]
[unordered-list, [38.0, 209.0, 493.0, 18.0], tEH0yZbbJ5, 5715379]
[unordered-list, [38.0, 227.0, 493.0, 18.0], tEH0yZbbJ5, 5715379]
[unordered-list, [38.0, 245.0, 493.0, 18.0], tEH0yZbbJ5, 5715379]
[unordered-list, [38.0, 263.0, 493.0, 18.0], tEH0yZbbJ5, 5715379]
[unordered-list, [38.0, 281.0, 493.0, 18.0], tEH0yZbbJ5, 5715379]
[unordered-list, [38.0, 299.0, 493.0, 18.0], tEH0yZbbJ5, 5715379]
[unordered-list, [38.0, 317.0, 493.0, 18.0], tEH0yZbbJ5, 5715379]
[unordered-list, [38.0, 335.0, 493.0, 18.0], tEH0yZbbJ5, 5715379]
[unordered-list, [38.0, 353.0, 493.0, 18.0], tEH0yZbbJ5, 5715379]
[unordered-list, [38.0, 371.0, 493.0, 18.0], tEH0yZbbJ5, 5715379]
[unordered-list, [38.0, 389.0, 493.0, 18.0], tEH0yZbbJ5, 5715379]
[unordered-list, [38.0, 407.0, 493.0, 18.0], tEH0yZbbJ5, 5715379]
[unordered-list, [38.0, 425.0, 493.0, 18.0], tEH0yZbbJ5, 5715379]
[unordered-list, [38.0, 443.0, 493.0, 18.0], tEH0yZbbJ5, 5715379]
[unordered-list, [38.0, 461.0, 493.0, 18.0], tEH0yZbbJ5, 5715379]
[unordered-list, [38.0, 479.0, 493.0, 18.0], tEH0yZbbJ5, 5715379]
[folio, [863.0, 466.0, 93.0, 18.0], shoonya_2sISYFDZKKMB2W, 5715379]
[folio, [863.0, 484.0, 93.0, 18.0], shoonya_2sISYFDZKKMB2W, 5715379]
[folio, [863.0, 502.0, 93.0, 18.0], shoonya_2sISYFDZKKMB2W, 5715379]
[folio, [7.0, 496.0, 106.0, 18.0], shoonya_0sKKFDK3BL3LG6, 5715379]
[folio, [7.0, 514.0, 106.0, 18.0], shoonya_0sKKFDK3BL3LG6, 5715379]
