[2640, 1756]
[paragraph, [51.0, 1354.0, 566.0, 46.5], h8HcI2ELql, 5694104]
[paragraph, [51.0, 1400.5, 566.0, 46.5], h8HcI2ELql, 5694104]
[paragraph, [51.0, 1447.0, 566.0, 46.5], h8HcI2ELql, 5694104]
[paragraph, [51.0, 1493.5, 566.0, 46.5], h8HcI2ELql, 5694104]
[paragraph, [51.0, 1540.0, 566.0, 46.5], h8HcI2ELql, 5694104]
[paragraph, [51.0, 1586.5, 566.0, 46.5], h8HcI2ELql, 5694104]
[paragraph, [51.0, 1633.0, 566.0, 46.5], h8HcI2ELql, 5694104]
[paragraph, [51.0, 1679.5, 566.0, 46.5], h8HcI2ELql, 5694104]
[paragraph, [51.0, 1726.0, 566.0, 46.5], h8HcI2ELql, 5694104]
[paragraph, [51.0, 1772.5, 566.0, 46.5], h8HcI2ELql, 5694104]
[paragraph, [51.0, 1819.0, 566.0, 46.5], h8HcI2ELql, 5694104]
[paragraph, [51.0, 1865.5, 566.0, 46.5], h8HcI2ELql, 5694104]
[paragraph, [51.0, 1912.0, 566.0, 46.5], h8HcI2ELql, 5694104]
[paragraph, [51.0, 1958.5, 566.0, 46.5], h8HcI2ELql, 5694104]
[paragraph, [614.0, 1362.0, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 1408.5, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 1455.0, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 1501.5, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 1548.0, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 1594.5, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 1641.0, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 1687.5, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 1734.0, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 1780.5, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 1827.0, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 1873.5, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 1920.0, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 1966.5, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 2013.0, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 2059.5, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 2106.0, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 2152.5, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 2199.0, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 2245.5, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 2292.0, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 2338.5, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 2385.0, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [614.0, 2431.5, 563.0, 46.5], ChGDoY5GhV, 5694104]
[paragraph, [1195.0, 1362.0, 547.0, 46.5], 3aHNAXsBFF, 5694104]
