[576, 792]
[section-title, [341.0, 61.0, 121.0, 30.0], shoonya_1s6A7WPCL0H3BX, 5685502]
[paragraph, [408.0, 123.0, 295.0, 18.0], AMc-EffUVJ, 5685502]
[paragraph, [408.0, 141.0, 295.0, 18.0], AMc-EffUVJ, 5685502]
[paragraph, [408.0, 159.0, 295.0, 18.0], AMc-EffUVJ, 5685502]
[paragraph, [408.0, 177.0, 295.0, 18.0], AMc-EffUVJ, 5685502]
[paragraph, [408.0, 195.0, 295.0, 18.0], AMc-EffUVJ, 5685502]
[paragraph, [408.0, 213.0, 295.0, 18.0], AMc-EffUVJ, 5685502]
[paragraph, [408.0, 231.0, 295.0, 18.0], AMc-EffUVJ, 5685502]
[paragraph, [408.0, 249.0, 295.0, 18.0], AMc-EffUVJ, 5685502]
[paragraph, [95.0, 125.0, 297.0, 18.0], shoonya_3sR5AL1GSSJKW0, 5685502]
[paragraph, [95.0, 143.0, 297.0, 18.0], shoonya_3sR5AL1GSSJKW0, 5685502]
[paragraph, [95.0, 161.0, 297.0, 18.0], shoonya_3sR5AL1GSSJKW0, 5685502]
[paragraph, [95.0, 179.0, 297.0, 18.0], shoonya_3sR5AL1GSSJKW0, 5685502]
[paragraph, [95.0, 197.0, 297.0, 18.0], shoonya_3sR5AL1GSSJKW0, 5685502]
[paragraph, [95.0, 215.0, 297.0, 18.0], shoonya_3sR5AL1GSSJKW0, 5685502]
[paragraph, [95.0, 233.0, 297.0, 18.0], shoonya_3sR5AL1GSSJKW0, 5685502]
[paragraph, [95.0, 251.0, 297.0, 18.0], shoonya_3sR5AL1GSSJKW0, 5685502]
[paragraph, [95.0, 269.0, 297.0, 18.0], shoonya_3sR5AL1GSSJKW0, 5685502]
[paragraph, [408.0, 281.0, 299.0, 18.0], ODkekHvA58, 5685502]
[paragraph, [408.0, 299.0, 299.0, 18.0], ODkekHvA58, 5685502]
[paragraph, [408.0, 317.0, 299.0, 18.0], ODkekHvA58, 5685502]
[paragraph, [408.0, 335.0, 299.0, 18.0], ODkekHvA58, 5685502]
[paragraph, [408.0, 353.0, 299.0, 18.0], ODkekHvA58, 5685502]
[paragraph, [408.0, 371.0, 299.0, 18.0], ODkekHvA58, 5685502]
[paragraph, [408.0, 389.0, 299.0, 18.0], ODkekHvA58, 5685502]
[paragraph, [408.0, 407.0, 299.0, 18.0], ODkekHvA58, 5685502]
[paragraph, [408.0, 425.0, 299.0, 18.0], ODkekHvA58, 5685502]
[paragraph, [408.0, 443.0, 299.0, 18.0], ODkekHvA58, 5685502]
[paragraph, [408.0, 461.0, 299.0, 18.0], ODkekHvA58, 5685502]
[paragraph, [408.0, 479.0, 299.0, 18.0], ODkekHvA58, 5685502]
[paragraph, [95.0, 299.0, 299.0, 18.0], UJxlXQtJPf, 5685502]
[paragraph, [95.0, 317.0, 299.0, 18.0], UJxlXQtJPf, 5685502]
[paragraph, [95.0, 335.0, 299.0, 18.0], UJxlXQtJPf, 5685502]
[paragraph, [95.0, 353.0, 299.0, 18.0], UJxlXQtJPf, 5685502]
[paragraph, [95.0, 371.0, 299.0, 18.0], UJxlXQtJPf, 5685502]
[paragraph, [95.0, 389.0, 299.0, 18.0], UJxlXQtJPf, 5685502]
[paragraph, [95.0, 407.0, 299.0, 18.0], UJxlXQtJPf, 5685502]
[paragraph, [95.0, 425.0, 299.0, 18.0], UJxlXQtJPf, 5685502]
[paragraph, [95.0, 443.0, 299.0, 18.0], UJxlXQtJPf, 5685502]
[paragraph, [95.0, 461.0, 299.0, 18.0], UJxlXQtJPf, 5685502]
[paragraph, [95.0, 479.0, 299.0, 18.0], UJxlXQtJPf, 5685502]
