[2342, 1656]
[folio, [60.0, 89.0, 221.0, 36.0], shoonya_0s0R5MBQPNLVJD, 5653729]
[headline, [891.0, 144.0, 671.0, 67.5], Y9EVds8IEc, 5653729]
[headline, [891.0, 211.5, 671.0, 67.5], Y9EVds8IEc, 5653729]
[folio, [194.0, 178.0, 174.0, 36.0], shoonya_1sTPRDP2T91IFH, 5653729]
[folio, [303.0, 256.0, 188.0, 36.0], bUfdkhekrF, 5653729]
[folio, [303.0, 292.0, 188.0, 36.0], bUfdkhekrF, 5653729]
[paragraph, [50.0, 405.0, 1568.0, 36.0], shoonya_2sVKH0W11F1B7C, 5653729]
[paragraph, [50.0, 441.0, 1568.0, 36.0], shoonya_2sVKH0W11F1B7C, 5653729]
[paragraph, [50.0, 477.0, 1568.0, 36.0], shoonya_2sVKH0W11F1B7C, 5653729]
[paragraph, [50.0, 513.0, 1568.0, 36.0], shoonya_2sVKH0W11F1B7C, 5653729]
[paragraph, [50.0, 549.0, 1568.0, 36.0], shoonya_2sVKH0W11F1B7C, 5653729]
[paragraph, [50.0, 585.0, 1568.0, 36.0], shoonya_2sVKH0W11F1B7C, 5653729]
[paragraph, [45.0, 636.0, 1562.0, 36.0], QqQdBL-nvI, 5653729]
[paragraph, [45.0, 672.0, 1562.0, 36.0], QqQdBL-nvI, 5653729]
[paragraph, [45.0, 708.0, 1562.0, 36.0], QqQdBL-nvI, 5653729]
[paragraph, [55.0, 783.0, 1556.0, 36.0], XLZOPZ7p-1, 5653729]
[paragraph, [55.0, 819.0, 1556.0, 36.0], XLZOPZ7p-1, 5653729]
[paragraph, [55.0, 855.0, 1556.0, 36.0], XLZOPZ7p-1, 5653729]
[paragraph, [53.0, 930.0, 1560.0, 36.0], StiPaFKi-7, 5653729]
[paragraph, [53.0, 966.0, 1560.0, 36.0], StiPaFKi-7, 5653729]
[paragraph, [53.0, 1002.0, 1560.0, 36.0], StiPaFKi-7, 5653729]
[paragraph, [53.0, 1038.0, 1560.0, 36.0], StiPaFKi-7, 5653729]
[paragraph, [53.0, 1074.0, 1560.0, 36.0], StiPaFKi-7, 5653729]
[paragraph, [57.0, 1141.0, 1552.0, 36.0], vvlEmS4phM, 5653729]
[paragraph, [57.0, 1177.0, 1552.0, 36.0], vvlEmS4phM, 5653729]
[paragraph, [57.0, 1213.0, 1552.0, 36.0], vvlEmS4phM, 5653729]
[paragraph, [57.0, 1249.0, 1552.0, 36.0], vvlEmS4phM, 5653729]
[paragraph, [57.0, 1285.0, 1552.0, 36.0], vvlEmS4phM, 5653729]
[paragraph, [53.0, 1356.0, 1554.0, 36.0], q7ROXA-C9A, 5653729]
[paragraph, [53.0, 1392.0, 1554.0, 36.0], q7ROXA-C9A, 5653729]
[paragraph, [53.0, 1428.0, 1554.0, 36.0], q7ROXA-C9A, 5653729]
[paragraph, [53.0, 1464.0, 1554.0, 36.0], q7ROXA-C9A, 5653729]
[paragraph, [53.0, 1500.0, 1554.0, 36.0], q7ROXA-C9A, 5653729]
[paragraph, [55.0, 1575.0, 1552.0, 36.0], _9aTeiRic0, 5653729]
[paragraph, [55.0, 1611.0, 1552.0, 36.0], _9aTeiRic0, 5653729]
[paragraph, [55.0, 1647.0, 1552.0, 36.0], _9aTeiRic0, 5653729]
[paragraph, [55.0, 1683.0, 1552.0, 36.0], _9aTeiRic0, 5653729]
[paragraph, [55.0, 1719.0, 1552.0, 36.0], _9aTeiRic0, 5653729]
[paragraph, [55.0, 1755.0, 1552.0, 36.0], _9aTeiRic0, 5653729]
[paragraph, [55.0, 1791.0, 1552.0, 36.0], _9aTeiRic0, 5653729]
[paragraph, [57.0, 1864.0, 1552.0, 36.0], j-vI7nyvyA, 5653729]
[paragraph, [57.0, 1900.0, 1552.0, 36.0], j-vI7nyvyA, 5653729]
[paragraph, [57.0, 1936.0, 1552.0, 36.0], j-vI7nyvyA, 5653729]
[paragraph, [57.0, 1972.0, 1552.0, 36.0], j-vI7nyvyA, 5653729]
[paragraph, [57.0, 2008.0, 1552.0, 36.0], j-vI7nyvyA, 5653729]
[paragraph, [57.0, 2044.0, 1552.0, 36.0], j-vI7nyvyA, 5653729]
[paragraph, [57.0, 2080.0, 1552.0, 36.0], j-vI7nyvyA, 5653729]
[paragraph, [57.0, 2116.0, 1552.0, 36.0], j-vI7nyvyA, 5653729]
[paragraph, [57.0, 2152.0, 1552.0, 36.0], j-vI7nyvyA, 5653729]
[paragraph, [57.0, 2188.0, 1552.0, 36.0], j-vI7nyvyA, 5653729]
[paragraph, [57.0, 2224.0, 1552.0, 36.0], j-vI7nyvyA, 5653729]
